 Atomic Number | Ionization State |  Wavelength (Ang.) |              g_i*f_ik | E_i(cm^-1) |   i |   j |
          21.0 |             19.0 | 2.8848000000000003 |                   1.0 |        0.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             2.8964 |    0.5495408738576245 |   306700.0 | 1.0 | 2.0 |
          21.0 |             19.0 |              2.898 |    1.3489628825916535 |   357400.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             10.443 |  0.016557699634695285 |        0.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             10.576 |  0.016106456351782705 |   306700.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             10.628 |  0.028444611074479154 |   357400.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             10.785 |  0.014060475241299136 |        0.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             10.845 |  0.005011872336272725 |   357400.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             10.846 |   0.04560369159512962 |   357400.0 | 1.0 | 2.0 |
          21.0 |             19.0 |              11.14 |  0.044157044735331254 |   306700.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             11.204 |  0.009036494737223014 |   357400.0 | 1.0 | 2.0 |
          21.0 |             19.0 | 11.376999999999999 |  0.053579665751334174 |        0.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             11.777 |   0.09057326008982003 |   306700.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             11.845 |   0.16292960326397224 |   357400.0 | 1.0 | 2.0 |
          21.0 |             19.0 | 12.674000000000001 |   0.06760829753919818 |        0.0 | 1.0 | 2.0 |
          21.0 |             19.0 |              13.16 |    0.2290867652767773 |   306700.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             13.236 |     0.436515832240166 |   357400.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             16.819 |   0.48305880203977264 |        0.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             16.861 |   0.24831331052955705 |        0.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             17.634 |    1.3427649611378638 |   306700.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             17.779 |    2.4378108183687526 |   357400.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             18.026 |   0.03630780547701014 |   306700.0 | 1.0 | 2.0 |
          21.0 |             19.0 | 18.182000000000002 |   0.07244359600749903 |   357400.0 | 1.0 | 2.0 |
          21.0 |             19.0 | 26.089000000000002 |  0.034673685045253165 |  5931000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             26.192 |   0.06165950018614822 |  5946000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             26.882 |   0.03334264127632349 |  5856000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |              27.42 |  0.058210321777087126 |  5931000.0 | 1.0 | 2.0 |
          21.0 |             19.0 | 27.532999999999998 |  0.010914403364487566 |  5946000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             27.793 | 0.0015135612484362087 |  5978000.0 | 1.0 | 2.0 |
          21.0 |             19.0 | 27.823999999999998 |  0.002818382931264455 |  5982000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             29.274 |   0.03083187950249355 |  5856000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             29.833 |   0.11220184543019636 |  5931000.0 | 1.0 | 2.0 |
          21.0 |             19.0 | 29.967000000000002 |   0.19952623149688797 |  5946000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             30.358 | 0.0033189445755261032 |  5978000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             30.395 |   0.00554625712957911 |  5982000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             34.083 |     0.142232878712282 |  5856000.0 | 1.0 | 2.0 |
          21.0 |             19.0 | 34.855000000000004 |   0.27478941531023965 |  5931000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             35.039 |    0.4920395356814509 |  5946000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             35.562 |   0.00833681184619634 |  5978000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             35.613 |  0.014454397707459272 |  5982000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             49.164 |   0.28248799749157066 |  5856000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             50.556 |    1.1967405313072434 |  5931000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             50.916 |    2.0989398836235242 |  5946000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             50.942 |   0.23334580622810028 |  5946000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             52.301 |  0.041783036664662175 |  5978000.0 | 1.0 | 2.0 |
          21.0 |             19.0 | 53.361999999999995 |   0.06576578373554205 |  7890000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             59.242 |   0.12302687708123815 |  7890000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             59.988 |  0.008128305161640995 |  7909000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             60.024 |  0.014791083881682071 |  7910000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             71.788 |   0.28183829312644537 |  7890000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             73.368 |  0.022594357702209782 |  7909000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             73.421 |   0.03881503659906482 |  7910000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |              109.9 |    1.1508003889444358 |  7890000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |              113.5 |   0.10423174293933042 |  7909000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |              113.6 |   0.18578044550916986 |  7910000.0 | 1.0 | 2.0 |
          21.0 |             19.0 |             279.75 |   0.10471285480508996 |        0.0 | 1.0 | 2.0 |
          21.0 |             19.0 |              326.0 |  0.044258837236262644 |        0.0 | 1.0 | 2.0 |
%NIST
