 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik | E_i(cm^-1) |   i |   j |
          21.0 |             17.0 |              19.16 |      1.288249551693134 |        0.0 | 1.0 | 2.0 |
          21.0 |             17.0 |             19.311 |      2.290867652767773 |    45637.0 | 1.0 | 2.0 |
          21.0 |             17.0 | 19.330000000000002 |    0.24547089156850305 |    45637.0 | 1.0 | 2.0 |
          21.0 |             17.0 | 118.93599999999999 |  0.0002570395782768865 |   288250.0 | 1.0 | 2.0 |
          21.0 |             17.0 | 119.65199999999999 |  0.0007585775750291836 |   306780.0 | 1.0 | 2.0 |
          21.0 |             17.0 |             142.59 |   0.002951209226666387 |   306780.0 | 1.0 | 2.0 |
          21.0 |             17.0 |            143.888 |    0.06053408747539136 |        0.0 | 1.0 | 2.0 |
          21.0 |             17.0 |            145.836 |    0.00588843655355589 |   329320.0 | 1.0 | 2.0 |
          21.0 |             17.0 |            146.574 |    0.03890451449942807 |        0.0 | 1.0 | 2.0 |
          21.0 |             17.0 |            154.018 |     0.4120975190973302 |    45637.0 | 1.0 | 2.0 |
          21.0 |             17.0 |            157.095 |     0.1655769963469528 |    45637.0 | 1.0 | 2.0 |
          21.0 |             17.0 |            158.136 |     0.1648162391525508 |        0.0 | 1.0 | 2.0 |
          21.0 |             17.0 |            159.768 |     0.0460256573581356 |   516640.0 | 1.0 | 2.0 |
          21.0 |             17.0 |            160.777 |    0.17060823890031235 |   520630.0 | 1.0 | 2.0 |
          21.0 |             17.0 |            163.292 |      0.142232878712282 |   516640.0 | 1.0 | 2.0 |
          21.0 |             17.0 |            164.293 |    0.09772372209558107 |   288250.0 | 1.0 | 2.0 |
          21.0 |             17.0 |            169.451 |    0.18578044550916986 |   306780.0 | 1.0 | 2.0 |
          21.0 |             17.0 |            170.435 |   0.009549925860214359 |    45637.0 | 1.0 | 2.0 |
          21.0 |             17.0 | 176.17999999999998 |    0.26791683248190323 |   329320.0 | 1.0 | 2.0 |
          21.0 |             17.0 |            193.558 |    0.12022644346174127 |        0.0 | 1.0 | 2.0 |
          21.0 |             17.0 |             196.01 |    0.08669618757582165 |   632370.0 | 1.0 | 2.0 |
          21.0 |             17.0 | 200.55900000000003 |    0.04954501908047903 |   516640.0 | 1.0 | 2.0 |
          21.0 |             17.0 |             201.34 |   0.001174897554939529 |   632370.0 | 1.0 | 2.0 |
          21.0 |             17.0 | 202.17199999999997 |     0.3311311214825911 |   520630.0 | 1.0 | 2.0 |
          21.0 |             17.0 | 203.46699999999998 |    0.15848931924611134 |   516640.0 | 1.0 | 2.0 |
          21.0 |             17.0 |            205.154 |    0.06591738952443213 |   520630.0 | 1.0 | 2.0 |
          21.0 |             17.0 |            210.531 |    0.16788040181225602 |    45637.0 | 1.0 | 2.0 |
          21.0 |             17.0 |             212.31 |   0.006456542290346556 |    45637.0 | 1.0 | 2.0 |
          21.0 |             17.0 |             217.24 |   0.003715352290971724 |   682220.0 | 1.0 | 2.0 |
          21.0 |             17.0 |            223.424 |    0.32960971217745777 |   694950.0 | 1.0 | 2.0 |
          21.0 |             17.0 | 223.82100000000003 |    0.14125375446227545 |   682220.0 | 1.0 | 2.0 |
          21.0 |             17.0 | 230.35699999999997 |    0.03630780547701014 |   694950.0 | 1.0 | 2.0 |
          21.0 |             17.0 | 266.15999999999997 |    0.08830799004185627 |   632370.0 | 1.0 | 2.0 |
          21.0 |             17.0 |             306.87 |    0.08356030182312478 |   682220.0 | 1.0 | 2.0 |
          21.0 |             17.0 |             312.21 |    0.20892961308540392 |   694950.0 | 1.0 | 2.0 |
          21.0 |             17.0 | 319.34999999999997 |   0.005623413251903491 |   694950.0 | 1.0 | 2.0 |
          21.0 |             17.0 |             346.92 | 0.00046773514128719813 |        0.0 | 1.0 | 2.0 |
          21.0 |             17.0 |              352.5 |  0.0010471285480508996 |    45637.0 | 1.0 | 2.0 |
          21.0 |             17.0 |              378.0 |  0.0004168693834703355 |   632370.0 | 1.0 | 2.0 |
          21.0 |             17.0 |             465.77 |  0.0003388441561392024 |   682220.0 | 1.0 | 2.0 |
          21.0 |             17.0 |             495.12 |   0.001122018454301963 |   694950.0 | 1.0 | 2.0 |
%NIST
