 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |         E_i(cm^-1) |    i |    j |
          21.0 |              3.0 | 1610.1939697265625 |    0.28119200468063354 |                0.0 |  1.0 |  4.0 |
          21.0 |              3.0 |    1598.0009765625 |   0.056623999029397964 |                0.0 |  1.0 |  5.0 |
          21.0 |              3.0 |  780.5969848632812 |  7.603200356243178e-05 |                0.0 |  1.0 |  9.0 |
          21.0 |              3.0 |  779.5260009765625 | 1.5885600078036077e-05 |                0.0 |  1.0 | 10.0 |
          21.0 |              3.0 |  730.5999755859375 |     1.5703599452972412 |                0.0 |  1.0 | 11.0 |
          21.0 |              3.0 |  643.1290283203125 |    0.00849200040102005 |                0.0 |  1.0 | 16.0 |
          21.0 |              3.0 |  642.7760009765625 |  0.0017060800455510616 |                0.0 |  1.0 | 17.0 |
          21.0 |              3.0 |  627.0679931640625 |   0.004797200206667185 |                0.0 |  1.0 | 18.0 |
          21.0 |              3.0 |  589.4910278320312 | 1.9453600543783978e-06 |                0.0 |  1.0 | 25.0 |
          21.0 |              3.0 |   589.323974609375 |  4.775200181938999e-07 |                0.0 |  1.0 | 26.0 |
          21.0 |              3.0 |   582.114013671875 |    0.07395999878644943 |                0.0 |  1.0 | 27.0 |
          21.0 |              3.0 |  562.0029907226562 |  0.0016595999477431178 |                0.0 |  1.0 | 36.0 |
          21.0 |              3.0 |  561.9000244140625 |  0.0003303679986856878 |                0.0 |  1.0 | 37.0 |
          21.0 |              3.0 |   557.989990234375 |    0.06095200031995773 |                0.0 |  1.0 | 38.0 |
          21.0 |              3.0 |  545.8690185546875 |  0.0018706800183281302 |                0.0 |  1.0 | 49.0 |
          21.0 |              3.0 |  545.8049926757812 | 0.00037153600715100765 |                0.0 |  1.0 | 50.0 |
          21.0 |              3.0 |  543.4739990234375 |    0.03184200078248978 |                0.0 |  1.0 | 51.0 |
          21.0 |              3.0 |    535.47900390625 |  0.0014927999582141638 |                0.0 |  1.0 | 64.0 |
          21.0 |              3.0 |    535.43701171875 |   0.000297168007818982 |                0.0 |  1.0 | 65.0 |
          21.0 |              3.0 |  533.8900146484375 |   0.019815199077129364 |                0.0 |  1.0 | 66.0 |
          21.0 |              3.0 |  527.2470092773438 |    0.00997720006853342 |                0.0 |  1.0 | 78.0 |
          21.0 |              3.0 |   1603.06396484375 |     0.5093280076980591 | 197.63999938964844 |  2.0 |  5.0 |
          21.0 |              3.0 |    780.72802734375 | 0.00013273800141178071 | 197.63999938964844 |  2.0 | 10.0 |
          21.0 |              3.0 |   731.656005859375 |    0.11194200813770294 | 197.63999938964844 |  2.0 | 11.0 |
          21.0 |              3.0 |   731.655029296875 |      2.238719940185547 | 197.63999938964844 |  2.0 | 12.0 |
          21.0 |              3.0 |   643.593994140625 |   0.015240599401295185 | 197.63999938964844 |  2.0 | 17.0 |
          21.0 |              3.0 |  627.8460083007812 |  0.0003404099843464792 | 197.63999938964844 |  2.0 | 18.0 |
          21.0 |              3.0 |   590.010986328125 | 2.8576200747920666e-06 | 197.63999938964844 |  2.0 | 26.0 |
          21.0 |              3.0 |  582.7849731445312 |   0.005272320006042719 | 197.63999938964844 |  2.0 | 27.0 |
          21.0 |              3.0 |  562.5250244140625 |  0.0030060599092394114 | 197.63999938964844 |  2.0 | 37.0 |
          21.0 |              3.0 |  558.6060180664062 |   0.004355099983513355 | 197.63999938964844 |  2.0 | 38.0 |
          21.0 |              3.0 |    546.39501953125 |  0.0033806399442255497 | 197.63999938964844 |  2.0 | 50.0 |
          21.0 |              3.0 |  544.0579833984375 |  0.0022698601242154837 | 197.63999938964844 |  2.0 | 51.0 |
          21.0 |              3.0 |  544.0570068359375 |    0.04560359939932823 | 197.63999938964844 |  2.0 | 52.0 |
          21.0 |              3.0 |  536.0040283203125 |   0.002697720192372799 | 197.63999938964844 |  2.0 | 65.0 |
          21.0 |              3.0 |  534.4539794921875 |  0.0014158199774101377 | 197.63999938964844 |  2.0 | 66.0 |
          21.0 |              3.0 |  534.4530029296875 |   0.028444798663258553 | 197.63999938964844 |  2.0 | 67.0 |
          21.0 |              3.0 |  527.7969970703125 |   0.000712860026396811 | 197.63999938964844 |  2.0 | 78.0 |
          21.0 |              3.0 |  2734.048095703125 |     0.5224000215530396 |      25539.3203125 |  3.0 |  4.0 |
          21.0 |              3.0 |   2699.06591796875 |     1.0592600107192993 |      25539.3203125 |  3.0 |  5.0 |
          21.0 |              3.0 |  974.9650268554688 |    0.29241999983787537 |      25539.3203125 |  3.0 |  9.0 |
          21.0 |              3.0 |  973.2940063476562 |      0.586139976978302 |      25539.3203125 |  3.0 | 10.0 |
          21.0 |              3.0 |  769.5239868164062 |     0.0680759996175766 |      25539.3203125 |  3.0 | 16.0 |
