 Atomic Number | Ionization State |  Wavelength (Ang.) |             g_i*f_ik |       E_i(cm^-1) |     i |     j |
          21.0 |              9.0 |   318.614990234375 |   1.3396767377853394 |              0.0 | 333.0 | 666.0 |
          21.0 |              9.0 |   324.198974609375 |   2.4603676795959473 | 5761.10009765625 | 333.0 | 666.0 |
          21.0 |              9.0 | 324.57000732421875 |  0.28840312361717224 | 5761.10009765625 | 333.0 | 666.0 |
          21.0 |              9.0 | 385.86700439453125 |   0.3630780577659607 |              0.0 | 333.0 | 666.0 |
          21.0 |              9.0 | 390.88800048828125 |   0.5956621766090393 |              0.0 | 333.0 | 666.0 |
          21.0 |              9.0 |    394.64697265625 |   1.7947336435317993 | 5761.10009765625 | 333.0 | 666.0 |
          21.0 |              9.0 | 399.88800048828125 |   0.4677351415157318 | 5761.10009765625 | 333.0 | 666.0 |
          21.0 |              9.0 |  416.0409851074219 |   0.2691534757614136 |              0.0 | 333.0 | 666.0 |
          21.0 |              9.0 |  417.4599914550781 |   0.3801894187927246 |              0.0 | 333.0 | 666.0 |
          21.0 |              9.0 | 421.17999267578125 |   0.7244359850883484 |              0.0 | 333.0 | 666.0 |
          21.0 |              9.0 |  426.2559814453125 |  0.14791084825992584 | 5761.10009765625 | 333.0 | 666.0 |
          21.0 |              9.0 |  426.8600158691406 |   1.0715192556381226 |              0.0 | 333.0 | 666.0 |
          21.0 |              9.0 |  521.8939819335938 |  0.14454399049282074 |              0.0 | 333.0 | 666.0 |
          21.0 |              9.0 |  536.9819946289062 |    0.229086771607399 | 5761.10009765625 | 333.0 | 666.0 |
          21.0 |              9.0 |  538.0750122070312 | 0.015135610476136208 | 5761.10009765625 | 333.0 | 666.0 |
%NIST
