 Atomic Number | Ionization State |  Wavelength (Ang.) |            g_i*f_ik | E_i(cm^-1) |     i |     j |
          21.0 |              7.0 | 290.23199462890625 | 0.03890451788902283 |        0.0 | 333.0 | 666.0 |
          21.0 |              7.0 |  298.5570068359375 |  4.2461957931518555 |        0.0 | 333.0 | 666.0 |
          21.0 |              7.0 | 301.82000732421875 |   2.128139019012451 |        0.0 | 333.0 | 666.0 |
          21.0 |              7.0 |  302.4360046386719 | 0.28840312361717224 |        0.0 | 333.0 | 666.0 |
          21.0 |              7.0 | 307.32000732421875 |  0.4570881724357605 |        0.0 | 333.0 | 666.0 |
          21.0 |              7.0 | 308.17999267578125 |  1.9952623844146729 |        0.0 | 333.0 | 666.0 |
          21.0 |              7.0 |     532.5849609375 | 0.00977237243205309 |        0.0 | 333.0 | 666.0 |
          21.0 |              7.0 |  533.4420166015625 |  0.2238721251487732 |        0.0 | 333.0 | 666.0 |
          21.0 |              7.0 |  534.5130004882812 | 0.30902954936027527 |        0.0 | 333.0 | 666.0 |
          21.0 |              7.0 |  535.3770141601562 | 0.01174897700548172 |        0.0 | 333.0 | 666.0 |
          21.0 |              7.0 |  558.0440063476562 |  0.0660693496465683 |        0.0 | 333.0 | 666.0 |
          21.0 |              7.0 |  562.5040283203125 | 0.12882496416568756 |        0.0 | 333.0 | 666.0 |
          21.0 |              7.0 |     571.2490234375 | 0.19054606556892395 |        0.0 | 333.0 | 666.0 |
          21.0 |              7.0 |   596.530029296875 | 0.03019951842725277 |        0.0 | 333.0 | 666.0 |
          21.0 |              7.0 |       598.70703125 | 0.06456541270017624 |        0.0 | 333.0 | 666.0 |
%NIST
