 Atomic Number | Ionization State |  Wavelength (Ang.) |              g_i*f_ik | E_i(cm^-1) |   i |   j |
          21.0 |             11.0 |             58.082 |  0.018620871366628676 |        0.0 | 1.0 | 2.0 |
          21.0 |             11.0 |               64.7 |     0.040179081084894 |   191286.0 | 1.0 | 2.0 |
          21.0 |             11.0 |              64.98 |  0.008317637711026709 |   197979.0 | 1.0 | 2.0 |
          21.0 |             11.0 |  70.44500000000001 |   0.07447319739059892 |        0.0 | 1.0 | 2.0 |
          21.0 |             11.0 |             70.509 |   0.03580964371026361 |        0.0 | 1.0 | 2.0 |
          21.0 |             11.0 |             78.917 |    0.1552387009958082 |   197979.0 | 1.0 | 2.0 |
          21.0 |             11.0 |  79.22200000000001 | 0.0044668359215096305 |   459429.0 | 1.0 | 2.0 |
          21.0 |             11.0 |             79.261 |  0.008317637711026709 |   460049.0 | 1.0 | 2.0 |
          21.0 |             11.0 |             94.865 |   0.22130947096056375 |        0.0 | 1.0 | 2.0 |
          21.0 |             11.0 |  95.09299999999999 |   0.11066237839776664 |        0.0 | 1.0 | 2.0 |
          21.0 |             11.0 |            104.154 |  0.005495408738576248 |   459429.0 | 1.0 | 2.0 |
          21.0 |             11.0 |            104.221 |   0.04897788193684462 |   460049.0 | 1.0 | 2.0 |
          21.0 |             11.0 |            104.294 |  0.026915348039269153 |   459429.0 | 1.0 | 2.0 |
          21.0 |             11.0 |            104.441 |   0.43151907682776525 |   191286.0 | 1.0 | 2.0 |
          21.0 |             11.0 |            105.145 |    0.7655966069112563 |   197979.0 | 1.0 | 2.0 |
          21.0 |             11.0 | 105.16999999999999 |   0.08629785477669702 |   197979.0 | 1.0 | 2.0 |
          21.0 |             11.0 | 127.15400000000001 |    0.1468926277643867 |   191286.0 | 1.0 | 2.0 |
          21.0 |             11.0 |            128.246 |    0.2992264636608189 |   197979.0 | 1.0 | 2.0 |
          21.0 |             11.0 |             134.41 |    0.0370680721782576 |   977730.0 | 1.0 | 2.0 |
          21.0 |             11.0 |            138.281 |     3.443499307633385 |   459429.0 | 1.0 | 2.0 |
          21.0 |             11.0 |             138.38 |      5.05824662003114 |   460049.0 | 1.0 | 2.0 |
          21.0 |             11.0 |              138.4 |   0.25822601906345966 |   460049.0 | 1.0 | 2.0 |
          21.0 |             11.0 |            168.197 |   0.03715352290971726 |   459429.0 | 1.0 | 2.0 |
          21.0 |             11.0 | 168.39600000000002 |   0.34040818970100084 |   460049.0 | 1.0 | 2.0 |
          21.0 |             11.0 |            168.942 |    0.1967886289706845 |   459429.0 | 1.0 | 2.0 |
          21.0 |             11.0 | 174.54999999999998 |  0.022908676527677734 |  1148790.0 | 1.0 | 2.0 |
          21.0 |             11.0 |             174.63 |  0.039810717055349734 |  1149050.0 | 1.0 | 2.0 |
          21.0 |             11.0 | 180.39999999999998 | 0.0005248074602497728 |  1182590.0 | 1.0 | 2.0 |
          21.0 |             11.0 |             226.34 |    0.2290867652767773 |   977730.0 | 1.0 | 2.0 |
          21.0 |             11.0 |              227.0 |    0.1148153621496883 |   977730.0 | 1.0 | 2.0 |
          21.0 |             11.0 |             241.88 |   0.33884415613920255 |  1051640.0 | 1.0 | 2.0 |
          21.0 |             11.0 |             243.26 |   0.06760829753919818 |  1053970.0 | 1.0 | 2.0 |
          21.0 |             11.0 |              313.8 |   0.12302687708123815 |  1418260.0 | 1.0 | 2.0 |
          21.0 |             11.0 |              315.1 |  0.024547089156850298 |  1419550.0 | 1.0 | 2.0 |
          21.0 |             11.0 |             354.02 |   0.12133888504649772 |  1182590.0 | 1.0 | 2.0 |
          21.0 |             11.0 |             369.33 |    0.0812830516164099 |  1148790.0 | 1.0 | 2.0 |
          21.0 |             11.0 |             369.69 |      0.72443596007499 |  1149050.0 | 1.0 | 2.0 |
          21.0 |             11.0 |              371.1 |   0.40738027780411273 |  1148790.0 | 1.0 | 2.0 |
          21.0 |             11.0 |            372.939 |    0.8090958991783823 |   191286.0 | 1.0 | 2.0 |
          21.0 |             11.0 |            381.577 |    1.4256075936021881 |   197979.0 | 1.0 | 2.0 |
          21.0 |             11.0 | 382.47900000000004 |   0.15667510701081488 |   197979.0 | 1.0 | 2.0 |
          21.0 |             11.0 | 389.79999999999995 |   0.18578044550916986 |  1465130.0 | 1.0 | 2.0 |
          21.0 |             11.0 | 392.40000000000003 |  0.003715352290971724 |  1482050.0 | 1.0 | 2.0 |
          21.0 |             11.0 |            505.105 |    0.6729766562843178 |        0.0 | 1.0 | 2.0 |
          21.0 |             11.0 |            522.778 |   0.32210687912834346 |        0.0 | 1.0 | 2.0 |
          21.0 |             11.0 | 1029.3000000000002 |    1.1481536214968828 |  1051640.0 | 1.0 | 2.0 |
          21.0 |             11.0 |             1051.7 |    2.0892961308540396 |  1053970.0 | 1.0 | 2.0 |
          21.0 |             11.0 |             1054.6 |    0.2290867652767773 |  1053970.0 | 1.0 | 2.0 |
          21.0 |             11.0 |             1311.6 |     0.933254300796991 |   977730.0 | 1.0 | 2.0 |
          21.0 |             11.0 |             1353.0 |    0.4677351412871982 |   977730.0 | 1.0 | 2.0 |
          21.0 |             11.0 |             2959.0 |    0.5370317963702527 |  1148790.0 | 1.0 | 2.0 |
          21.0 |             11.0 |             2972.0 |    0.7413102413009175 |  1149050.0 | 1.0 | 2.0 |
          21.0 |             11.0 |             2982.0 |  0.038018939632056124 |  1149050.0 | 1.0 | 2.0 |
%NIST
