 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik | E_i(cm^-1) |   i |   j |
          21.0 |             15.0 | 105.07999999999998 | 0.00039810717055349735 |        0.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            109.084 |   0.005623413251903491 |        0.0 | 1.0 | 2.0 |
          21.0 |             15.0 | 111.87799999999999 |  0.0007943282347242813 |   588360.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            112.394 |   0.004570881896148752 |   551980.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            113.393 |   0.001071519305237606 |        0.0 | 1.0 | 2.0 |
          21.0 |             15.0 | 115.67500000000001 |  0.0016982436524617442 |   577220.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            117.185 |  0.0005623413251903491 |   588360.0 | 1.0 | 2.0 |
          21.0 |             15.0 | 118.97999999999999 |    0.14927944095789963 |   111200.0 | 1.0 | 2.0 |
          21.0 |             15.0 |             124.14 |    0.12647363474711512 |   111200.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            125.817 |     0.6546361740672749 |   121960.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            129.751 |    0.09594006315159331 |   111200.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            130.409 |   0.029512092266663854 |   184840.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            131.363 |  0.0008317637711026709 |        0.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            133.118 |    0.27605778562203453 |   200450.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            136.638 |    0.05382697825162884 |   184840.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            138.715 |    0.20749135174549097 |   761250.0 | 1.0 | 2.0 |
          21.0 |             15.0 | 139.61499999999998 |    0.10232929922807542 |   200450.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            143.465 |    0.14190575216890922 |   184840.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            146.754 |    0.06456542290346556 |   200450.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            146.966 |    0.09549925860214359 |   761250.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            147.558 |    0.41783036664662176 |   763990.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            153.197 |  0.0012882495516931337 |   111200.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            153.843 |    0.35481338923357547 |   111200.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            155.765 |    0.45814188671453343 |   121960.0 | 1.0 | 2.0 |
          21.0 |             15.0 | 156.43599999999998 |    0.01096478196143185 |   121960.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            166.583 |  0.0003388441561392024 |   881890.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            169.964 |    0.10139113857366794 |        0.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            173.245 |     0.1963360276836047 |        0.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            173.481 |    0.04456562483975033 |   184840.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            176.834 |     0.1538154640303035 |   916720.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            177.436 |    0.12217996601648717 |   200450.0 | 1.0 | 2.0 |
          21.0 |             15.0 |             178.32 |    0.00588843655355589 |   200450.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            178.631 |    0.09057326008982003 |   881890.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            181.165 |     0.2754228703338166 |        0.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            188.476 |    0.23988329190194904 |   951660.0 | 1.0 | 2.0 |
          21.0 |             15.0 | 190.47899999999998 |     0.5116818355403078 |   916720.0 | 1.0 | 2.0 |
          21.0 |             15.0 |            204.038 |     0.0588843655355589 |   951660.0 | 1.0 | 2.0 |
          21.0 |             15.0 |             226.87 |  0.0025703957827688645 |   111200.0 | 1.0 | 2.0 |
          21.0 |             15.0 | 232.54999999999998 |    0.00239883291901949 |   121960.0 | 1.0 | 2.0 |
          21.0 |             15.0 |             247.82 |  0.0004570881896148752 |   184840.0 | 1.0 | 2.0 |
          21.0 |             15.0 |             265.41 |  0.0019054607179632462 |   200450.0 | 1.0 | 2.0 |
          21.0 |             15.0 | 284.46999999999997 |  0.0010232929922807535 |   200450.0 | 1.0 | 2.0 |
%NIST
