 Atomic Number | Ionization State |  Wavelength (Ang.) |             g_i*f_ik | E_i(cm^-1) |   i |   j |
          21.0 |             21.0 |         2.11342254 | 0.005087916789321218 |        0.0 | 1.0 | 2.0 |
          21.0 |             21.0 |         2.14010862 | 0.018321456677477838 |        0.0 | 1.0 | 2.0 |
          21.0 |             21.0 | 2.1403202599999998 | 0.009103323996799098 |        0.0 | 1.0 | 2.0 |
          21.0 |             21.0 |         2.19128246 |  0.03810131808412117 |        0.0 | 1.0 | 2.0 |
          21.0 |             21.0 |         2.19171608 | 0.018968806223275056 |        0.0 | 1.0 | 2.0 |
          21.0 |             21.0 |         2.31064609 |   0.1038747520192811 |        0.0 | 1.0 | 2.0 |
          21.0 |             21.0 |         2.31178996 |  0.05192422223199956 |        0.0 | 1.0 | 2.0 |
          21.0 |             21.0 | 2.7360213700000005 |   0.5438260411842645 |        0.0 | 1.0 | 2.0 |
          21.0 |             21.0 |         2.74144013 |   0.2752390181915574 |        0.0 | 1.0 | 2.0 |
%NIST
