 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |     E_i(cm^-1) |    i |    j |
          14.0 |              3.0 |             1206.5 |     1.7000000476837158 |            0.0 |  1.0 |  3.0 |
          14.0 |              3.0 |  566.6129760742188 |   0.015599999576807022 |            0.0 |  1.0 | 12.0 |
          14.0 |              3.0 |  466.1310119628906 |   0.014100000262260437 |            0.0 |  1.0 | 21.0 |
          14.0 |              3.0 |  437.2550048828125 |  0.0048500001430511475 |            0.0 |  1.0 | 29.0 |
          14.0 |              3.0 |  426.6440124511719 |  0.0004180000105407089 |            0.0 |  1.0 | 35.0 |
          14.0 |              3.0 |  423.8169860839844 |  0.0018100000452250242 |            0.0 |  1.0 | 38.0 |
          14.0 |              3.0 | 408.37799072265625 |  0.0028699999675154686 |            0.0 |  1.0 | 48.0 |
          14.0 |              3.0 |    397.72900390625 |  0.0021699999924749136 |            0.0 |  1.0 | 63.0 |
          14.0 |              3.0 | 391.27801513671875 |  0.0015800000401213765 |            0.0 |  1.0 | 73.0 |
          14.0 |              3.0 |  386.8940124511719 |  0.0011699999449774623 |            0.0 |  1.0 | 83.0 |
          14.0 |              3.0 |   1298.93798828125 |     5.0900397300720215 | 52897.66015625 |  2.0 |  5.0 |
          14.0 |              3.0 | 1110.5150146484375 |      8.010000228881836 | 52897.66015625 |  2.0 |  6.0 |
          14.0 |              3.0 |    995.22900390625 |     1.0700100660324097 | 52897.66015625 |  2.0 |  7.0 |
          14.0 |              3.0 |  672.4910278320312 |    0.04349970072507858 | 52897.66015625 |  2.0 | 14.0 |
          14.0 |              3.0 |  652.4080200195312 |    0.15399900078773499 | 52897.66015625 |  2.0 | 18.0 |
          14.0 |              3.0 |  574.0960083007812 |  0.0011099700350314379 | 52897.66015625 |  2.0 | 27.0 |
          14.0 |              3.0 |  565.8489990234375 |    0.05799960345029831 | 52897.66015625 |  2.0 | 30.0 |
          14.0 |              3.0 |  533.6480102539062 |   0.019299600273370743 | 52897.66015625 |  2.0 | 39.0 |
          14.0 |              3.0 |  528.4089965820312 |   0.029899798333644867 | 52897.66015625 |  2.0 | 41.0 |
          14.0 |              3.0 |  520.8359985351562 |    0.07710029929876328 | 52897.66015625 |  2.0 | 49.0 |
          14.0 |              3.0 |  512.5570068359375 |     0.0200996994972229 | 52897.66015625 |  2.0 | 52.0 |
          14.0 |              3.0 | 510.52899169921875 |   0.011799899861216545 | 52897.66015625 |  2.0 | 53.0 |
          14.0 |              3.0 |  509.6619873046875 |  0.0015100199962034822 | 52897.66015625 |  2.0 | 54.0 |
          14.0 |              3.0 |  507.9530029296875 |   0.008070030249655247 | 52897.66015625 |  2.0 | 55.0 |
          14.0 |              3.0 | 497.24798583984375 | 0.00018500401347409934 | 52897.66015625 |  2.0 | 64.0 |
          14.0 |              3.0 | 496.42498779296875 |    0.00989999994635582 | 52897.66015625 |  2.0 | 65.0 |
          14.0 |              3.0 |  488.9549865722656 |  0.0005550030036829412 | 52897.66015625 |  2.0 | 75.0 |
          14.0 |              3.0 |  488.5060119628906 |   0.006920010317116976 | 52897.66015625 |  2.0 | 76.0 |
          14.0 |              3.0 |   483.677001953125 |   0.000654003000818193 | 52897.66015625 |  2.0 | 85.0 |
          14.0 |              3.0 |  482.9939880371094 |   0.004979969933629036 | 52897.66015625 |  2.0 | 88.0 |
          14.0 |              3.0 |    2542.5810546875 |    0.13500000536441803 |    82884.40625 |  3.0 |  4.0 |
          14.0 |              3.0 |  1417.237060546875 |     0.8199900388717651 |    82884.40625 |  3.0 |  8.0 |
          14.0 |              3.0 | 1312.5909423828125 |    0.12800100445747375 |    82884.40625 |  3.0 |  9.0 |
          14.0 |              3.0 | 1206.5550537109375 |      5.150099754333496 |    82884.40625 |  3.0 | 10.0 |
          14.0 |              3.0 |  823.4089965820312 |    0.27399900555610657 |    82884.40625 |  3.0 | 15.0 |
