 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |     j |
          14.0 |              4.0 |           1402.77 |    0.5381 |        0.0 |  1.0 |   2.0 |
          14.0 |              4.0 |          1393.755 |      1.08 |        0.0 |  1.0 |   3.0 |
          14.0 |              4.0 |          1128.325 |    0.3365 |   71748.64 |  3.0 |   4.0 |
          14.0 |              4.0 |           623.536 |       0.0 |        0.0 |  1.0 |   4.0 |
          14.0 |              4.0 |          1122.485 |     1.684 |   71287.54 |  2.0 |   4.0 |
          14.0 |              4.0 |           1128.34 |     3.025 |   71748.64 |  3.0 |   5.0 |
          14.0 |              4.0 |           623.541 |       0.0 |        0.0 |  1.0 |   5.0 |
          14.0 |              4.0 |           818.128 |    0.4676 |   71748.64 |  3.0 |   6.0 |
          14.0 |              4.0 |           815.053 |     0.232 |   71287.54 |  2.0 |   6.0 |
          14.0 |              4.0 |           682.509 |       0.0 |   71748.64 |  3.0 |   7.0 |
          14.0 |              4.0 |          1727.376 |    0.4892 |   160375.6 |  4.0 |   7.0 |
          14.0 |              4.0 |          4117.265 |    0.7865 |  193978.89 |  6.0 |   7.0 |
          14.0 |              4.0 |           458.155 |   0.02118 |        0.0 |  1.0 |   7.0 |
          14.0 |              4.0 |          1722.526 |    0.8777 |   160374.4 |  5.0 |   8.0 |
          14.0 |              4.0 |           681.756 |       0.0 |   71748.64 |  3.0 |   8.0 |
          14.0 |              4.0 |          1722.562 |   0.09742 |   160375.6 |  4.0 |   8.0 |
          14.0 |              4.0 |          4090.016 |     1.582 |  193978.89 |  6.0 |   8.0 |
          14.0 |              4.0 |           457.815 |   0.04117 |        0.0 |  1.0 |   8.0 |
          14.0 |              4.0 |            679.62 |       0.0 |   71287.54 |  2.0 |   8.0 |
          14.0 |              4.0 |          3166.614 |    0.4839 |  218428.67 |  8.0 |   9.0 |
          14.0 |              4.0 |            560.98 |  0.001556 |   71748.64 |  3.0 |   9.0 |
          14.0 |              4.0 |          3150.471 |     2.426 |  218266.86 |  7.0 |   9.0 |
          14.0 |              4.0 |          1784.782 |       0.0 |  193978.89 |  6.0 |   9.0 |
          14.0 |              4.0 |           399.987 |       0.0 |        0.0 |  1.0 |   9.0 |
          14.0 |              4.0 |           559.533 |  0.007171 |   71287.54 |  2.0 |   9.0 |
          14.0 |              4.0 |          3166.627 |     4.359 |  218428.67 |  8.0 |  10.0 |
          14.0 |              4.0 |          1066.636 |    0.2664 |   160374.4 |  5.0 |  11.0 |
          14.0 |              4.0 |         24277.371 |   0.03019 |  250008.02 | 10.0 |  11.0 |
          14.0 |              4.0 |          24278.11 |    0.4241 |  250008.14 |  9.0 |  11.0 |
          14.0 |              4.0 |           1066.65 |     3.735 |   160375.6 |  4.0 |  11.0 |
          14.0 |              4.0 |           546.928 |       0.0 |   71287.54 |  2.0 |  11.0 |
          14.0 |              4.0 |          1066.614 |     5.329 |   160374.4 |  5.0 |  12.0 |
          14.0 |              4.0 |         24265.867 |     0.605 |  250008.02 | 10.0 |  12.0 |
          14.0 |              4.0 |           548.305 |       0.0 |   71748.64 |  3.0 |  12.0 |
          14.0 |              4.0 |          2128.146 |     0.832 |  218428.67 |  8.0 |  13.0 |
          14.0 |              4.0 |           516.344 |   0.07158 |   71748.64 |  3.0 |  13.0 |
          14.0 |              4.0 |          2120.842 |    0.4129 |  218266.86 |  7.0 |  13.0 |
          14.0 |              4.0 |           515.118 |   0.03547 |   71287.54 |  2.0 |  13.0 |
          14.0 |              4.0 |          3774.224 |    0.9953 |  250008.14 |  9.0 |  14.0 |
          14.0 |              4.0 |          1721.912 |       0.0 |  218428.67 |  8.0 |  14.0 |
          14.0 |              4.0 |           488.389 |       0.0 |   71748.64 |  3.0 |  14.0 |
          14.0 |              4.0 |           861.118 |    0.0392 |   160375.6 |  4.0 |  14.0 |
          14.0 |              4.0 |          9020.616 |     1.024 |  265417.94 | 13.0 |  14.0 |
          14.0 |              4.0 |          1211.757 |   0.01536 |  193978.89 |  6.0 |  14.0 |
          14.0 |              4.0 |           361.659 |   0.00972 |        0.0 |  1.0 |  14.0 |
          14.0 |              4.0 |           860.551 |   0.07059 |   160374.4 |  5.0 |  15.0 |
          14.0 |              4.0 |          3763.499 |     1.792 |  250008.02 | 10.0 |  15.0 |
