 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |    i |    j |
          14.0 |              9.0 |         39277.297 |      0.0 |        0.0 |  1.0 |  2.0 |
          14.0 |              9.0 |         15588.465 |      0.0 |        0.0 |  1.0 |  3.0 |
          14.0 |              9.0 |         25846.473 |      0.0 |     2546.0 |  2.0 |  3.0 |
          14.0 |              9.0 |          1889.395 |      0.0 |        0.0 |  1.0 |  4.0 |
          14.0 |              9.0 |          1984.875 |      0.0 |     2546.0 |  2.0 |  4.0 |
          14.0 |              9.0 |          2149.983 |      0.0 |     6415.0 |  3.0 |  4.0 |
          14.0 |              9.0 |           950.155 |      0.0 |     2546.0 |  2.0 |  5.0 |
          14.0 |              9.0 |           986.417 |      0.0 |     6415.0 |  3.0 |  5.0 |
          14.0 |              9.0 |          1822.656 |      0.0 |    52927.0 |  4.0 |  5.0 |
          14.0 |              9.0 |           676.508 | 2.23e-05 |     2546.0 |  2.0 |  6.0 |
          14.0 |              9.0 |            694.69 | 5.95e-05 |     6415.0 |  3.0 |  6.0 |
          14.0 |              9.0 |          1026.304 |  8.9e-08 |    52927.0 |  4.0 |  6.0 |
          14.0 |              9.0 |            345.12 |    0.184 |     2546.0 |  2.0 |  7.0 |
          14.0 |              9.0 |           349.791 |   0.0369 |     6415.0 |  3.0 |  7.0 |
          14.0 |              9.0 |           417.758 |  0.00014 |    52927.0 |  4.0 |  7.0 |
          14.0 |              9.0 |            341.95 |   0.0831 |        0.0 |  1.0 |  8.0 |
          14.0 |              9.0 |           344.954 |   0.0487 |     2546.0 |  2.0 |  8.0 |
          14.0 |              9.0 |            349.62 |  0.00196 |     6415.0 |  3.0 |  8.0 |
          14.0 |              9.0 |           417.514 | 7.17e-05 |    52927.0 |  4.0 |  8.0 |
          14.0 |              9.0 |           541.571 | 7.65e-05 |   107792.0 |  5.0 |  8.0 |
          14.0 |              9.0 |            349.86 |    0.303 |     6415.0 |  3.0 |  9.0 |
          14.0 |              9.0 |           417.856 |  0.00097 |    52927.0 |  4.0 |  9.0 |
