 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          14.0 |              8.0 |          1445.734 |       0.0 |        0.0 |  1.0 |  2.0 |
          14.0 |              8.0 |          1440.507 |       0.0 |        0.0 |  1.0 |  3.0 |
          14.0 |              8.0 |         398406.38 |       0.0 |    69169.0 |  2.0 |  3.0 |
          14.0 |              8.0 |           949.352 |       0.0 |        0.0 |  1.0 |  4.0 |
          14.0 |              8.0 |          2765.028 |       0.0 |    69169.0 |  2.0 |  4.0 |
          14.0 |              8.0 |          2784.352 |       0.0 |    69420.0 |  3.0 |  4.0 |
          14.0 |              8.0 |           944.465 |       0.0 |        0.0 |  1.0 |  5.0 |
          14.0 |              8.0 |          2723.979 |       0.0 |    69169.0 |  2.0 |  5.0 |
          14.0 |              8.0 |          2742.732 |       0.0 |    69420.0 |  3.0 |  5.0 |
          14.0 |              8.0 |         183486.23 |       0.0 |   105335.0 |  4.0 |  5.0 |
          14.0 |              8.0 |           319.839 |     0.436 |        0.0 |  1.0 |  6.0 |
          14.0 |              8.0 |           410.698 |  5.48e-05 |    69169.0 |  2.0 |  6.0 |
          14.0 |              8.0 |           411.122 | 0.0001836 |    69420.0 |  3.0 |  6.0 |
          14.0 |              8.0 |           483.613 | 0.0001804 |   105880.0 |  5.0 |  6.0 |
          14.0 |              8.0 |           316.218 |    0.2952 |        0.0 |  1.0 |  7.0 |
          14.0 |              8.0 |           404.745 |  7.92e-06 |    69169.0 |  2.0 |  7.0 |
          14.0 |              8.0 |           405.157 |  6.48e-06 |    69420.0 |  3.0 |  7.0 |
          14.0 |              8.0 |            475.38 |  0.000194 |   105880.0 |  5.0 |  7.0 |
          14.0 |              8.0 |           314.356 |    0.1488 |        0.0 |  1.0 |  8.0 |
          14.0 |              8.0 |             401.7 |   9.4e-06 |    69169.0 |  2.0 |  8.0 |
          14.0 |              8.0 |           469.978 |  2.82e-05 |   105335.0 |  4.0 |  8.0 |
          14.0 |              8.0 |           471.185 |     5e-06 |   105880.0 |  5.0 |  8.0 |
          14.0 |              8.0 |           232.355 |  6.16e-06 |        0.0 |  1.0 |  9.0 |
          14.0 |              8.0 |            276.85 |     0.496 |    69169.0 |  2.0 |  9.0 |
          14.0 |              8.0 |           277.042 |   0.04338 |    69420.0 |  3.0 |  9.0 |
          14.0 |              8.0 |           307.653 |    0.0764 |   105335.0 |  4.0 |  9.0 |
          14.0 |              8.0 |            308.17 |     0.002 |   105880.0 |  5.0 |  9.0 |
          14.0 |              8.0 |           276.865 |   0.02868 |    69169.0 |  2.0 | 10.0 |
          14.0 |              8.0 |           277.057 |     0.726 |    69420.0 |  3.0 | 10.0 |
          14.0 |              8.0 |           308.189 |    0.1616 |   105880.0 |  5.0 | 10.0 |
          14.0 |              8.0 |            198.18 |   0.00014 |        0.0 |  1.0 | 11.0 |
          14.0 |              8.0 |           229.661 |   0.01808 |    69169.0 |  2.0 | 11.0 |
          14.0 |              8.0 |           250.465 |    0.1742 |   105335.0 |  4.0 | 11.0 |
          14.0 |              8.0 |           250.807 |      0.27 |   105880.0 |  5.0 | 11.0 |
          14.0 |              8.0 |           188.531 |  0.000488 |        0.0 |  1.0 | 12.0 |
          14.0 |              8.0 |           216.803 |    0.1552 |    69169.0 |  2.0 | 12.0 |
          14.0 |              8.0 |           216.921 |     1.014 |    69420.0 |  3.0 | 12.0 |
          14.0 |              8.0 |           235.249 |    0.0666 |   105335.0 |  4.0 | 12.0 |
          14.0 |              8.0 |           235.551 |    0.2568 |   105880.0 |  5.0 | 12.0 |
          14.0 |              8.0 |           186.983 |     7e-05 |        0.0 |  1.0 | 13.0 |
          14.0 |              8.0 |           214.758 |     0.488 |    69169.0 |  2.0 | 13.0 |
          14.0 |              8.0 |           232.843 |     0.103 |   105335.0 |  4.0 | 13.0 |
          14.0 |              8.0 |           233.139 |    0.1552 |   105880.0 |  5.0 | 13.0 |
          14.0 |              8.0 |           197.038 |   0.00042 |   312657.0 |  6.0 | 14.0 |
          14.0 |              8.0 |           198.438 | 0.0001284 |   316238.0 |  7.0 | 14.0 |
          14.0 |              8.0 |           199.179 |     4e-05 |   318111.0 |  8.0 | 14.0 |
          14.0 |              8.0 |           256.531 |     0.684 |   430356.0 | 10.0 | 14.0 |
          14.0 |              8.0 |           256.544 |    0.0904 |   430376.0 |  9.0 | 14.0 |
          14.0 |              8.0 |           316.877 |    0.0812 |   504593.0 | 11.0 | 14.0 |
          14.0 |              8.0 |           345.118 |     0.828 |   530417.0 | 12.0 | 14.0 |
          14.0 |              8.0 |            350.43 |    0.1496 |   534809.0 | 13.0 | 14.0 |
          14.0 |              8.0 |           196.201 |  9.22e-06 |   316238.0 |  7.0 | 15.0 |
          14.0 |              8.0 |           196.925 |  7.84e-05 |   318111.0 |  8.0 | 15.0 |
          14.0 |              8.0 |           252.817 |     0.374 |   430376.0 |  9.0 | 15.0 |
          14.0 |              8.0 |            311.21 |   0.01616 |   504593.0 | 11.0 | 15.0 |
          14.0 |              8.0 |           338.407 |    0.1816 |   530417.0 | 12.0 | 15.0 |
          14.0 |              8.0 |           343.513 |     0.352 |   534809.0 | 13.0 | 15.0 |
          14.0 |              8.0 |            69.905 |   0.07713 |        0.0 |  1.0 | 16.0 |
          14.0 |              8.0 |            73.457 |  0.000615 |    69169.0 |  2.0 | 16.0 |
          14.0 |              8.0 |            75.462 | 4.179e-05 |   105335.0 |  4.0 | 16.0 |
          14.0 |              8.0 |            75.493 |  8.87e-05 |   105880.0 |  5.0 | 16.0 |
          14.0 |              8.0 |           163.844 | 1.241e-05 |   820173.0 | 14.0 | 16.0 |
          14.0 |              8.0 |             69.79 |    0.1535 |        0.0 |  1.0 | 17.0 |
          14.0 |              8.0 |             73.33 | 0.0004307 |    69169.0 |  2.0 | 17.0 |
          14.0 |              8.0 |            73.343 |  0.001212 |    69420.0 |  3.0 | 17.0 |
          14.0 |              8.0 |            75.328 | 6.776e-05 |   105335.0 |  4.0 | 17.0 |
          14.0 |              8.0 |            75.359 | 0.0003201 |   105880.0 |  5.0 | 17.0 |
          14.0 |              8.0 |           163.213 | 1.954e-05 |   820173.0 | 14.0 | 17.0 |
          14.0 |              8.0 |            69.632 |    0.2288 |        0.0 |  1.0 | 18.0 |
          14.0 |              8.0 |            73.156 | 5.492e-05 |    69169.0 |  2.0 | 18.0 |
          14.0 |              8.0 |            73.169 |  0.001181 |    69420.0 |  3.0 | 18.0 |
          14.0 |              8.0 |            68.966 | 6.075e-05 |        0.0 |  1.0 | 19.0 |
          14.0 |              8.0 |            72.421 |    0.1869 |    69169.0 |  2.0 | 19.0 |
          14.0 |              8.0 |            74.369 |   0.07541 |   105335.0 |  4.0 | 19.0 |
          14.0 |              8.0 |            74.399 |     0.021 |   105880.0 |  5.0 | 19.0 |
          14.0 |              8.0 |           158.776 |  0.001033 |   820173.0 | 14.0 | 19.0 |
          14.0 |              8.0 |           160.238 |  0.001869 |   825919.0 | 15.0 | 19.0 |
          14.0 |              8.0 |            68.781 | 0.0001209 |        0.0 |  1.0 | 20.0 |
          14.0 |              8.0 |            72.216 |  0.006704 |    69169.0 |  2.0 | 20.0 |
          14.0 |              8.0 |            72.229 |    0.3083 |    69420.0 |  3.0 | 20.0 |
          14.0 |              8.0 |            74.153 |   0.04832 |   105335.0 |  4.0 | 20.0 |
          14.0 |              8.0 |            74.183 |    0.2014 |   105880.0 |  5.0 | 20.0 |
          14.0 |              8.0 |           157.797 |  0.004705 |   820173.0 | 14.0 | 20.0 |
          14.0 |              8.0 |            159.24 |  0.001178 |   825919.0 | 15.0 | 20.0 |
          14.0 |              8.0 |            67.263 | 0.0002213 |        0.0 |  1.0 | 21.0 |
          14.0 |              8.0 |            70.545 |   0.03852 |    69169.0 |  2.0 | 21.0 |
          14.0 |              8.0 |            70.557 |    0.3114 |    69420.0 |  3.0 | 21.0 |
          14.0 |              8.0 |             72.42 |    0.1049 |   105880.0 |  5.0 | 21.0 |
          14.0 |              8.0 |           150.029 |  0.002561 |   820173.0 | 14.0 | 21.0 |
          14.0 |              8.0 |            67.198 | 3.096e-05 |        0.0 |  1.0 | 22.0 |
          14.0 |              8.0 |            70.473 |    0.1882 |    69169.0 |  2.0 | 22.0 |
          14.0 |              8.0 |            70.486 |   0.01144 |    69420.0 |  3.0 | 22.0 |
          14.0 |              8.0 |            72.316 |   0.05951 |   105335.0 |  4.0 | 22.0 |
          14.0 |              8.0 |            72.345 |   0.04788 |   105880.0 |  5.0 | 22.0 |
          14.0 |              8.0 |           149.706 | 0.0005439 |   820173.0 | 14.0 | 22.0 |
          14.0 |              8.0 |           151.005 |  0.001238 |   825919.0 | 15.0 | 22.0 |
          14.0 |              8.0 |            66.106 |       0.0 |        0.0 |  1.0 | 23.0 |
          14.0 |              8.0 |            69.417 |       0.0 |    69169.0 |  2.0 | 23.0 |
          14.0 |              8.0 |            69.434 |       0.0 |    69420.0 |  3.0 | 23.0 |
          14.0 |              8.0 |            71.029 |       0.0 |   105880.0 |  5.0 | 23.0 |
          14.0 |              8.0 |              83.5 | 8.521e-05 |   316238.0 |  7.0 | 23.0 |
          14.0 |              8.0 |             83.63 | 2.647e-05 |   318111.0 |  8.0 | 23.0 |
          14.0 |              8.0 |            93.296 | 3.835e-05 |   430376.0 |  9.0 | 23.0 |
          14.0 |              8.0 |           100.081 | 1.216e-05 |   504593.0 | 11.0 | 23.0 |
          14.0 |              8.0 |           103.741 |  0.003879 |   530417.0 | 12.0 | 23.0 |
          14.0 |              8.0 |           104.203 |  0.001353 |   534809.0 | 13.0 | 23.0 |
          14.0 |              8.0 |           1304.41 |  0.005631 |  1430510.0 | 16.0 | 23.0 |
          14.0 |              8.0 |          1344.176 |  0.005704 |  1432870.0 | 17.0 | 23.0 |
          14.0 |              8.0 |          1780.563 |   0.07825 |  1449990.0 | 19.0 | 23.0 |
