 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          14.0 |             10.0 |         14304.719 |       0.0 |        0.0 |   1.0 |   2.0 |
          14.0 |             10.0 |            621.01 | 3.815e-05 |        0.0 |   1.0 |   3.0 |
          14.0 |             10.0 |           649.193 | 6.456e-05 |     6990.7 |   2.0 |   3.0 |
          14.0 |             10.0 |            611.61 | 3.694e-06 |        0.0 |   1.0 |   4.0 |
          14.0 |             10.0 |           638.927 | 3.466e-05 |     6990.7 |   2.0 |   4.0 |
          14.0 |             10.0 |           624.694 | 0.0001721 |     6990.7 |   2.0 |   5.0 |
          14.0 |             10.0 |           347.402 |    0.2846 |        0.0 |   1.0 |   6.0 |
          14.0 |             10.0 |           356.049 |   0.04198 |     6990.7 |   2.0 |   6.0 |
          14.0 |             10.0 |           356.037 |    0.4736 |     6990.7 |   2.0 |   7.0 |
          14.0 |             10.0 |           271.992 |    0.1189 |        0.0 |   1.0 |   8.0 |
          14.0 |             10.0 |           277.264 |    0.1989 |     6990.7 |   2.0 |   8.0 |
          14.0 |             10.0 |           256.377 |    0.1813 |        0.0 |   1.0 |   9.0 |
          14.0 |             10.0 |           261.056 |     0.316 |     6990.7 |   2.0 |   9.0 |
          14.0 |             10.0 |            253.79 |    0.2172 |        0.0 |   1.0 |  10.0 |
          14.0 |             10.0 |           258.374 |     1.162 |     6990.7 |   2.0 |  10.0 |
          14.0 |             10.0 |           289.196 |    0.5404 |   163503.0 |   4.0 |  11.0 |
          14.0 |             10.0 |           867.589 | 0.0002654 |   394027.0 |  10.0 |  11.0 |
          14.0 |             10.0 |           287.141 |     0.273 |   161028.0 |   3.0 |  11.0 |
          14.0 |             10.0 |            292.21 |    0.8016 |   167069.0 |   5.0 |  11.0 |
          14.0 |             10.0 |           838.652 | 6.902e-05 |   390050.0 |   9.0 |  11.0 |
          14.0 |             10.0 |           242.763 | 0.0002684 |   163503.0 |   4.0 |  12.0 |
          14.0 |             10.0 |           347.734 |    0.5504 |   287851.0 |   6.0 |  12.0 |
          14.0 |             10.0 |           551.268 |   0.04942 |   394027.0 |  10.0 |  12.0 |
          14.0 |             10.0 |           241.313 | 1.052e-05 |   161028.0 |   3.0 |  12.0 |
          14.0 |             10.0 |           244.883 | 2.958e-05 |   167069.0 |   5.0 |  12.0 |
          14.0 |             10.0 |           539.441 |    0.3522 |   390050.0 |   9.0 |  12.0 |
          14.0 |             10.0 |           347.745 |   0.09446 |   287860.0 |   7.0 |  12.0 |
          14.0 |             10.0 |           481.304 |   0.01912 |   367658.0 |   8.0 |  12.0 |
          14.0 |             10.0 |           242.746 |  3.36e-05 |   163503.0 |   4.0 |  13.0 |
          14.0 |             10.0 |           347.699 |   0.08112 |   287851.0 |   6.0 |  13.0 |
          14.0 |             10.0 |            551.18 |    0.5918 |   394027.0 |  10.0 |  13.0 |
          14.0 |             10.0 |           244.866 |  0.001048 |   167069.0 |   5.0 |  13.0 |
          14.0 |             10.0 |            347.71 |    0.9186 |   287860.0 |   7.0 |  13.0 |
          14.0 |             10.0 |           206.929 | 1.209e-05 |   163503.0 |   4.0 |  14.0 |
          14.0 |             10.0 |           278.622 |     0.368 |   287851.0 |   6.0 |  14.0 |
          14.0 |             10.0 |           395.674 |    0.1324 |   394027.0 |  10.0 |  14.0 |
          14.0 |             10.0 |           205.875 | 2.988e-05 |   161028.0 |   3.0 |  14.0 |
          14.0 |             10.0 |           389.545 |    0.1714 |   390050.0 |   9.0 |  14.0 |
          14.0 |             10.0 |           358.292 |   0.02429 |   367658.0 |   8.0 |  14.0 |
          14.0 |             10.0 |            206.66 | 0.0002624 |   163503.0 |   4.0 |  15.0 |
          14.0 |             10.0 |           278.134 |    0.0883 |   287851.0 |   6.0 |  15.0 |
          14.0 |             10.0 |           394.691 |    0.7676 |   394027.0 |  10.0 |  15.0 |
          14.0 |             10.0 |           205.608 | 3.568e-06 |   161028.0 |   3.0 |  15.0 |
          14.0 |             10.0 |           208.194 | 0.0001208 |   167069.0 |   5.0 |  15.0 |
          14.0 |             10.0 |           388.591 |   0.06332 |   390050.0 |   9.0 |  15.0 |
          14.0 |             10.0 |           278.141 |    0.6012 |   287860.0 |   7.0 |  15.0 |
          14.0 |             10.0 |           357.485 |    0.2588 |   367658.0 |   8.0 |  15.0 |
          14.0 |             10.0 |            54.885 |   0.04687 |        0.0 |   1.0 |  16.0 |
          14.0 |             10.0 |            55.096 |   0.09668 |     6990.7 |   2.0 |  16.0 |
          14.0 |             10.0 |            65.183 |       0.0 |   287860.0 |   7.0 |  16.0 |
          14.0 |             10.0 |            57.534 | 6.494e-06 |   163503.0 |   4.0 |  17.0 |
          14.0 |             10.0 |            61.968 |   0.01853 |   287851.0 |   6.0 |  17.0 |
          14.0 |             10.0 |          1234.762 |    0.1793 |  1822004.0 |  16.0 |  17.0 |
          14.0 |             10.0 |            66.333 |   0.00025 |   394027.0 |  10.0 |  17.0 |
          14.0 |             10.0 |            57.452 | 1.828e-06 |   161028.0 |   3.0 |  17.0 |
          14.0 |             10.0 |            52.782 |       0.0 |     6990.7 |   2.0 |  17.0 |
          14.0 |             10.0 |            66.158 |  0.001226 |   390050.0 |   9.0 |  17.0 |
          14.0 |             10.0 |            65.193 |  0.001831 |   367658.0 |   8.0 |  17.0 |
          14.0 |             10.0 |            61.895 |  0.003526 |   287851.0 |   6.0 |  18.0 |
          14.0 |             10.0 |            52.535 |       0.0 |        0.0 |   1.0 |  18.0 |
          14.0 |             10.0 |          1206.442 |    0.3663 |  1822004.0 |  16.0 |  18.0 |
          14.0 |             10.0 |            66.249 |  0.002001 |   394027.0 |  10.0 |  18.0 |
          14.0 |             10.0 |             57.39 | 6.947e-07 |   161028.0 |   3.0 |  18.0 |
          14.0 |             10.0 |            52.729 |       0.0 |     6990.7 |   2.0 |  18.0 |
          14.0 |             10.0 |             57.59 | 4.628e-05 |   167069.0 |   5.0 |  18.0 |
          14.0 |             10.0 |            66.075 |  7.93e-05 |   390050.0 |   9.0 |  18.0 |
          14.0 |             10.0 |            61.896 |   0.03316 |   287860.0 |   7.0 |  18.0 |
          14.0 |             10.0 |            65.112 |  0.004968 |   367658.0 |   8.0 |  18.0 |
          14.0 |             10.0 |            50.524 |     1.236 |        0.0 |   1.0 |  19.0 |
          14.0 |             10.0 |            71.234 | 0.0001322 |   575427.0 |  12.0 |  19.0 |
          14.0 |             10.0 |            50.703 |    0.2477 |     6990.7 |   2.0 |  19.0 |
          14.0 |             10.0 |           1273.77 |     0.254 |  1901580.2 |  17.0 |  19.0 |
          14.0 |             10.0 |          1305.381 |   0.04956 |  1903481.4 |  18.0 |  19.0 |
          14.0 |             10.0 |            71.211 | 0.0002039 |   575456.0 |  13.0 |  20.0 |
          14.0 |             10.0 |            50.691 |      2.23 |     6990.7 |   2.0 |  20.0 |
          14.0 |             10.0 |          1296.078 |      0.45 |  1903481.4 |  18.0 |  20.0 |
