 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |       E_i(cm^-1) |     i |     j |
          14.0 |              2.0 |     2335.123046875 | 1.1482000445539597e-05 |              0.0 |   1.0 |   3.0 |
          14.0 |              2.0 |   2329.23095703125 |  7.127999879230629e-08 |              0.0 |   1.0 |   4.0 |
          14.0 |              2.0 |  1808.012939453125 |  0.0015275999903678894 |              0.0 |   1.0 |   6.0 |
          14.0 |              2.0 |      1526.70703125 |     0.2558000087738037 |              0.0 |   1.0 |   8.0 |
          14.0 |              2.0 | 1304.3699951171875 |    0.21240000426769257 |              0.0 |   1.0 |   9.0 |
          14.0 |              2.0 | 1260.4219970703125 |     2.8980000019073486 |              0.0 |   1.0 |  10.0 |
          14.0 |              2.0 |    1193.2900390625 |     1.1884000301361084 |              0.0 |   1.0 |  14.0 |
          14.0 |              2.0 |     1190.416015625 |     0.5687999725341797 |              0.0 |   1.0 |  15.0 |
          14.0 |              2.0 |  1020.698974609375 |    0.03206000104546547 |              0.0 |   1.0 |  16.0 |
          14.0 |              2.0 |  989.8729858398438 |     0.2937999963760376 |              0.0 |   1.0 |  17.0 |
          14.0 |              2.0 |   899.406005859375 |   0.011272000148892403 |              0.0 |   1.0 |  25.0 |
          14.0 |              2.0 |  889.7230224609375 |    0.05333999916911125 |              0.0 |   1.0 |  26.0 |
          14.0 |              2.0 |  848.0700073242188 |    0.00532200001180172 |              0.0 |   1.0 |  41.0 |
          14.0 |              2.0 |   843.718994140625 |   0.016443999484181404 |              0.0 |   1.0 |  42.0 |
          14.0 |              2.0 |  820.9210205078125 |  0.0029440000653266907 |              0.0 |   1.0 |  54.0 |
          14.0 |              2.0 |  818.5750122070312 |   0.006823999807238579 |              0.0 |   1.0 |  55.0 |
          14.0 |              2.0 |   804.656005859375 |  0.0017987999599426985 |              0.0 |   1.0 |  68.0 |
          14.0 |              2.0 |  803.2410278320312 |   0.003379999892786145 |              0.0 |   1.0 |  74.0 |
          14.0 |              2.0 |  794.3579711914062 |  0.0011721999617293477 |              0.0 |   1.0 |  89.0 |
          14.0 |              2.0 |      793.416015625 |  0.0018749999580904841 |              0.0 |   1.0 |  90.0 |
          14.0 |              2.0 |   787.072998046875 |  0.0007962000090628862 |              0.0 |   1.0 | 105.0 |
          14.0 |              2.0 |  786.4229736328125 |   0.001101600006222725 |              0.0 |   1.0 | 106.0 |
          14.0 |              2.0 |  781.2239990234375 |  0.0007890000124461949 |              0.0 |   1.0 | 117.0 |
          14.0 |              2.0 |     776.4580078125 |  0.0011804000241681933 |              0.0 |   1.0 | 125.0 |
          14.0 |              2.0 |     773.7490234375 |   0.000901399995200336 |              0.0 |   1.0 | 126.0 |
          14.0 |              2.0 |  771.6129760742188 |  0.0007052000146359205 |              0.0 |   1.0 | 127.0 |
          14.0 |              2.0 |  769.8980102539062 |  0.0005627999780699611 |              0.0 |   1.0 | 128.0 |
          14.0 |              2.0 |     768.5009765625 |  0.0004566000134218484 |              0.0 |   1.0 | 129.0 |
          14.0 |              2.0 |  767.3460083007812 |  0.0003760000108741224 |              0.0 |   1.0 | 130.0 |
          14.0 |              2.0 |  766.3809814453125 |  0.0003133999998681247 |              0.0 |   1.0 | 131.0 |
          14.0 |              2.0 |  765.5659790039062 | 0.00026420000358484685 |              0.0 |   1.0 | 132.0 |
          14.0 |              2.0 |  764.8720092773438 | 0.00022479999461211264 |              0.0 |   1.0 | 133.0 |
          14.0 |              2.0 |  764.2760009765625 | 0.00019295999663881958 |              0.0 |   1.0 | 134.0 |
          14.0 |              2.0 |   763.760009765625 |  0.0001669000048423186 |              0.0 |   1.0 | 135.0 |
          14.0 |              2.0 |  763.3099975585938 | 0.00014535999798681587 |              0.0 |   1.0 | 136.0 |
          14.0 |              2.0 |      762.916015625 | 0.00012738000077661127 |              0.0 |   1.0 | 137.0 |
          14.0 |              2.0 |  762.5679931640625 | 0.00011228000221308321 |              0.0 |   1.0 | 138.0 |
          14.0 |              2.0 |   762.260009765625 |  9.947999933501706e-05 |              0.0 |   1.0 | 139.0 |
          14.0 |              2.0 |  761.9860229492188 |  8.857999637257308e-05 |              0.0 |   1.0 | 140.0 |
          14.0 |              2.0 |  761.7410278320312 |  7.922000077087432e-05 |              0.0 |   1.0 | 141.0 |
          14.0 |              2.0 |    761.52099609375 |  7.111999730113894e-05 |              0.0 |   1.0 | 142.0 |
          14.0 |              2.0 |   761.322021484375 |  6.412000220734626e-05 |              0.0 |   1.0 | 143.0 |
          14.0 |              2.0 |    758.81201171875 | 2.5120000373135554e-06 |              0.0 |   1.0 | 145.0 |
          14.0 |              2.0 |  758.3690185546875 |  5.998000318641061e-08 |              0.0 |   1.0 | 146.0 |
          14.0 |              2.0 |  754.1929931640625 | 0.00013519999629352242 |              0.0 |   1.0 | 150.0 |
          14.0 |              2.0 |  753.7150268554688 | 0.00010279999696649611 |              0.0 |   1.0 | 151.0 |
          14.0 |              2.0 |  746.1749877929688 | 1.3707999357848166e-07 |              0.0 |   1.0 | 152.0 |
          14.0 |              2.0 |  745.8289794921875 |  5.457999918689893e-08 |              0.0 |   1.0 | 153.0 |
          14.0 |              2.0 |   741.260986328125 |  1.361400023824899e-07 |              0.0 |   1.0 | 155.0 |
          14.0 |              2.0 |   2350.89208984375 |  8.611999874119647e-06 | 287.239990234375 |   2.0 |   3.0 |
          14.0 |              2.0 |     2344.919921875 | 6.8879999162163585e-06 | 287.239990234375 |   2.0 |   4.0 |
          14.0 |              2.0 |  2335.321044921875 | 1.5924000763334334e-05 | 287.239990234375 |   2.0 |   5.0 |
          14.0 |              2.0 | 1817.4510498046875 | 0.00011747999815270305 | 287.239990234375 |   2.0 |   6.0 |
          14.0 |              2.0 |  1816.927978515625 |   0.002371199894696474 | 287.239990234375 |   2.0 |   7.0 |
          14.0 |              2.0 | 1533.4310302734375 |     0.5080000162124634 | 287.239990234375 |   2.0 |   8.0 |
          14.0 |              2.0 | 1309.2760009765625 |     0.3572799861431122 | 287.239990234375 |   2.0 |   9.0 |
          14.0 |              2.0 |     1265.001953125 |     0.5332000255584717 | 287.239990234375 |   2.0 |  10.0 |
          14.0 |              2.0 |  1264.738037109375 |      5.127999782562256 | 287.239990234375 |   2.0 |  11.0 |
          14.0 |              2.0 |   1197.39404296875 |      0.628000020980835 | 287.239990234375 |   2.0 |  14.0 |
          14.0 |              2.0 |             1194.5 |      3.069200038909912 | 287.239990234375 |   2.0 |  15.0 |
          14.0 |              2.0 | 1023.7000122070312 |    0.06384000182151794 | 287.239990234375 |   2.0 |  16.0 |
          14.0 |              2.0 |  992.6959838867188 |    0.05984000116586685 | 287.239990234375 |   2.0 |  17.0 |
          14.0 |              2.0 |  992.6829833984375 |     0.5284000039100647 | 287.239990234375 |   2.0 |  18.0 |
          14.0 |              2.0 |  901.7360229492188 |   0.022492000833153725 | 287.239990234375 |   2.0 |  25.0 |
          14.0 |              2.0 |  892.0020141601562 |    0.01078800018876791 | 287.239990234375 |   2.0 |  26.0 |
          14.0 |              2.0 |     892.0009765625 |    0.09591999650001526 | 287.239990234375 |   2.0 |  27.0 |
          14.0 |              2.0 |  850.1409912109375 |   0.010615999810397625 | 287.239990234375 |   2.0 |  41.0 |
          14.0 |              2.0 |  845.7689819335938 |   0.003326399950310588 | 287.239990234375 |   2.0 |  42.0 |
          14.0 |              2.0 |  845.7680053710938 |   0.029580000787973404 | 287.239990234375 |   2.0 |  43.0 |
          14.0 |              2.0 |  822.8610229492188 |   0.005876000039279461 | 287.239990234375 |   2.0 |  54.0 |
          14.0 |              2.0 |  820.5040283203125 |  0.0013804000336676836 | 287.239990234375 |   2.0 |  55.0 |
          14.0 |              2.0 |    806.52001953125 |  0.0035892000887542963 | 287.239990234375 |   2.0 |  68.0 |
          14.0 |              2.0 |  805.0980224609375 |   0.006095999851822853 | 287.239990234375 |   2.0 |  73.0 |
          14.0 |              2.0 |  796.1749877929688 |   0.002338800113648176 | 287.239990234375 |   2.0 |  89.0 |
