 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |     E_i(cm^-1) |     i |     j |
          14.0 |              7.0 |  2146.637939453125 |  4.389599794762944e-08 |            0.0 |   1.0 |   4.0 |
          14.0 |              7.0 | 1006.6339721679688 | 1.6710501038463832e-11 |            0.0 |   1.0 |   5.0 |
          14.0 |              7.0 |  275.3529968261719 |     0.5289499759674072 |            0.0 |   1.0 |   6.0 |
          14.0 |              7.0 |  272.6390075683594 |    0.17806999385356903 |            0.0 |   1.0 |   7.0 |
          14.0 |              7.0 |  85.29000091552734 |    0.23809999227523804 |            0.0 |   1.0 |  12.0 |
          14.0 |              7.0 |  81.62300109863281 |  0.0035225998144596815 |            0.0 |   1.0 |  13.0 |
          14.0 |              7.0 |  79.26399993896484 |    0.04983200132846832 |            0.0 |   1.0 |  20.0 |
          14.0 |              7.0 |  79.23699951171875 |    0.14954499900341034 |            0.0 |   1.0 |  21.0 |
          14.0 |              7.0 |  73.13400268554688 |   0.013727500103414059 |            0.0 |   1.0 |  34.0 |
          14.0 |              7.0 |  73.12300109863281 |      1.153249979019165 |            0.0 |   1.0 |  36.0 |
          14.0 |              7.0 |  70.02799987792969 |   0.018291499465703964 |            0.0 |   1.0 |  43.0 |
          14.0 |              7.0 |   70.0270004272461 |     1.5364999771118164 |            0.0 |   1.0 |  44.0 |
          14.0 |              7.0 |  70.02400207519531 |    0.27439001202583313 |            0.0 |   1.0 |  45.0 |
          14.0 |              7.0 |  69.66400146484375 |     1.4213000535964966 |            0.0 |   1.0 |  47.0 |
          14.0 |              7.0 |  69.60199737548828 |     0.4741950035095215 |            0.0 |   1.0 |  49.0 |
          14.0 |              7.0 |  69.38500213623047 |     0.6392499804496765 |            0.0 |   1.0 |  51.0 |
          14.0 |              7.0 |   68.4530029296875 |    0.06335999816656113 |            0.0 |   1.0 |  55.0 |
          14.0 |              7.0 |  68.40599822998047 |    0.19020499289035797 |            0.0 |   1.0 |  56.0 |
          14.0 |              7.0 |  68.21299743652344 |   0.015161499381065369 |            0.0 |   1.0 |  57.0 |
          14.0 |              7.0 |  68.19000244140625 |     0.2274949997663498 |            0.0 |   1.0 |  58.0 |
          14.0 |              7.0 |  68.14800262451172 |      1.274749994277954 |            0.0 |   1.0 |  59.0 |
          14.0 |              7.0 | 63.849998474121094 |    0.10491999983787537 |            0.0 |   1.0 |  70.0 |
          14.0 |              7.0 | 63.362998962402344 |     0.5362499952316284 |            0.0 |   1.0 |  71.0 |
          14.0 |              7.0 |  62.99100112915039 |   0.062175001949071884 |            0.0 |   1.0 |  73.0 |
          14.0 |              7.0 | 62.801998138427734 |    0.29812997579574585 |            0.0 |   1.0 |  75.0 |
          14.0 |              7.0 | 61.305999755859375 |     0.1078450009226799 |            0.0 |   1.0 |  79.0 |
          14.0 |              7.0 |  60.83700180053711 |    0.49077001214027405 |            0.0 |   1.0 |  82.0 |
          14.0 |              7.0 |  59.88399887084961 |   0.031186500564217567 |            0.0 |   1.0 |  91.0 |
          14.0 |              7.0 |  59.04499816894531 |   0.017604000866413116 |            0.0 |   1.0 | 103.0 |
          14.0 |              7.0 | 58.803001403808594 |    0.09829999506473541 |            0.0 |   1.0 | 107.0 |
          14.0 |              7.0 |  58.57899856567383 |    0.30140000581741333 |            0.0 |   1.0 | 115.0 |
          14.0 |              7.0 |  58.44499969482422 |    0.30877500772476196 |            0.0 |   1.0 | 120.0 |
          14.0 |              7.0 |  58.38800048828125 |    0.20641499757766724 |            0.0 |   1.0 | 121.0 |
          14.0 |              7.0 |  57.75600051879883 |   0.010441499762237072 |            0.0 |   1.0 | 137.0 |
          14.0 |              7.0 | 57.433998107910156 |    0.09758999943733215 |            0.0 |   1.0 | 139.0 |
          14.0 |              7.0 |  57.32500076293945 |     0.3079950213432312 |            0.0 |   1.0 | 141.0 |
          14.0 |              7.0 |   56.7400016784668 |    0.02071799896657467 |            0.0 |   1.0 | 152.0 |
          14.0 |              7.0 |  56.52799987792969 |    0.38608497381210327 |            0.0 |   1.0 | 154.0 |
          14.0 |              7.0 |  56.15999984741211 |    0.05187999829649925 |            0.0 |   1.0 | 158.0 |
          14.0 |              7.0 |  56.00400161743164 |    0.12664499878883362 |            0.0 |   1.0 | 160.0 |
          14.0 |              7.0 |  55.54800033569336 | 0.00023275498824659735 |            0.0 |   1.0 | 169.0 |
          14.0 |              7.0 |  55.50899887084961 |   0.013553999364376068 |            0.0 |   1.0 | 170.0 |
          14.0 |              7.0 |   55.0880012512207 |   0.016610000282526016 |            0.0 |   1.0 | 179.0 |
          14.0 |              7.0 |  54.52199935913086 |   0.003450850024819374 |            0.0 |   1.0 | 191.0 |
          14.0 |              7.0 |  54.46200180053711 |    0.09560000151395798 |            0.0 |   1.0 | 193.0 |
          14.0 |              7.0 |  54.44499969482422 |    0.30499500036239624 |            0.0 |   1.0 | 194.0 |
          14.0 |              7.0 |  54.42900085449219 |    0.07888999581336975 |            0.0 |   1.0 | 195.0 |
          14.0 |              7.0 |  54.42599868774414 |    0.07389000058174133 |            0.0 |   1.0 | 196.0 |
          14.0 |              7.0 |  53.66299819946289 |   0.006056000012904406 |            0.0 |   1.0 | 220.0 |
