 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          14.0 |             11.0 |           580.875 | 5.524e-05 |        0.0 |   1.0 |   3.0 |
          14.0 |             11.0 |           563.959 | 5.782e-11 |        0.0 |   1.0 |   4.0 |
          14.0 |             11.0 |           19365.0 | 5.226e-07 |   172154.0 |   3.0 |   4.0 |
          14.0 |             11.0 |           303.325 |    0.2643 |        0.0 |   1.0 |   5.0 |
          14.0 |             11.0 |           877.193 |  6.12e-05 |   329679.0 |   5.0 |   6.0 |
          14.0 |             11.0 |            368.29 |       0.1 |   172154.0 |   3.0 |   6.0 |
          14.0 |             11.0 |           855.988 |   1.6e-05 |   329679.0 |   5.0 |   7.0 |
          14.0 |             11.0 |           364.499 |   0.07584 |   172154.0 |   3.0 |   7.0 |
          14.0 |             11.0 |           361.401 |    0.1021 |   169802.0 |   2.0 |   7.0 |
          14.0 |             11.0 |           371.492 |    0.1237 |   177318.0 |   4.0 |   7.0 |
          14.0 |             11.0 |           824.368 |  0.001061 |   329679.0 |   5.0 |   8.0 |
          14.0 |             11.0 |           358.641 |    0.1288 |   172154.0 |   3.0 |   8.0 |
          14.0 |             11.0 |           365.409 |    0.3756 |   177318.0 |   4.0 |   8.0 |
          14.0 |             11.0 |           604.149 |    0.2889 |   329679.0 |   5.0 |   9.0 |
          14.0 |             11.0 |           309.552 | 0.0001981 |   172154.0 |   3.0 |   9.0 |
          14.0 |             11.0 |           314.581 |  0.003078 |   177318.0 |   4.0 |   9.0 |
          14.0 |             11.0 |           358.321 |    0.1851 |   329679.0 |   5.0 |  10.0 |
          14.0 |             11.0 |           229.041 | 2.407e-05 |   172154.0 |   3.0 |  10.0 |
          14.0 |             11.0 |            53.159 | 5.433e-05 |   329679.0 |   5.0 |  11.0 |
          14.0 |             11.0 |            49.052 |   0.09543 |   172154.0 |   3.0 |  11.0 |
          14.0 |             11.0 |            48.995 |   0.03166 |   169802.0 |   2.0 |  11.0 |
          14.0 |             11.0 |            49.176 |    0.1603 |   177318.0 |   4.0 |  11.0 |
          14.0 |             11.0 |            52.296 |   0.03435 |   329679.0 |   5.0 |  12.0 |
          14.0 |             11.0 |            57.252 | 2.209e-06 |   495201.0 |   9.0 |  12.0 |
