 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |    i |    j |
          14.0 |             14.0 |            6.1856 |      0.0 |        0.0 |  1.0 |  2.0 |
          14.0 |             14.0 |            6.1858 |   0.2772 |        0.0 |  1.0 |  3.0 |
          14.0 |             14.0 |            6.1804 |   0.5552 |        0.0 |  1.0 |  4.0 |
          14.0 |             14.0 |            33.347 |  0.02718 | 16165987.0 |  3.0 |  5.0 |
          14.0 |             14.0 |           33.5051 |  0.05436 | 16180140.0 |  4.0 |  5.0 |
          14.0 |             14.0 |             5.218 |  0.05268 |        0.0 |  1.0 |  6.0 |
          14.0 |             14.0 |           33.3547 |   0.2896 | 16166518.0 |  2.0 |  6.0 |
          14.0 |             14.0 |            5.2168 |   0.1055 |        0.0 |  1.0 |  7.0 |
          14.0 |             14.0 |           33.3081 |   0.5802 | 16166518.0 |  2.0 |  7.0 |
          14.0 |             14.0 |           33.3023 |    1.392 | 16165987.0 |  3.0 |  8.0 |
          14.0 |             14.0 |             33.46 |   0.2783 | 16180140.0 |  4.0 |  8.0 |
          14.0 |             14.0 |           33.4444 |    2.505 | 16180140.0 |  4.0 |  9.0 |
          14.0 |             14.0 |           24.7059 |  0.00609 | 16165987.0 |  3.0 | 10.0 |
          14.0 |             14.0 |           24.7926 |  0.01218 | 16180140.0 |  4.0 | 10.0 |
          14.0 |             14.0 |            95.328 |   0.0645 | 19164600.0 |  6.0 | 10.0 |
          14.0 |             14.0 |            95.711 |    0.129 | 19168794.0 |  7.0 | 10.0 |
          14.0 |             14.0 |            4.9472 |  0.01931 |        0.0 |  1.0 | 11.0 |
          14.0 |             14.0 |           24.7095 |  0.06846 | 16166518.0 |  2.0 | 11.0 |
          14.0 |             14.0 |            95.349 |   0.3228 | 19164760.0 |  5.0 | 11.0 |
          14.0 |             14.0 |            95.717 |  0.03663 | 19168788.0 |  8.0 | 11.0 |
          14.0 |             14.0 |            4.9467 |  0.03867 |        0.0 |  1.0 | 12.0 |
          14.0 |             14.0 |           24.6987 |   0.1371 | 16166518.0 |  2.0 | 12.0 |
          14.0 |             14.0 |            95.189 |   0.6466 | 19164760.0 |  5.0 | 12.0 |
          14.0 |             14.0 |            95.555 | 0.007328 | 19168788.0 |  8.0 | 12.0 |
          14.0 |             14.0 |            95.682 |  0.06594 | 19170178.0 |  9.0 | 12.0 |
          14.0 |             14.0 |           24.6955 |   0.2436 | 16165987.0 |  3.0 | 13.0 |
          14.0 |             14.0 |           24.7821 |  0.04872 | 16180140.0 |  4.0 | 13.0 |
          14.0 |             14.0 |            95.174 |    1.237 | 19164600.0 |  6.0 | 13.0 |
          14.0 |             14.0 |            95.556 |   0.2473 | 19168794.0 |  7.0 | 13.0 |
          14.0 |             14.0 |           24.7785 |   0.4385 | 16180140.0 |  4.0 | 14.0 |
          14.0 |             14.0 |            95.502 |    2.226 | 19168794.0 |  7.0 | 14.0 |
          14.0 |             14.0 |            95.629 |   0.2909 | 19170178.0 |  9.0 | 15.0 |
          14.0 |             14.0 |            95.602 |    5.817 | 19170178.0 |  9.0 | 16.0 |
          14.0 |             14.0 |           22.0612 | 0.002426 | 16165987.0 |  3.0 | 17.0 |
          14.0 |             14.0 |           22.1303 | 0.004852 | 16180140.0 |  4.0 | 17.0 |
          14.0 |             14.0 |            65.179 |  0.01486 | 19164600.0 |  6.0 | 17.0 |
          14.0 |             14.0 |            65.358 |  0.02971 | 19168794.0 |  7.0 | 17.0 |
          14.0 |             14.0 |           206.059 |   0.1058 | 20213538.0 | 11.0 | 17.0 |
          14.0 |             14.0 |           206.813 |   0.2116 | 20215308.0 | 12.0 | 17.0 |
          14.0 |             14.0 |            4.8312 | 0.009284 |        0.0 |  1.0 | 18.0 |
