 Atomic Number | Ionization State |  Wavelength (Ang.) |             g_i*f_ik | E_i(cm^-1) |     i |     j |
          22.0 |              8.0 |  258.6099853515625 |    6.025595664978027 |        0.0 | 333.0 | 666.0 |
          22.0 |              8.0 | 269.53302001953125 |    3.890451192855835 |        0.0 | 333.0 | 666.0 |
          22.0 |              8.0 |  272.0369873046875 |   1.9054607152938843 |        0.0 | 333.0 | 666.0 |
          22.0 |              8.0 |  272.8429870605469 |   0.2754228711128235 |        0.0 | 333.0 | 666.0 |
          22.0 |              8.0 | 276.70098876953125 |   0.4265795052051544 |        0.0 | 333.0 | 666.0 |
          22.0 |              8.0 |    277.81298828125 |    1.778279423713684 |        0.0 | 333.0 | 666.0 |
          22.0 |              8.0 |            289.375 |  0.18197007477283478 |        0.0 | 333.0 | 666.0 |
          22.0 |              8.0 |  478.9709777832031 |  0.23442287743091583 |        0.0 | 333.0 | 666.0 |
          22.0 |              8.0 |  480.3760070800781 |  0.30902954936027527 |        0.0 | 333.0 | 666.0 |
          22.0 |              8.0 |   481.427978515625 | 0.010232930071651936 |        0.0 | 333.0 | 666.0 |
          22.0 |              8.0 |  500.1159973144531 |   0.0660693496465683 |        0.0 | 333.0 | 666.0 |
          22.0 |              8.0 |  504.8009948730469 |  0.13182567059993744 |        0.0 | 333.0 | 666.0 |
          22.0 |              8.0 |  514.2059936523438 |  0.19498446583747864 |        0.0 | 333.0 | 666.0 |
          22.0 |              8.0 |  535.3809814453125 |  0.02951209433376789 |        0.0 | 333.0 | 666.0 |
          22.0 |              8.0 |  538.2410278320312 |  0.07244359701871872 |        0.0 | 333.0 | 666.0 |
%NIST
