 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |   i |    j |
          22.0 |             15.0 |          2546.019 |       0.0 |        0.0 | 1.0 |  2.0 |
          22.0 |             15.0 |          2363.563 |       0.0 |        0.0 | 1.0 |  3.0 |
          22.0 |             15.0 |          32981.53 |       0.0 |    39277.0 | 2.0 |  3.0 |
          22.0 |             15.0 |           919.819 |       0.0 |        0.0 | 1.0 |  4.0 |
          22.0 |             15.0 |          1440.092 |       0.0 |    39277.0 | 2.0 |  4.0 |
          22.0 |             15.0 |           464.018 |       0.0 |        0.0 | 1.0 |  5.0 |
          22.0 |             15.0 |           567.434 |       0.0 |    39277.0 | 2.0 |  5.0 |
          22.0 |             15.0 |             936.4 |       0.0 |   108717.0 | 4.0 |  5.0 |
          22.0 |             15.0 |           140.397 |    0.3649 |        0.0 | 1.0 |  6.0 |
          22.0 |             15.0 |            148.59 |    0.1198 |    39277.0 | 2.0 |  6.0 |
          22.0 |             15.0 |           165.686 |   0.01459 |   108717.0 | 4.0 |  6.0 |
          22.0 |             15.0 |           134.619 |    0.1372 |        0.0 | 1.0 |  7.0 |
          22.0 |             15.0 |           142.134 |    0.0747 |    39277.0 | 2.0 |  7.0 |
          22.0 |             15.0 |           142.749 |   0.09534 |    42309.0 | 3.0 |  7.0 |
          22.0 |             15.0 |           157.699 | 6.142e-05 |   108717.0 | 4.0 |  7.0 |
          22.0 |             15.0 |           189.635 |  0.003267 |   215509.0 | 5.0 |  7.0 |
          22.0 |             15.0 |           138.362 |    0.1036 |    39277.0 | 2.0 |  8.0 |
          22.0 |             15.0 |           102.249 |    0.0199 |        0.0 | 1.0 |  9.0 |
          22.0 |             15.0 |           106.527 | 0.0009745 |    39277.0 | 2.0 |  9.0 |
          22.0 |             15.0 |           106.872 |  0.001976 |    42309.0 | 3.0 |  9.0 |
          22.0 |             15.0 |           115.036 |    0.6126 |   108717.0 | 4.0 |  9.0 |
          22.0 |             15.0 |           131.148 |   0.05795 |   215509.0 | 5.0 |  9.0 |
          22.0 |             15.0 |           109.479 |  0.004127 |   742838.0 | 7.0 | 10.0 |
          22.0 |             15.0 |           147.439 |    0.3281 |   978007.0 | 9.0 | 10.0 |
%CHIANTI
