 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          22.0 |             21.0 |            2.6368 | 1.089e-07 |        0.0 |   1.0 |   2.0 |
          22.0 |             21.0 |          526.2576 |    0.0115 |        0.0 |   2.0 |   3.0 |
          22.0 |             21.0 |            2.6229 |     0.032 |        0.0 |   1.0 |   4.0 |
          22.0 |             21.0 |            2.6191 |       0.0 |        0.0 |   1.0 |   6.0 |
          22.0 |             21.0 |          390.4374 |    0.0774 |        0.0 |   2.0 |   6.0 |
          22.0 |             21.0 |            2.6103 |     0.746 |        0.0 |   1.0 |   7.0 |
          22.0 |             21.0 |           14.7122 |     0.016 |        0.0 |   3.0 |   8.0 |
          22.0 |             21.0 |           14.7372 |    0.0458 |        0.0 |   4.0 |   8.0 |
          22.0 |             21.0 |           14.8567 |     0.079 |        0.0 |   6.0 |   8.0 |
          22.0 |             21.0 |           15.1475 |   0.00192 |        0.0 |   7.0 |   8.0 |
          22.0 |             21.0 |           14.2051 |      0.13 |        0.0 |   2.0 |   9.0 |
          22.0 |             21.0 |           14.7414 |      6.64 |        0.0 |   6.0 |   9.0 |
          22.0 |             21.0 |           14.6186 |   0.00211 |        0.0 |   4.0 |  10.0 |
          22.0 |             21.0 |           15.0222 |    0.0478 |        0.0 |   7.0 |  10.0 |
          22.0 |             21.0 |            2.2238 |   0.00674 |        0.0 |   1.0 |  11.0 |
          22.0 |             21.0 |           14.1989 |     0.375 |        0.0 |   2.0 |  11.0 |
          22.0 |             21.0 |           14.6285 |    0.0175 |        0.0 |   5.0 |  11.0 |
          22.0 |             21.0 |           14.7347 |      14.3 |        0.0 |   6.0 |  11.0 |
          22.0 |             21.0 |             2.223 |       0.0 |        0.0 |   1.0 |  12.0 |
          22.0 |             21.0 |           14.1656 |     0.654 |        0.0 |   2.0 |  12.0 |
          22.0 |             21.0 |            14.582 |      14.8 |        0.0 |   4.0 |  12.0 |
          22.0 |             21.0 |           14.6989 |      11.7 |        0.0 |   6.0 |  12.0 |
          22.0 |             21.0 |           14.1077 |      45.2 |        0.0 |   2.0 |  13.0 |
          22.0 |             21.0 |           14.4963 |     0.683 |        0.0 |   3.0 |  13.0 |
          22.0 |             21.0 |           14.5205 |     0.491 |        0.0 |   4.0 |  13.0 |
          22.0 |             21.0 |           14.6365 |    0.0338 |        0.0 |   6.0 |  13.0 |
          22.0 |             21.0 |           14.9186 |    0.0206 |        0.0 |   7.0 |  13.0 |
          22.0 |             21.0 |            2.2216 |      10.9 |        0.0 |   1.0 |  14.0 |
          22.0 |             21.0 |           14.1081 |      53.4 |        0.0 |   2.0 |  14.0 |
          22.0 |             21.0 |            14.521 |       1.4 |        0.0 |   4.0 |  14.0 |
          22.0 |             21.0 |           14.5322 |      21.5 |        0.0 |   5.0 |  14.0 |
          22.0 |             21.0 |            14.637 |     0.359 |        0.0 |   6.0 |  14.0 |
          22.0 |             21.0 |           14.9191 |     0.307 |        0.0 |   7.0 |  14.0 |
          22.0 |             21.0 |            2.2213 |     0.149 |        0.0 |   1.0 |  15.0 |
