 Atomic Number | Ionization State |  Wavelength (Ang.) |             g_i*f_ik | E_i(cm^-1) |   i |   j |
          22.0 |             22.0 |           1.924564 | 0.005076799359911383 |        0.0 | 1.0 | 2.0 |
          22.0 |             22.0 |         1.94884529 | 0.018295319576538533 |        0.0 | 1.0 | 2.0 |
          22.0 |             22.0 | 1.9490569899999999 | 0.009084478470267752 |        0.0 | 1.0 | 2.0 |
          22.0 |             22.0 |         1.99542821 | 0.038046963345073084 |        0.0 | 1.0 | 2.0 |
          22.0 |             22.0 |         1.99586196 |   0.0189330246357046 |        0.0 | 1.0 | 2.0 |
          22.0 |             22.0 | 2.1040796200000003 |  0.10371462466262905 |        0.0 | 1.0 | 2.0 |
          22.0 |             22.0 |          2.1052238 | 0.051841791373089266 |        0.0 | 1.0 | 2.0 |
          22.0 |             22.0 |         2.49119622 |   0.5427377126547731 |        0.0 | 1.0 | 2.0 |
          22.0 |             22.0 |         2.49661626 |  0.27501095867366915 |        0.0 | 1.0 | 2.0 |
%NIST
