 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |         E_i(cm^-1) |     i |     j |
          22.0 |              3.0 | 1329.8189697265625 |   0.014060501009225845 |                0.0 |   1.0 |  14.0 |
          22.0 |              3.0 |  1298.697021484375 |     0.4753350019454956 |                0.0 |   1.0 |  15.0 |
          22.0 |              3.0 |  1295.884033203125 |    0.33419501781463623 |                0.0 |   1.0 |  16.0 |
          22.0 |              3.0 |           1291.625 | 0.00015170499682426453 |                0.0 |   1.0 |  17.0 |
          22.0 |              3.0 |      1291.58203125 |   0.030199497938156128 |                0.0 |   1.0 |  18.0 |
          22.0 |              3.0 | 1286.2330322265625 |   0.004954500123858452 |                0.0 |   1.0 |  19.0 |
          22.0 |              3.0 | 1235.4949951171875 |   0.000833700061775744 |                0.0 |   1.0 |  21.0 |
          22.0 |              3.0 | 1234.1949462890625 | 0.00021086499327793717 |                0.0 |   1.0 |  23.0 |
          22.0 |              3.0 |    1203.1240234375 |  6.151999696157873e-05 |                0.0 |   1.0 |  24.0 |
          22.0 |              3.0 |  1193.362060546875 |  0.0007798500009812415 |                0.0 |   1.0 |  25.0 |
          22.0 |              3.0 |  727.3369750976562 |  1.503149960058181e-08 |                0.0 |   1.0 |  49.0 |
          22.0 |              3.0 |  679.2890014648438 |   0.003054899862036109 |                0.0 |   1.0 |  52.0 |
          22.0 |              3.0 |  677.6810302734375 |   0.040831997990608215 |                0.0 |   1.0 |  53.0 |
          22.0 |              3.0 |  676.8189697265625 |  0.0005023500416427851 |                0.0 |   1.0 |  54.0 |
          22.0 |              3.0 |   675.989013671875 |    0.02679150179028511 |                0.0 |   1.0 |  55.0 |
          22.0 |              3.0 |  675.9520263671875 | 0.00034435000270605087 |                0.0 |   1.0 |  56.0 |
          22.0 |              3.0 |  675.1690063476562 |  0.0026915499474853277 |                0.0 |   1.0 |  57.0 |
          22.0 |              3.0 |  671.2369995117188 |  5.444999715109589e-06 |                0.0 |   1.0 |  59.0 |
          22.0 |              3.0 |  669.9359741210938 |  4.634449851437239e-06 |                0.0 |   1.0 |  61.0 |
          22.0 |              3.0 |  669.3280029296875 | 0.00016904500080272555 |                0.0 |   1.0 |  62.0 |
          22.0 |              3.0 |  668.2000122070312 | 2.1134999769856222e-05 |                0.0 |   1.0 |  63.0 |
          22.0 |              3.0 |   636.114990234375 | 0.00013899500481784344 |                0.0 |   1.0 |  64.0 |
          22.0 |              3.0 |  630.7689819335938 |     0.2679150104522705 |                0.0 |   1.0 |  66.0 |
          22.0 |              3.0 |  630.6849975585938 |    0.44771498441696167 |                0.0 |   1.0 |  67.0 |
          22.0 |              3.0 |  629.9569702148438 |     0.5741000175476074 |                0.0 |   1.0 |  69.0 |
          22.0 |              3.0 |  628.4420166015625 |   0.012793999165296555 |                0.0 |   1.0 |  73.0 |
          22.0 |              3.0 |   628.218994140625 |    0.11857500672340393 |                0.0 |   1.0 |  75.0 |
          22.0 |              3.0 |  627.3729858398438 |    0.02606149949133396 |                0.0 |   1.0 |  77.0 |
          22.0 |              3.0 |  627.3369750976562 |   0.002437799936160445 |                0.0 |   1.0 |  78.0 |
          22.0 |              3.0 |   627.030029296875 |  0.0034914000425487757 |                0.0 |   1.0 |  79.0 |
          22.0 |              3.0 |  625.0330200195312 |  0.0001888000115286559 |                0.0 |   1.0 |  80.0 |
          22.0 |              3.0 |  624.5919799804688 |  0.0009527999791316688 |                0.0 |   1.0 |  82.0 |
          22.0 |              3.0 |  617.8400268554688 |  3.396250031073578e-05 |                0.0 |   1.0 |  84.0 |
          22.0 |              3.0 |  566.8579711914062 |  0.0033342500682920218 |                0.0 |   1.0 | 107.0 |
          22.0 |              3.0 |  566.6190185546875 |   0.015065999701619148 |                0.0 |   1.0 | 108.0 |
          22.0 |              3.0 |  566.2260131835938 |    0.00194089999422431 |                0.0 |   1.0 | 109.0 |
          22.0 |              3.0 |  565.7150268554688 | 0.00046344500151462853 |                0.0 |   1.0 | 110.0 |
          22.0 |              3.0 |  565.5479736328125 |   0.006208499893546104 |                0.0 |   1.0 | 111.0 |
          22.0 |              3.0 |  565.2860107421875 |  0.0006667999550700188 |                0.0 |   1.0 | 112.0 |
          22.0 |              3.0 |  564.5490112304688 |  4.139999898455926e-09 |                0.0 |   1.0 | 115.0 |
          22.0 |              3.0 |    563.64697265625 |   9.86299937721924e-07 |                0.0 |   1.0 | 116.0 |
