 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik |        E_i(cm^-1) |     i |     j |
          22.0 |              4.0 |    781.72998046875 |    0.29991599917411804 |               0.0 |   1.0 |   4.0 |
          22.0 |              4.0 |  776.7620239257812 |   0.060256000608205795 |               0.0 |   1.0 |   5.0 |
          22.0 |              4.0 |   433.635009765625 |   0.012416400015354156 |               0.0 |   1.0 |   9.0 |
          22.0 |              4.0 |     433.0419921875 |   0.002466039964929223 |               0.0 |   1.0 |  10.0 |
          22.0 |              4.0 |  423.4859924316406 |     1.3092000484466553 |               0.0 |   1.0 |  11.0 |
          22.0 |              4.0 | 381.87298583984375 |  3.863680103677325e-05 |               0.0 |   1.0 |  15.0 |
          22.0 |              4.0 |    381.47900390625 |  9.885599865810946e-05 |               0.0 |   1.0 |  16.0 |
          22.0 |              4.0 |  380.8070068359375 | 2.6853599592868704e-06 |               0.0 |   1.0 |  17.0 |
          22.0 |              4.0 |  363.9989929199219 |  0.0007481600041501224 |               0.0 |   1.0 |  21.0 |
          22.0 |              4.0 |  363.8479919433594 |    0.08109600096940994 |               0.0 |   1.0 |  22.0 |
          22.0 |              4.0 | 363.79400634765625 | 0.00015885599714238197 |               0.0 |   1.0 |  23.0 |
          22.0 |              4.0 |  363.1990051269531 |  7.396000000881031e-06 |               0.0 |   1.0 |  25.0 |
          22.0 |              4.0 |  362.5199890136719 |   0.024434400722384453 |               0.0 |   1.0 |  26.0 |
          22.0 |              4.0 | 361.48699951171875 |  5.848000000696629e-05 |               0.0 |   1.0 |  30.0 |
          22.0 |              4.0 |  360.6700134277344 |  0.0007603199919685721 |               0.0 |   1.0 |  31.0 |
          22.0 |              4.0 |  360.3630065917969 |  4.120800076634623e-05 |               0.0 |   1.0 |  32.0 |
          22.0 |              4.0 |  353.3160095214844 |  0.0034914000425487757 |               0.0 |   1.0 |  35.0 |
          22.0 |              4.0 |  353.0660095214844 |   0.003990239929407835 |               0.0 |   1.0 |  36.0 |
          22.0 |              4.0 |   350.906005859375 |  0.0016672400524839759 |               0.0 |   1.0 |  38.0 |
          22.0 |              4.0 | 349.82598876953125 |  0.0007481600041501224 |               0.0 |   1.0 |  39.0 |
          22.0 |              4.0 |  344.7179870605469 |   0.004886399954557419 |               0.0 |   1.0 |  43.0 |
          22.0 |              4.0 |  342.4339904785156 |  2.275080078106839e-06 |               0.0 |   1.0 |  44.0 |
          22.0 |              4.0 | 337.46099853515625 |  0.0049772001802921295 |               0.0 |   1.0 |  48.0 |
          22.0 |              4.0 |  337.3399963378906 |  0.0010939600178971887 |               0.0 |   1.0 |  49.0 |
          22.0 |              4.0 | 337.21600341796875 |   0.006426800042390823 |               0.0 |   1.0 |  50.0 |
          22.0 |              4.0 | 332.45599365234375 |    0.19860799610614777 |               0.0 |   1.0 |  59.0 |
          22.0 |              4.0 |  330.5429992675781 |  4.742400051327422e-05 |               0.0 |   1.0 |  61.0 |
          22.0 |              4.0 |  329.6520080566406 |  0.0006265999982133508 |               0.0 |   1.0 |  62.0 |
          22.0 |              4.0 |    328.93798828125 |  0.0009527999791316688 |               0.0 |   1.0 |  63.0 |
          22.0 |              4.0 |  322.5190124511719 |     0.0024099200963974 |               0.0 |   1.0 |  67.0 |
          22.0 |              4.0 | 322.45599365234375 |  0.0005093200015835464 |               0.0 |   1.0 |  68.0 |
          22.0 |              4.0 |  322.0010070800781 |    0.03169560059905052 |               0.0 |   1.0 |  70.0 |
          22.0 |              4.0 | 318.90301513671875 |  0.0028774000238627195 |               0.0 |   1.0 |  77.0 |
          22.0 |              4.0 |  317.4620056152344 |  0.0007852399721741676 |               0.0 |   1.0 |  78.0 |
          22.0 |              4.0 |  315.7720031738281 |  0.0002177720016334206 |               0.0 |   1.0 |  81.0 |
          22.0 |              4.0 | 315.74798583984375 |  0.0003427680057939142 |               0.0 |   1.0 |  82.0 |
          22.0 |              4.0 |  313.5929870605469 |  0.0021528000943362713 |               0.0 |   1.0 |  85.0 |
          22.0 |              4.0 |  313.5530090332031 |  0.0004446399980224669 |               0.0 |   1.0 |  86.0 |
          22.0 |              4.0 | 313.38800048828125 |  0.0045183999463915825 |               0.0 |   1.0 |  88.0 |
          22.0 |              4.0 | 307.79400634765625 |  0.0016106399707496166 |               0.0 |   1.0 | 101.0 |
          22.0 |              4.0 | 307.76800537109375 | 0.00034594000317156315 |               0.0 |   1.0 | 102.0 |
