 Atomic Number | Ionization State |  Wavelength (Ang.) |             g_i*f_ik | E_i(cm^-1) |     i |     j |
          22.0 |              9.0 |  267.9410095214844 |    3.801893711090088 |    28555.0 | 333.0 | 666.0 |
          22.0 |              9.0 |  278.7130126953125 |    3.801893711090088 |     7282.0 | 333.0 | 666.0 |
          22.0 |              9.0 | 281.44598388671875 |   0.3801894187927246 |     3119.0 | 333.0 | 666.0 |
          22.0 |              9.0 | 285.12799072265625 |   1.5135612487792969 |    61100.0 | 333.0 | 666.0 |
          22.0 |              9.0 |  433.5670166015625 |  0.05888436362147331 |        0.0 | 333.0 | 666.0 |
          22.0 |              9.0 |   439.302001953125 | 0.052480749785900116 |     3119.0 | 333.0 | 666.0 |
          22.0 |              9.0 | 439.51300048828125 |  0.06456541270017624 |     3119.0 | 333.0 | 666.0 |
          22.0 |              9.0 |  439.7449951171875 | 0.060255955904722214 |     3119.0 | 333.0 | 666.0 |
          22.0 |              9.0 |  447.4840087890625 |  0.23988328874111176 |     7282.0 | 333.0 | 666.0 |
          22.0 |              9.0 | 447.70098876953125 |  0.05888436362147331 |     7282.0 | 333.0 | 666.0 |
          22.0 |              9.0 |    499.47900390625 |  0.05888436362147331 |        0.0 | 333.0 | 666.0 |
          22.0 |              9.0 | 507.17401123046875 |   0.1258925497531891 |     3119.0 | 333.0 | 666.0 |
          22.0 |              9.0 |  516.2149658203125 |  0.19498446583747864 |     7282.0 | 333.0 | 666.0 |
          22.0 |              9.0 |  518.1000366210938 | 0.015848932787775993 |     7282.0 | 333.0 | 666.0 |
%NIST
