 Atomic Number | Ionization State |  Wavelength (Ang.) |              g_i*f_ik | E_i(cm^-1) |     i |     j |
          22.0 |              6.0 | 247.45001220703125 |    0.2570396065711975 |        0.0 | 333.0 | 666.0 |
          22.0 |              6.0 |  250.4820098876953 |     6.760829448699951 |        0.0 | 333.0 | 666.0 |
          22.0 |              6.0 |  251.0709991455078 |     4.275628566741943 |     5829.0 | 333.0 | 666.0 |
          22.0 |              6.0 |  263.2460021972656 |    1.5135612487792969 |        0.0 | 333.0 | 666.0 |
          22.0 |              6.0 |   267.343017578125 |    0.6456542611122131 |     5829.0 | 333.0 | 666.0 |
          22.0 |              6.0 |  282.2149963378906 |  0.004265796393156052 |        0.0 | 333.0 | 666.0 |
          22.0 |              6.0 |  288.3550109863281 |   0.01348962914198637 |     5829.0 | 333.0 | 666.0 |
          22.0 |              6.0 |  301.9129943847656 | 0.0014791087014600635 |        0.0 | 333.0 | 666.0 |
          22.0 |              6.0 |  331.7669982910156 | 0.0008317639003507793 |        0.0 | 333.0 | 666.0 |
          22.0 |              6.0 |  508.5749816894531 |    0.1419057548046112 |        0.0 | 333.0 | 666.0 |
          22.0 |              6.0 |   524.113037109375 |    0.0691831037402153 |     5829.0 | 333.0 | 666.0 |
%NIST
