 Atomic Number | Ionization State |  Wavelength (Ang.) |             g_i*f_ik | E_i(cm^-1) |     i |     j |
          22.0 |             10.0 |  260.1419982910156 |   1.2882494926452637 |   212053.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  261.4940185546875 |   1.9054607152938843 |   212608.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  287.1999816894531 |   0.2691534757614136 |   264456.0 | 333.0 | 666.0 |
          22.0 |             10.0 | 289.57598876953125 |    1.258925437927246 |        0.0 | 333.0 | 666.0 |
          22.0 |             10.0 | 290.22601318359375 |   0.8317638039588928 |   163257.0 | 333.0 | 666.0 |
          22.0 |             10.0 | 290.92999267578125 |  0.19498446583747864 |   160409.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  291.0370178222656 | 0.040738027542829514 |   163257.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  293.6650085449219 |   3.0690219402313232 |   167309.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  295.5559997558594 |    2.290867805480957 |     7544.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  296.0400085449219 |   0.2754228711128235 |     7544.0 | 333.0 | 666.0 |
          22.0 |             10.0 | 297.13800048828125 |     1.17489755153656 |   212608.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  299.2229919433594 |  0.33113113045692444 |   167309.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  301.2539978027344 |   3.5481340885162354 |   285220.0 | 333.0 | 666.0 |
          22.0 |             10.0 | 302.02398681640625 |   0.7943282127380371 |   212053.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  304.2330017089844 |   0.4466835856437683 |   264456.0 | 333.0 | 666.0 |
          22.0 |             10.0 | 306.75799560546875 |   1.4125375747680664 |   264456.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  350.6100158691406 |  0.34514373540878296 |        0.0 | 333.0 | 666.0 |
          22.0 |             10.0 | 355.81500244140625 |   0.4897788166999817 |        0.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  360.1330261230469 |   1.7021585702896118 |     7544.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  365.6280212402344 |  0.47863009572029114 |     7544.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  368.5639953613281 |   1.5848932266235352 |   345859.0 | 333.0 | 666.0 |
          22.0 |             10.0 |   374.031005859375 |   0.8912509083747864 |   345315.0 | 333.0 | 666.0 |
          22.0 |             10.0 |   378.135009765625 |   0.2951209545135498 |        0.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  379.7799987792969 |   0.3548133969306946 |   160409.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  383.9129943847656 |    0.676082968711853 |   163257.0 | 333.0 | 666.0 |
          22.0 |             10.0 | 389.23699951171875 |  0.12302687019109726 |     7544.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  390.0159912109375 |   1.0232930183410645 |   167309.0 | 333.0 | 666.0 |
          22.0 |             10.0 | 398.17401123046875 |    2.290867805480957 |   345315.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  399.1199951171875 |  0.07413102686405182 |   212053.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  399.7969970703125 |  0.37153521180152893 |   212053.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  401.3470153808594 |   3.4673686027526855 |   345859.0 | 333.0 | 666.0 |
          22.0 |             10.0 |   471.573974609375 |  0.14791084825992584 |        0.0 | 333.0 | 666.0 |
          22.0 |             10.0 | 487.65399169921875 |  0.23442287743091583 |     7544.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  488.9709777832031 |  0.01348962914198637 |     7544.0 | 333.0 | 666.0 |
          22.0 |             10.0 |              492.0 |  0.43651580810546875 |   345859.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  495.6710205078125 |   0.4168694019317627 |   212608.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  496.6470031738281 |  0.23442287743091583 |   212053.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  498.0099792480469 |  0.05495408922433853 |   212608.0 | 333.0 | 666.0 |
          22.0 |             10.0 | 504.19000244140625 |  0.18197007477283478 |   264456.0 | 333.0 | 666.0 |
          22.0 |             10.0 |              506.0 |  0.03019951842725277 |   264456.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  552.0899658203125 |   0.1659587025642395 |   281051.0 | 333.0 | 666.0 |
          22.0 |             10.0 |  563.3580322265625 |    0.301995187997818 |   285220.0 | 333.0 | 666.0 |
%NIST
