 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |     j |
          22.0 |             12.0 |           479.883 |    0.3056 |        0.0 |  1.0 |   2.0 |
          22.0 |             12.0 |           460.747 |    0.6359 |        0.0 |  1.0 |   3.0 |
          22.0 |             12.0 |           351.015 |    0.1474 |   217039.0 |  3.0 |   4.0 |
          22.0 |             12.0 |           199.232 |       0.0 |        0.0 |  1.0 |   4.0 |
          22.0 |             12.0 |           340.666 |    0.7577 |   208384.0 |  2.0 |   4.0 |
          22.0 |             12.0 |           349.917 |     1.329 |   217039.0 |  3.0 |   5.0 |
          22.0 |             12.0 |           198.878 |       0.0 |        0.0 |  1.0 |   5.0 |
          22.0 |             12.0 |           158.541 |       0.0 |   502821.0 |  5.0 |   6.0 |
          22.0 |             12.0 |           109.107 |    0.2898 |   217039.0 |  3.0 |   6.0 |
          22.0 |             12.0 |           158.317 |       0.0 |   501927.0 |  4.0 |   6.0 |
          22.0 |             12.0 |           108.086 |    0.1395 |   208384.0 |  2.0 |   6.0 |
          22.0 |             12.0 |           100.266 |       0.0 |   217039.0 |  3.0 |   7.0 |
          22.0 |             12.0 |           140.358 |    0.1747 |   501927.0 |  4.0 |   7.0 |
          22.0 |             12.0 |            82.346 |    0.1191 |        0.0 |  1.0 |   7.0 |
          22.0 |             12.0 |          1237.363 |    0.4437 |  1133573.0 |  6.0 |   7.0 |
          22.0 |             12.0 |           139.884 |    0.3065 |   502821.0 |  5.0 |   8.0 |
          22.0 |             12.0 |            99.934 |       0.0 |   217039.0 |  3.0 |   8.0 |
          22.0 |             12.0 |           139.709 |   0.03378 |   501927.0 |  4.0 |   8.0 |
          22.0 |             12.0 |            82.122 |    0.2282 |        0.0 |  1.0 |   8.0 |
          22.0 |             12.0 |            99.077 |       0.0 |   208384.0 |  2.0 |   8.0 |
          22.0 |             12.0 |          1188.679 |    0.9228 |  1133573.0 |  6.0 |   8.0 |
          22.0 |             12.0 |           122.163 |       0.0 |   502821.0 |  5.0 |   9.0 |
          22.0 |             12.0 |             90.55 |     0.096 |   217039.0 |  3.0 |   9.0 |
          22.0 |             12.0 |            122.03 |       0.0 |   501927.0 |  4.0 |   9.0 |
          22.0 |             12.0 |            964.32 |      0.23 |  1217700.0 |  8.0 |   9.0 |
          22.0 |             12.0 |            75.677 |       0.0 |        0.0 |  1.0 |   9.0 |
          22.0 |             12.0 |            89.846 |    0.4633 |   208384.0 |  2.0 |   9.0 |
          22.0 |             12.0 |           934.492 |     1.182 |  1214390.0 |  7.0 |   9.0 |
          22.0 |             12.0 |           122.093 |       0.0 |   502821.0 |  5.0 |  10.0 |
          22.0 |             12.0 |            90.512 |    0.8599 |   217039.0 |  3.0 |  10.0 |
          22.0 |             12.0 |           959.969 |     2.079 |  1217700.0 |  8.0 |  10.0 |
          22.0 |             12.0 |             75.65 |       0.0 |        0.0 |  1.0 |  10.0 |
          22.0 |             12.0 |           116.614 |    0.2608 |   502821.0 |  5.0 |  11.0 |
          22.0 |             12.0 |          2598.753 |   0.03637 |  1321870.0 | 10.0 |  11.0 |
          22.0 |             12.0 |            87.465 |       0.0 |   217039.0 |  3.0 |  11.0 |
          22.0 |             12.0 |           116.493 |     3.644 |   501927.0 |  4.0 |  11.0 |
          22.0 |             12.0 |          2567.394 |    0.5156 |  1321400.0 |  9.0 |  11.0 |
          22.0 |             12.0 |            86.808 |       0.0 |   208384.0 |  2.0 |  11.0 |
          22.0 |             12.0 |           116.594 |     5.217 |   502821.0 |  5.0 |  12.0 |
          22.0 |             12.0 |          2588.662 |    0.7304 |  1321870.0 | 10.0 |  12.0 |
          22.0 |             12.0 |            87.454 |       0.0 |   217039.0 |  3.0 |  12.0 |
          22.0 |             12.0 |            90.634 |       0.0 |   502821.0 |  5.0 |  13.0 |
          22.0 |             12.0 |           351.753 |       0.0 |  1321870.0 | 10.0 |  13.0 |
          22.0 |             12.0 |            71.988 |   0.05373 |   217039.0 |  3.0 |  13.0 |
          22.0 |             12.0 |            90.561 |       0.0 |   501927.0 |  4.0 |  13.0 |
          22.0 |             12.0 |           351.173 |       0.0 |  1321400.0 |  9.0 |  13.0 |
          22.0 |             12.0 |           257.427 |     0.497 |  1217700.0 |  8.0 |  13.0 |
          22.0 |             12.0 |            71.542 |    0.0255 |   208384.0 |  2.0 |  13.0 |
          22.0 |             12.0 |           255.252 |    0.2398 |  1214390.0 |  7.0 |  13.0 |
          22.0 |             12.0 |            69.994 |       0.0 |   217039.0 |  3.0 |  14.0 |
          22.0 |             12.0 |            87.427 |   0.02533 |   501927.0 |  4.0 |  14.0 |
          22.0 |             12.0 |           308.318 |    0.3812 |  1321400.0 |  9.0 |  14.0 |
          22.0 |             12.0 |           233.623 |       0.0 |  1217700.0 |  8.0 |  14.0 |
          22.0 |             12.0 |            60.763 |   0.03672 |        0.0 |  1.0 |  14.0 |
          22.0 |             12.0 |          2526.529 |    0.5771 |  1606160.0 | 13.0 |  14.0 |
          22.0 |             12.0 |           195.249 |    0.1223 |  1133573.0 |  6.0 |  14.0 |
          22.0 |             12.0 |            87.365 |   0.04523 |   502821.0 |  5.0 |  15.0 |
          22.0 |             12.0 |           307.154 |    0.6738 |  1321870.0 | 10.0 |  15.0 |
          22.0 |             12.0 |             69.91 |       0.0 |   217039.0 |  3.0 |  15.0 |
          22.0 |             12.0 |            87.297 |  0.004943 |   501927.0 |  4.0 |  15.0 |
          22.0 |             12.0 |           306.711 |   0.07407 |  1321400.0 |  9.0 |  15.0 |
          22.0 |             12.0 |           232.699 |       0.0 |  1217700.0 |  8.0 |  15.0 |
          22.0 |             12.0 |              60.7 |   0.07156 |        0.0 |  1.0 |  15.0 |
          22.0 |             12.0 |             69.49 |       0.0 |   208384.0 |  2.0 |  15.0 |
          22.0 |             12.0 |          2422.481 |     1.201 |  1606160.0 | 13.0 |  15.0 |
          22.0 |             12.0 |            230.92 |       0.0 |  1214390.0 |  7.0 |  15.0 |
          22.0 |             12.0 |           194.603 |    0.2337 |  1133573.0 |  6.0 |  15.0 |
          22.0 |             12.0 |           296.947 |    0.1173 |  1360350.0 | 11.0 |  16.0 |
          22.0 |             12.0 |            67.564 |   0.03303 |   217039.0 |  3.0 |  16.0 |
          22.0 |             12.0 |            83.669 |       0.0 |   501927.0 |  4.0 |  16.0 |
          22.0 |             12.0 |          2013.288 |    0.3034 |  1647440.0 | 15.0 |  16.0 |
          22.0 |             12.0 |           266.163 |       0.0 |  1321400.0 |  9.0 |  16.0 |
          22.0 |             12.0 |            208.59 |    0.0778 |  1217700.0 |  8.0 |  16.0 |
          22.0 |             12.0 |            58.924 |       0.0 |        0.0 |  1.0 |  16.0 |
          22.0 |             12.0 |            67.172 |    0.1602 |   208384.0 |  2.0 |  16.0 |
          22.0 |             12.0 |          1946.661 |     1.556 |  1645740.0 | 14.0 |  16.0 |
          22.0 |             12.0 |           207.159 |    0.3712 |  1214390.0 |  7.0 |  16.0 |
          22.0 |             12.0 |           177.451 |       0.0 |  1133573.0 |  6.0 |  16.0 |
          22.0 |             12.0 |            83.706 |       0.0 |   502821.0 |  5.0 |  17.0 |
          22.0 |             12.0 |           296.754 |    0.1664 |  1360500.0 | 12.0 |  17.0 |
          22.0 |             12.0 |           296.621 |  0.008286 |  1360350.0 | 11.0 |  17.0 |
          22.0 |             12.0 |            67.547 |    0.2971 |   217039.0 |  3.0 |  17.0 |
          22.0 |             12.0 |          1998.401 |     2.741 |  1647440.0 | 15.0 |  17.0 |
          22.0 |             12.0 |           208.429 |    0.6954 |  1217700.0 |  8.0 |  17.0 |
          22.0 |             12.0 |            58.911 |       0.0 |        0.0 |  1.0 |  17.0 |
          22.0 |             12.0 |           177.334 |       0.0 |  1133573.0 |  6.0 |  17.0 |
          22.0 |             12.0 |            82.372 |   0.04881 |   502821.0 |  5.0 |  18.0 |
          22.0 |             12.0 |          5167.959 |   0.06492 |  1697480.0 | 17.0 |  18.0 |
          22.0 |             12.0 |            253.19 |    0.2002 |  1321870.0 | 10.0 |  18.0 |
          22.0 |             12.0 |            66.676 |       0.0 |   217039.0 |  3.0 |  18.0 |
          22.0 |             12.0 |            82.311 |    0.6845 |   501927.0 |  4.0 |  18.0 |
          22.0 |             12.0 |          5070.994 |    0.9258 |  1697110.0 | 16.0 |  18.0 |
          22.0 |             12.0 |           252.889 |     2.787 |  1321400.0 |  9.0 |  18.0 |
          22.0 |             12.0 |           200.349 |       0.0 |  1217700.0 |  8.0 |  18.0 |
          22.0 |             12.0 |            66.293 |       0.0 |   208384.0 |  2.0 |  18.0 |
          22.0 |             12.0 |           199.029 |       0.0 |  1214390.0 |  7.0 |  18.0 |
          22.0 |             12.0 |             82.24 |       0.0 |   502821.0 |  5.0 |  20.0 |
          22.0 |             12.0 |           279.119 |    0.2973 |  1360500.0 | 12.0 |  20.0 |
          22.0 |             12.0 |           279.002 |     8.026 |  1360350.0 | 11.0 |  20.0 |
          22.0 |             12.0 |             82.18 |       0.0 |   501927.0 |  4.0 |  20.0 |
          22.0 |             12.0 |           251.655 |       0.0 |  1321400.0 |  9.0 |  20.0 |
          22.0 |             12.0 |           251.953 |       0.0 |  1321870.0 | 10.0 |  21.0 |
          22.0 |             12.0 |            74.303 |       0.0 |   502821.0 |  5.0 |  22.0 |
          22.0 |             12.0 |           661.463 |       0.0 |  1697480.0 | 17.0 |  22.0 |
          22.0 |             12.0 |           189.829 |       0.0 |  1321870.0 | 10.0 |  22.0 |
          22.0 |             12.0 |            61.289 |   0.01967 |   217039.0 |  3.0 |  22.0 |
          22.0 |             12.0 |            74.254 |       0.0 |   501927.0 |  4.0 |  22.0 |
          22.0 |             12.0 |           496.968 |    0.7011 |  1647440.0 | 15.0 |  22.0 |
          22.0 |             12.0 |            189.66 |       0.0 |  1321400.0 |  9.0 |  22.0 |
          22.0 |             12.0 |           158.489 |    0.0906 |  1217700.0 |  8.0 |  22.0 |
          22.0 |             12.0 |            60.965 |  0.008804 |   208384.0 |  2.0 |  22.0 |
          22.0 |             12.0 |           492.805 |    0.3379 |  1645740.0 | 14.0 |  22.0 |
          22.0 |             12.0 |           157.662 |   0.04299 |  1214390.0 |  7.0 |  22.0 |
          22.0 |             12.0 |            60.477 |       0.0 |   217039.0 |  3.0 |  23.0 |
          22.0 |             12.0 |            73.065 |  0.008336 |   501927.0 |  4.0 |  23.0 |
          22.0 |             12.0 |           448.169 |       0.0 |  1647440.0 | 15.0 |  23.0 |
          22.0 |             12.0 |           576.502 |    0.6003 |  1697110.0 | 16.0 |  23.0 |
          22.0 |             12.0 |           182.093 |   0.05834 |  1321400.0 |  9.0 |  23.0 |
          22.0 |             12.0 |            153.17 |       0.0 |  1217700.0 |  8.0 |  23.0 |
          22.0 |             12.0 |             53.46 |   0.01498 |        0.0 |  1.0 |  23.0 |
          22.0 |             12.0 |          4564.126 |    0.7141 |  1848660.0 | 22.0 |  23.0 |
          22.0 |             12.0 |           378.201 |    0.1257 |  1606160.0 | 13.0 |  23.0 |
          22.0 |             12.0 |           135.686 |    0.0374 |  1133573.0 |  6.0 |  23.0 |
          22.0 |             12.0 |            73.066 |   0.01514 |   502821.0 |  5.0 |  24.0 |
          22.0 |             12.0 |           574.845 |     1.066 |  1697480.0 | 17.0 |  24.0 |
          22.0 |             12.0 |            181.96 |    0.1051 |  1321870.0 | 10.0 |  24.0 |
          22.0 |             12.0 |            60.445 |       0.0 |   217039.0 |  3.0 |  24.0 |
          22.0 |             12.0 |            73.019 |   0.00164 |   501927.0 |  4.0 |  24.0 |
          22.0 |             12.0 |           573.625 |    0.1174 |  1697110.0 | 16.0 |  24.0 |
          22.0 |             12.0 |           446.429 |       0.0 |  1647440.0 | 15.0 |  24.0 |
          22.0 |             12.0 |           181.805 |   0.01156 |  1321400.0 |  9.0 |  24.0 |
          22.0 |             12.0 |           152.966 |       0.0 |  1217700.0 |  8.0 |  24.0 |
          22.0 |             12.0 |            53.435 |   0.02967 |        0.0 |  1.0 |  24.0 |
          22.0 |             12.0 |             60.13 |       0.0 |   208384.0 |  2.0 |  24.0 |
          22.0 |             12.0 |          4389.816 |     1.476 |  1848660.0 | 22.0 |  24.0 |
          22.0 |             12.0 |           443.066 |       0.0 |  1645740.0 | 14.0 |  24.0 |
          22.0 |             12.0 |            376.96 |    0.2408 |  1606160.0 | 13.0 |  24.0 |
          22.0 |             12.0 |           152.195 |       0.0 |  1214390.0 |  7.0 |  24.0 |
          22.0 |             12.0 |           135.526 |    0.0732 |  1133573.0 |  6.0 |  24.0 |
          22.0 |             12.0 |           547.345 |    0.2846 |  1716830.0 | 18.0 |  25.0 |
          22.0 |             12.0 |           185.467 |   0.01865 |  1360350.0 | 11.0 |  25.0 |
          22.0 |             12.0 |            59.436 |   0.01504 |   217039.0 |  3.0 |  25.0 |
          22.0 |             12.0 |            71.551 |       0.0 |   501927.0 |  4.0 |  25.0 |
          22.0 |             12.0 |          3559.986 |    0.3748 |  1871440.0 | 24.0 |  25.0 |
          22.0 |             12.0 |           396.684 |   0.06943 |  1647440.0 | 15.0 |  25.0 |
          22.0 |             12.0 |           172.971 |       0.0 |  1321400.0 |  9.0 |  25.0 |
          22.0 |             12.0 |           146.664 |   0.02839 |  1217700.0 |  8.0 |  25.0 |
          22.0 |             12.0 |            52.645 |       0.0 |        0.0 |  1.0 |  25.0 |
          22.0 |             12.0 |            59.132 |   0.07038 |   208384.0 |  2.0 |  25.0 |
          22.0 |             12.0 |          3453.039 |     1.932 |  1870570.0 | 23.0 |  25.0 |
          22.0 |             12.0 |           394.027 |    0.3232 |  1645740.0 | 14.0 |  25.0 |
          22.0 |             12.0 |           340.866 |       0.0 |  1606160.0 | 13.0 |  25.0 |
          22.0 |             12.0 |           145.956 |    0.1335 |  1214390.0 |  7.0 |  25.0 |
          22.0 |             12.0 |           130.556 |       0.0 |  1133573.0 |  6.0 |  25.0 |
          22.0 |             12.0 |            71.597 |       0.0 |   502821.0 |  5.0 |  26.0 |
          22.0 |             12.0 |           185.518 |   0.02674 |  1360500.0 | 12.0 |  26.0 |
          22.0 |             12.0 |           521.159 |   0.06217 |  1718770.0 | 20.0 |  27.0 |
          22.0 |             12.0 |            71.031 |   0.01801 |   502821.0 |  5.0 |  27.0 |
          22.0 |             12.0 |          8992.806 |   0.09052 |  1899530.0 | 26.0 |  27.0 |
          22.0 |             12.0 |           469.109 |    0.1747 |  1697480.0 | 17.0 |  27.0 |
          22.0 |             12.0 |           169.843 |   0.05022 |  1321870.0 | 10.0 |  27.0 |
          22.0 |             12.0 |            59.045 |       0.0 |   217039.0 |  3.0 |  27.0 |
          22.0 |             12.0 |            70.986 |    0.2516 |   501927.0 |  4.0 |  27.0 |
          22.0 |             12.0 |           468.296 |     2.435 |  1697110.0 | 16.0 |  27.0 |
          22.0 |             12.0 |           169.707 |     0.701 |  1321400.0 |  9.0 |  27.0 |
          22.0 |             12.0 |           144.311 |       0.0 |  1217700.0 |  8.0 |  27.0 |
          22.0 |             12.0 |            58.745 |       0.0 |   208384.0 |  2.0 |  27.0 |
          22.0 |             12.0 |           377.487 |       0.0 |  1645740.0 | 14.0 |  27.0 |
          22.0 |             12.0 |           143.625 |       0.0 |  1214390.0 |  7.0 |  27.0 |
          22.0 |             12.0 |           379.925 |       0.0 |  1647440.0 | 15.0 |  28.0 |
          22.0 |             12.0 |           512.636 |    0.2593 |  1716830.0 | 19.0 |  29.0 |
          22.0 |             12.0 |            70.968 |       0.0 |   502821.0 |  5.0 |  29.0 |
          22.0 |             12.0 |           181.357 |   0.04077 |  1360500.0 | 12.0 |  29.0 |
          22.0 |             12.0 |           181.307 |     1.102 |  1360350.0 | 11.0 |  29.0 |
          22.0 |             12.0 |            70.923 |       0.0 |   501927.0 |  4.0 |  29.0 |
