 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          22.0 |             13.0 |           27.0405 |       0.0 |        0.0 |   1.0 |   2.0 |
          22.0 |             13.0 |             26.96 |    0.1074 |        0.0 |   1.0 |   3.0 |
          22.0 |             13.0 |          2774.849 |       0.0 |  3709200.0 |   3.0 |   4.0 |
          22.0 |             13.0 |          2123.819 |       0.0 |  3698153.0 |   2.0 |   4.0 |
          22.0 |             13.0 |           26.6411 |    0.1283 |        0.0 |   1.0 |   5.0 |
          22.0 |             13.0 |           587.392 |   0.03234 |  3709200.0 |   3.0 |   6.0 |
          22.0 |             13.0 |           794.635 |   0.00704 |  3753600.0 |   5.0 |   6.0 |
          22.0 |             13.0 |           551.599 |    0.2625 |  3698153.0 |   2.0 |   6.0 |
          22.0 |             13.0 |           745.123 |  0.006815 |  3745238.0 |   4.0 |   6.0 |
          22.0 |             13.0 |           507.606 |    0.3555 |  3709200.0 |   3.0 |   7.0 |
          22.0 |             13.0 |           655.295 | 0.0004431 |  3753600.0 |   5.0 |   7.0 |
          22.0 |             13.0 |           25.6003 |       0.0 |        0.0 |   1.0 |   7.0 |
          22.0 |             13.0 |           480.654 |     0.292 |  3698153.0 |   2.0 |   7.0 |
          22.0 |             13.0 |           474.617 |    0.9428 |  3698153.0 |   2.0 |   8.0 |
          22.0 |             13.0 |           478.709 |    0.3509 |  3709200.0 |   3.0 |   9.0 |
          22.0 |             13.0 |           607.921 | 5.871e-05 |  3753600.0 |   5.0 |   9.0 |
          22.0 |             13.0 |           454.665 |   0.04504 |  3698153.0 |   2.0 |   9.0 |
          22.0 |             13.0 |           578.513 |   0.00602 |  3745238.0 |   4.0 |   9.0 |
          22.0 |             13.0 |           459.375 |     0.296 |  3709200.0 |   3.0 |  10.0 |
          22.0 |             13.0 |           577.077 |   0.02036 |  3753600.0 |   5.0 |  10.0 |
          22.0 |             13.0 |           25.4655 |       0.0 |        0.0 |   1.0 |  10.0 |
          22.0 |             13.0 |           437.189 |    0.4107 |  3698153.0 |   2.0 |  10.0 |
          22.0 |             13.0 |           415.438 |    0.1105 |  3709200.0 |   3.0 |  11.0 |
          22.0 |             13.0 |           509.398 |   0.03937 |  3753600.0 |   5.0 |  11.0 |
          22.0 |             13.0 |           413.293 |  0.003431 |  3709200.0 |   3.0 |  12.0 |
          22.0 |             13.0 |           506.178 |    0.1977 |  3753600.0 |   5.0 |  12.0 |
          22.0 |             13.0 |           395.248 | 0.0001097 |  3698153.0 |   2.0 |  12.0 |
          22.0 |             13.0 |           485.623 |     0.185 |  3745238.0 |   4.0 |  12.0 |
          22.0 |             13.0 |           391.164 | 7.192e-05 |  3709200.0 |   3.0 |  13.0 |
          22.0 |             13.0 |            473.38 |    0.1748 |  3753600.0 |   5.0 |  13.0 |
          22.0 |             13.0 |           25.2217 |       0.0 |        0.0 |   1.0 |  13.0 |
          22.0 |             13.0 |           374.962 |   0.04705 |  3698153.0 |   2.0 |  13.0 |
          22.0 |             13.0 |           455.355 |    0.2036 |  3745238.0 |   4.0 |  13.0 |
          22.0 |             13.0 |           390.282 |    0.0164 |  3709200.0 |   3.0 |  14.0 |
          22.0 |             13.0 |           472.088 |    0.6599 |  3753600.0 |   5.0 |  14.0 |
          22.0 |             13.0 |            25.218 |       0.0 |        0.0 |   1.0 |  14.0 |
          22.0 |             13.0 |           374.151 |   0.01535 |  3698153.0 |   2.0 |  14.0 |
          22.0 |             13.0 |           285.038 |   0.08806 |  3709200.0 |   3.0 |  15.0 |
          22.0 |             13.0 |           326.339 |    0.1628 |  3753600.0 |   5.0 |  15.0 |
          22.0 |             13.0 |           470.113 | 0.0005246 |  3951159.0 |  12.0 |  16.0 |
          22.0 |             13.0 |            351.58 |    0.1414 |  3879444.0 |   6.0 |  16.0 |
          22.0 |             13.0 |            406.87 |   0.01286 |  3918095.0 |   9.0 |  16.0 |
          22.0 |             13.0 |           502.444 |   0.01172 |  3964847.0 |  13.0 |  16.0 |
          22.0 |             13.0 |           214.721 |       0.0 |  3698153.0 |   2.0 |  16.0 |
          22.0 |             13.0 |           414.183 |   0.06365 |  3926887.0 |  10.0 |  17.0 |
          22.0 |             13.0 |           492.851 |  0.006431 |  3965425.0 |  14.0 |  17.0 |
          22.0 |             13.0 |           457.842 |   0.02132 |  3949910.0 |  11.0 |  17.0 |
          22.0 |             13.0 |             381.5 |   0.03082 |  3906203.0 |   7.0 |  17.0 |
          22.0 |             13.0 |           460.475 | 0.0009239 |  3951159.0 |  12.0 |  17.0 |
          22.0 |             13.0 |           23.9904 |  0.007053 |        0.0 |   1.0 |  17.0 |
          22.0 |             13.0 |           346.162 |    0.3585 |  3879444.0 |   6.0 |  17.0 |
          22.0 |             13.0 |           399.631 |  0.008015 |  3918095.0 |   9.0 |  17.0 |
          22.0 |             13.0 |           491.451 |   0.01084 |  3964847.0 |  13.0 |  17.0 |
          22.0 |             13.0 |           213.749 |       0.0 |  3709200.0 |   3.0 |  18.0 |
          22.0 |             13.0 |           399.759 |    0.3081 |  3926887.0 |  10.0 |  18.0 |
          22.0 |             13.0 |           472.561 |   0.02062 |  3965425.0 |  14.0 |  18.0 |
          22.0 |             13.0 |           369.228 |   0.04439 |  3906203.0 |   7.0 |  18.0 |
          22.0 |             13.0 |           372.871 |   0.02264 |  3908849.0 |   8.0 |  18.0 |
          22.0 |             13.0 |           442.715 |  0.005067 |  3951159.0 |  12.0 |  18.0 |
          22.0 |             13.0 |           23.9404 |       0.0 |        0.0 |   1.0 |  18.0 |
          22.0 |             13.0 |           336.028 |    0.3824 |  3879444.0 |   6.0 |  18.0 |
          22.0 |             13.0 |           386.185 |   0.05231 |  3918095.0 |   9.0 |  18.0 |
          22.0 |             13.0 |           471.274 |  0.006448 |  3964847.0 |  13.0 |  18.0 |
          22.0 |             13.0 |           208.818 |       0.0 |  3698153.0 |   2.0 |  18.0 |
          22.0 |             13.0 |           369.531 |     1.569 |  3908849.0 |   8.0 |  19.0 |
          22.0 |             13.0 |           207.767 |       0.0 |  3698153.0 |   2.0 |  19.0 |
          22.0 |             13.0 |           210.387 |       0.0 |  3709200.0 |   3.0 |  20.0 |
          22.0 |             13.0 |           388.158 |  0.007701 |  3926887.0 |  10.0 |  20.0 |
          22.0 |             13.0 |           456.436 |  0.001479 |  3965425.0 |  14.0 |  20.0 |
          22.0 |             13.0 |            359.31 |      1.06 |  3906203.0 |   7.0 |  20.0 |
          22.0 |             13.0 |           362.759 |    0.1835 |  3908849.0 |   8.0 |  20.0 |
