 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          22.0 |             19.0 |           328.278 | 0.0006959 |        1.0 |   1.0 |   3.0 |
          22.0 |             19.0 |           287.969 | 1.516e-10 |        1.0 |   1.0 |   4.0 |
          22.0 |             19.0 |          2345.216 | 4.257e-06 |        3.0 |   3.0 |   4.0 |
          22.0 |             19.0 |          1692.907 | 8.105e-11 |        1.0 |   2.0 |   4.0 |
          22.0 |             19.0 |            169.58 |    0.1727 |        1.0 |   1.0 |   5.0 |
          22.0 |             19.0 |           537.294 | 0.0005175 |        3.0 |   5.0 |   6.0 |
          22.0 |             19.0 |           212.229 |   0.06306 |        3.0 |   3.0 |   6.0 |
          22.0 |             19.0 |           464.688 | 0.0002047 |        3.0 |   5.0 |   7.0 |
          22.0 |             19.0 |           199.892 |    0.0495 |        3.0 |   3.0 |   7.0 |
          22.0 |             19.0 |           193.536 |   0.06904 |        1.0 |   2.0 |   7.0 |
          22.0 |             19.0 |           218.517 |   0.07555 |        5.0 |   4.0 |   7.0 |
          22.0 |             19.0 |           412.001 |   0.01459 |        3.0 |   5.0 |   8.0 |
          22.0 |             19.0 |           189.469 |   0.08859 |        3.0 |   3.0 |   8.0 |
          22.0 |             19.0 |           206.122 |    0.2111 |        5.0 |   4.0 |   8.0 |
          22.0 |             19.0 |           304.982 |    0.1911 |        3.0 |   5.0 |   9.0 |
          22.0 |             19.0 |           163.143 |  0.002834 |        3.0 |   3.0 |   9.0 |
          22.0 |             19.0 |            175.34 |   0.03637 |        5.0 |   4.0 |   9.0 |
          22.0 |             19.0 |           194.372 |    0.1185 |        3.0 |   5.0 |  10.0 |
          22.0 |             19.0 |            125.07 | 0.0001738 |        3.0 |   3.0 |  10.0 |
          22.0 |             19.0 |             17.95 | 0.0007878 |        3.0 |   5.0 |  11.0 |
          22.0 |             19.0 |            17.076 |   0.08196 |        3.0 |   3.0 |  11.0 |
          22.0 |             19.0 |            17.028 |    0.0272 |        1.0 |   2.0 |  11.0 |
          22.0 |             19.0 |            17.201 |      0.14 |        5.0 |   4.0 |  11.0 |
          22.0 |             19.0 |            17.773 |   0.02969 |        3.0 |   5.0 |  12.0 |
          22.0 |             19.0 |            18.882 | 4.144e-06 |        5.0 |   9.0 |  12.0 |
          22.0 |             19.0 |            16.895 | 9.396e-05 |        3.0 |   3.0 |  12.0 |
          22.0 |             19.0 |             18.57 |  7.17e-07 |        5.0 |   8.0 |  12.0 |
          22.0 |             19.0 |            18.568 |  0.009475 |        5.0 |   9.0 |  13.0 |
          22.0 |             19.0 |           702.247 |   0.07908 |        3.0 |  11.0 |  13.0 |
          22.0 |             19.0 |            17.502 | 6.252e-05 |        3.0 |   5.0 |  13.0 |
          22.0 |             19.0 |            15.865 |     0.324 |        1.0 |   1.0 |  13.0 |
          22.0 |             19.0 |            19.234 | 0.0009521 |        1.0 |  10.0 |  13.0 |
          22.0 |             19.0 |            16.671 | 2.259e-05 |        3.0 |   3.0 |  13.0 |
          22.0 |             19.0 |            18.187 | 0.0005682 |        3.0 |   7.0 |  13.0 |
          22.0 |             19.0 |            18.092 | 0.0005872 |        1.0 |   6.0 |  13.0 |
          22.0 |             19.0 |            18.279 |    0.0055 |        5.0 |   8.0 |  13.0 |
          22.0 |             19.0 |             16.79 | 8.717e-05 |        5.0 |   4.0 |  13.0 |
          22.0 |             19.0 |          1242.622 |   0.03345 |        1.0 |  12.0 |  13.0 |
          22.0 |             19.0 |           725.258 |   0.05064 |        3.0 |  11.0 |  14.0 |
          22.0 |             19.0 |            18.193 |  0.001205 |        3.0 |   7.0 |  14.0 |
          22.0 |             19.0 |            16.789 | 7.435e-05 |        5.0 |   4.0 |  14.0 |
          22.0 |             19.0 |             18.55 |   0.01633 |        5.0 |   9.0 |  15.0 |
          22.0 |             19.0 |            661.31 |   0.07899 |        3.0 |  11.0 |  15.0 |
          22.0 |             19.0 |            17.478 | 4.963e-05 |        3.0 |   5.0 |  15.0 |
          22.0 |             19.0 |            15.824 |    0.3316 |        1.0 |   1.0 |  15.0 |
          22.0 |             19.0 |            19.232 | 0.0004056 |        1.0 |  10.0 |  15.0 |
          22.0 |             19.0 |            16.628 | 3.399e-05 |        3.0 |   3.0 |  15.0 |
          22.0 |             19.0 |            18.149 | 0.0002642 |        3.0 |   7.0 |  15.0 |
          22.0 |             19.0 |            18.051 | 0.0009177 |        1.0 |   6.0 |  15.0 |
          22.0 |             19.0 |            18.249 |  0.000662 |        5.0 |   8.0 |  15.0 |
          22.0 |             19.0 |            16.751 | 7.975e-05 |        5.0 |   4.0 |  15.0 |
          22.0 |             19.0 |          1054.891 |   0.04179 |        1.0 |  12.0 |  15.0 |
          22.0 |             19.0 |           646.385 |    0.2869 |        3.0 |  11.0 |  16.0 |
          22.0 |             19.0 |            17.468 | 1.472e-06 |        3.0 |   5.0 |  16.0 |
          22.0 |             19.0 |            18.538 | 0.0005125 |        5.0 |   9.0 |  16.0 |
          22.0 |             19.0 |            15.815 | 2.028e-07 |        1.0 |   1.0 |  16.0 |
          22.0 |             19.0 |            16.619 | 0.0001677 |        3.0 |   3.0 |  16.0 |
          22.0 |             19.0 |            18.137 |  0.002802 |        3.0 |   7.0 |  16.0 |
          22.0 |             19.0 |            18.237 |  0.005355 |        5.0 |   8.0 |  16.0 |
          22.0 |             19.0 |             16.57 | 7.572e-05 |        1.0 |   2.0 |  16.0 |
          22.0 |             19.0 |            16.741 | 0.0001296 |        5.0 |   4.0 |  16.0 |
          22.0 |             19.0 |            17.268 |  0.004686 |        3.0 |   5.0 |  17.0 |
          22.0 |             19.0 |            16.458 |    0.5511 |        3.0 |   3.0 |  17.0 |
          22.0 |             19.0 |            16.414 |     0.742 |        1.0 |   2.0 |  17.0 |
          22.0 |             19.0 |            16.575 |   0.03685 |        5.0 |   4.0 |  17.0 |
          22.0 |             19.0 |          1107.046 |   0.04057 |        1.0 |  14.0 |  17.0 |
          22.0 |             19.0 |            17.243 |  0.004896 |        3.0 |   5.0 |  18.0 |
          22.0 |             19.0 |            16.435 |      1.65 |        3.0 |   3.0 |  18.0 |
          22.0 |             19.0 |            16.551 |     0.549 |        5.0 |   4.0 |  18.0 |
          22.0 |             19.0 |            16.514 |     3.058 |        5.0 |   4.0 |  19.0 |
          22.0 |             19.0 |            15.514 |   0.00128 |        1.0 |   1.0 |  20.0 |
          22.0 |             19.0 |           700.771 |   0.09201 |        3.0 |  13.0 |  20.0 |
          22.0 |             19.0 |            18.721 | 2.404e-05 |        1.0 |  10.0 |  20.0 |
          22.0 |             19.0 |            16.283 |  0.003882 |        3.0 |   3.0 |  20.0 |
          22.0 |             19.0 |           731.864 |    0.1019 |        3.0 |  15.0 |  20.0 |
          22.0 |             19.0 |            16.397 | 0.0007652 |        5.0 |   4.0 |  20.0 |
          22.0 |             19.0 |           274.363 |   0.02053 |        3.0 |  11.0 |  21.0 |
          22.0 |             19.0 |            17.472 |   0.06147 |        3.0 |   7.0 |  21.0 |
          22.0 |             19.0 |           733.848 |  0.001127 |        3.0 |  17.0 |  21.0 |
          22.0 |             19.0 |            16.173 | 1.892e-06 |        5.0 |   4.0 |  21.0 |
          22.0 |             19.0 |            17.807 |  0.000803 |        5.0 |   9.0 |  22.0 |
          22.0 |             19.0 |             15.28 |  0.006387 |        1.0 |   1.0 |  22.0 |
          22.0 |             19.0 |            16.817 | 1.968e-06 |        3.0 |   5.0 |  22.0 |
          22.0 |             19.0 |           265.874 |   0.05793 |        3.0 |  11.0 |  22.0 |
          22.0 |             19.0 |            18.435 |  0.002071 |        1.0 |  10.0 |  22.0 |
          22.0 |             19.0 |            16.029 | 2.144e-06 |        3.0 |   3.0 |  22.0 |
          22.0 |             19.0 |            17.437 |   0.03975 |        3.0 |   7.0 |  22.0 |
          22.0 |             19.0 |           687.481 |  0.002173 |        5.0 |  18.0 |  22.0 |
          22.0 |             19.0 |            17.347 |     0.064 |        1.0 |   6.0 |  22.0 |
          22.0 |             19.0 |             17.53 |     0.087 |        5.0 |   8.0 |  22.0 |
          22.0 |             19.0 |            16.143 | 4.087e-06 |        5.0 |   4.0 |  22.0 |
          22.0 |             19.0 |           312.794 |   0.01642 |        1.0 |  12.0 |  22.0 |
          22.0 |             19.0 |            17.651 |   0.02825 |        5.0 |   9.0 |  23.0 |
          22.0 |             19.0 |           234.818 |    0.1179 |        3.0 |  11.0 |  23.0 |
          22.0 |             19.0 |            15.902 |  7.09e-06 |        3.0 |   3.0 |  23.0 |
          22.0 |             19.0 |            17.287 |   0.09912 |        3.0 |   7.0 |  23.0 |
          22.0 |             19.0 |            17.378 |     0.225 |        5.0 |   8.0 |  23.0 |
          22.0 |             19.0 |            15.858 | 3.499e-06 |        1.0 |   2.0 |  23.0 |
          22.0 |             19.0 |           522.342 |  0.005733 |        7.0 |  19.0 |  23.0 |
          22.0 |             19.0 |            16.014 | 3.733e-06 |        5.0 |   4.0 |  23.0 |
          22.0 |             19.0 |            17.559 | 4.776e-05 |        5.0 |   9.0 |  24.0 |
          22.0 |             19.0 |            16.596 |    0.1128 |        3.0 |   5.0 |  24.0 |
          22.0 |             19.0 |           313.989 |   0.07917 |        3.0 |  13.0 |  24.0 |
          22.0 |             19.0 |            15.828 |   0.09366 |        3.0 |   3.0 |  24.0 |
          22.0 |             19.0 |            17.199 | 7.371e-05 |        3.0 |   7.0 |  24.0 |
          22.0 |             19.0 |          1261.686 |   0.05169 |        3.0 |  22.0 |  24.0 |
          22.0 |             19.0 |            17.289 | 6.501e-05 |        5.0 |   8.0 |  24.0 |
          22.0 |             19.0 |           328.773 |  0.003231 |        3.0 |  15.0 |  24.0 |
