 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          22.0 |             16.0 |           861.839 |       0.0 |        0.0 |  1.0 |  2.0 |
          22.0 |             16.0 |           765.105 |       0.0 |        0.0 |  1.0 |  3.0 |
          22.0 |             16.0 |          6816.633 |       0.0 |   116031.0 |  2.0 |  3.0 |
          22.0 |             16.0 |           505.837 |       0.0 |        0.0 |  1.0 |  4.0 |
          22.0 |             16.0 |          1224.575 |       0.0 |   116031.0 |  2.0 |  4.0 |
          22.0 |             16.0 |          1492.738 |       0.0 |   130701.0 |  3.0 |  4.0 |
          22.0 |             16.0 |           456.084 |       0.0 |        0.0 |  1.0 |  5.0 |
          22.0 |             16.0 |           968.739 |       0.0 |   116031.0 |  2.0 |  5.0 |
          22.0 |             16.0 |          1129.216 |       0.0 |   130701.0 |  3.0 |  5.0 |
          22.0 |             16.0 |          4636.928 |       0.0 |   197692.0 |  4.0 |  5.0 |
          22.0 |             16.0 |           169.734 |     0.262 |        0.0 |  1.0 |  6.0 |
          22.0 |             16.0 |           211.361 |  0.003548 |   116031.0 |  2.0 |  6.0 |
          22.0 |             16.0 |           218.124 |  0.002778 |   130701.0 |  3.0 |  6.0 |
          22.0 |             16.0 |           270.345 |  0.001084 |   219258.0 |  5.0 |  6.0 |
          22.0 |             16.0 |           161.153 |    0.1876 |        0.0 |  1.0 |  7.0 |
          22.0 |             16.0 |           198.216 | 0.0001912 |   116031.0 |  2.0 |  7.0 |
          22.0 |             16.0 |           204.153 |  0.000174 |   130701.0 |  3.0 |  7.0 |
          22.0 |             16.0 |           236.497 |  1.86e-05 |   197692.0 |  4.0 |  7.0 |
          22.0 |             16.0 |           249.208 |  0.002248 |   219258.0 |  5.0 |  7.0 |
          22.0 |             16.0 |           157.794 |     0.098 |        0.0 |  1.0 |  8.0 |
          22.0 |             16.0 |            193.16 |  0.000472 |   116031.0 |  2.0 |  8.0 |
          22.0 |             16.0 |           229.334 |  0.000598 |   197692.0 |  4.0 |  8.0 |
          22.0 |             16.0 |           122.986 |  0.001412 |        0.0 |  1.0 |  9.0 |
          22.0 |             16.0 |           143.458 |    0.3364 |   116031.0 |  2.0 |  9.0 |
          22.0 |             16.0 |           146.542 |   0.00858 |   130701.0 |  3.0 |  9.0 |
          22.0 |             16.0 |           162.494 |    0.0416 |   197692.0 |  4.0 |  9.0 |
          22.0 |             16.0 |           168.395 |    0.0068 |   219258.0 |  5.0 |  9.0 |
