 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |   i |    j |
          22.0 |             20.0 |           309.072 |  0.04233 |        0.0 | 1.0 |  2.0 |
          22.0 |             20.0 |           259.272 |   0.1021 |        0.0 | 1.0 |  3.0 |
          22.0 |             20.0 |           16.2801 |  0.03462 |   323549.0 | 2.0 |  4.0 |
          22.0 |             20.0 |           16.4465 |  0.07371 |   385695.0 | 3.0 |  4.0 |
          22.0 |             20.0 |           15.2532 |   0.2518 |        0.0 | 1.0 |  5.0 |
          22.0 |             20.0 |           15.2114 |    0.489 |        0.0 | 1.0 |  6.0 |
          22.0 |             20.0 |           15.9072 |     1.32 |   323549.0 | 2.0 |  7.0 |
          22.0 |             20.0 |           16.0661 |   0.2665 |   385695.0 | 3.0 |  7.0 |
          22.0 |             20.0 |           16.0506 |    2.403 |   385695.0 | 3.0 |  8.0 |
          22.0 |             20.0 |             11.95 | 0.007501 |   323549.0 | 2.0 |  9.0 |
          22.0 |             20.0 |           12.0394 |  0.01582 |   385695.0 | 3.0 |  9.0 |
          22.0 |             20.0 |           11.4521 |  0.06296 |        0.0 | 1.0 | 10.0 |
          22.0 |             20.0 |           11.8716 |   0.2451 |   323549.0 | 2.0 | 12.0 |
          22.0 |             20.0 |           11.9599 |  0.04874 |   385695.0 | 3.0 | 12.0 |
          22.0 |             20.0 |           11.9584 |   0.4423 |   385695.0 | 3.0 | 13.0 |
          22.0 |             20.0 |           46.6636 | 0.004068 |  6610000.0 | 7.0 | 14.0 |
          22.0 |             20.0 |           46.7946 |   0.0288 |  6616000.0 | 8.0 | 14.0 |
          22.0 |             20.0 |           10.6527 | 0.002955 |   323549.0 | 2.0 | 16.0 |
          22.0 |             20.0 |           10.7237 | 0.006215 |   385695.0 | 3.0 | 16.0 |
          22.0 |             20.0 |           10.2775 |  0.02609 |        0.0 | 1.0 | 17.0 |
          22.0 |             20.0 |           10.6197 |  0.09077 |   323549.0 | 2.0 | 19.0 |
          22.0 |             20.0 |           10.6903 |  0.01795 |   385695.0 | 3.0 | 19.0 |
%CHIANTI
