 Atomic Number | Ionization State | Wavelength (Ang.) |               g_i*f_ik |         E_i(cm^-1) |     i |     j |
          23.0 |              1.0 | 2385.013427734375 |   0.008317639119923115 |                0.0 | 333.0 | 666.0 |
          23.0 |              1.0 |    2402.634765625 |    0.05888436362147331 | 137.38299560546875 | 333.0 | 666.0 |
          23.0 |              1.0 | 2407.479736328125 |    0.08128304779529572 |  323.4320068359375 | 333.0 | 666.0 |
          23.0 |              1.0 | 2413.423095703125 |    0.07585775852203369 |  323.4320068359375 | 333.0 | 666.0 |
          23.0 |              1.0 | 2420.856689453125 |    0.08709637075662613 |  552.9550170898438 | 333.0 | 666.0 |
          23.0 |              1.0 | 2426.866943359375 |   0.007585777901113033 |  552.9550170898438 | 333.0 | 666.0 |
          23.0 |              1.0 | 2502.367919921875 |     0.0691831037402153 |                0.0 | 333.0 | 666.0 |
          23.0 |              1.0 |  2504.05810546875 |    0.04265795275568962 |                0.0 | 333.0 | 666.0 |
          23.0 |              1.0 | 2507.661376953125 |    0.09549926221370697 |                0.0 | 333.0 | 666.0 |
          23.0 |              1.0 |   2508.6181640625 |    0.07413102686405182 | 137.38299560546875 | 333.0 | 666.0 |
          23.0 |              1.0 |   2512.7021484375 |      0.117489755153656 | 137.38299560546875 | 333.0 | 666.0 |
          23.0 |              1.0 |        2517.90625 |    0.13489629328250885 |  323.4320068359375 | 333.0 | 666.0 |
          23.0 |              1.0 |  2520.38134765625 |    0.24547088146209717 |  323.4320068359375 | 333.0 | 666.0 |
          23.0 |              1.0 |  2530.94580078125 |    0.17782793939113617 |  552.9550170898438 | 333.0 | 666.0 |
          23.0 |              1.0 |   2546.6884765625 |     0.0691831037402153 |                0.0 | 333.0 | 666.0 |
          23.0 |              1.0 |  2550.73388671875 |    0.01412537507712841 | 137.38299560546875 | 333.0 | 666.0 |
          23.0 |              1.0 | 2555.630126953125 |    0.01412537507712841 | 137.38299560546875 | 333.0 | 666.0 |
          23.0 |              1.0 |    2562.896484375 |    0.13182567059993744 |  323.4320068359375 | 333.0 | 666.0 |
          23.0 |              1.0 | 2574.789794921875 |    0.18197007477283478 |  552.9550170898438 | 333.0 | 666.0 |
          23.0 |              1.0 | 2578.061767578125 |    0.02238721214234829 |  552.9550170898438 | 333.0 | 666.0 |
          23.0 |              1.0 |  2643.05126953125 |    0.03388441354036331 |                0.0 | 333.0 | 666.0 |
          23.0 |              1.0 |   2643.9423828125 |    0.03981072083115578 | 137.38299560546875 | 333.0 | 666.0 |
          23.0 |              1.0 |    2646.044921875 |    0.09549926221370697 |  323.4320068359375 | 333.0 | 666.0 |
          23.0 |              1.0 | 2648.493896484375 |     0.1023292988538742 |                0.0 | 333.0 | 666.0 |
          23.0 |              1.0 |  2652.68310546875 |     0.1412537395954132 | 137.38299560546875 | 333.0 | 666.0 |
          23.0 |              1.0 |     2657.01171875 |     0.2137961983680725 |  323.4320068359375 | 333.0 | 666.0 |
          23.0 |              1.0 |  2662.21337890625 |     0.2691534757614136 |  552.9550170898438 | 333.0 | 666.0 |
          23.0 |              1.0 |  2672.46435546875 |    0.03630780056118965 | 137.38299560546875 | 333.0 | 666.0 |
          23.0 |              1.0 | 2679.452880859375 |    0.04466835781931877 |  323.4320068359375 | 333.0 | 666.0 |
          23.0 |              1.0 |  2685.81689453125 |   0.004677352029830217 |  323.4320068359375 | 333.0 | 666.0 |
          23.0 |              1.0 | 2687.307373046875 |    0.04570881649851799 |  552.9550170898438 | 333.0 | 666.0 |
          23.0 |              1.0 | 2723.360595703125 |     1.5848932266235352 |     10892.51953125 | 333.0 | 666.0 |
          23.0 |              1.0 |  2732.14990234375 |     1.9498445987701416 |    11100.595703125 | 333.0 | 666.0 |
          23.0 |              1.0 |  2838.88623046875 |  0.0030199517495930195 |                0.0 | 333.0 | 666.0 |
          23.0 |              1.0 |   2849.6103515625 |    0.04920395836234093 |                0.0 | 333.0 | 666.0 |
          23.0 |              1.0 |   2850.0087890625 |    0.05701643228530884 | 137.38299560546875 | 333.0 | 666.0 |
          23.0 |              1.0 |   2852.5888671875 |   0.040738027542829514 |  323.4320068359375 | 333.0 | 666.0 |
          23.0 |              1.0 | 2856.060791015625 |    0.12217997014522552 |                0.0 | 333.0 | 666.0 |
          23.0 |              1.0 | 2860.810302734375 |     0.1761976033449173 | 137.38299560546875 | 333.0 | 666.0 |
          23.0 |              1.0 | 2865.201416015625 |    0.22438819706439972 |  323.4320068359375 | 333.0 | 666.0 |
          23.0 |              1.0 |  2867.43310546875 |      6.309573650360107 |   15103.7841796875 | 333.0 | 666.0 |
          23.0 |              1.0 |   2868.9423828125 |      7.585775852203369 |     15264.83203125 | 333.0 | 666.0 |
          23.0 |              1.0 | 2871.388916015625 |    0.27605777978897095 |  552.9550170898438 | 333.0 | 666.0 |
          23.0 |              1.0 |    2888.537109375 |   0.001949844416230917 |                0.0 | 333.0 | 666.0 |
          23.0 |              1.0 | 2889.359130859375 |  0.0018197008175775409 | 137.38299560546875 | 333.0 | 666.0 |
          23.0 |              1.0 |   2895.4208984375 |    0.02137962356209755 |                0.0 | 333.0 | 666.0 |
          23.0 |              1.0 | 2899.661865234375 |  0.0028840317390859127 |                0.0 | 333.0 | 666.0 |
          23.0 |              1.0 |   2900.0439453125 |    0.05495408922433853 | 137.38299560546875 | 333.0 | 666.0 |
          23.0 |              1.0 |   2900.4482421875 |     0.0857037752866745 |                0.0 | 333.0 | 666.0 |
          23.0 |              1.0 |  2904.54736328125 |    0.03467368334531784 |                0.0 | 333.0 | 666.0 |
          23.0 |              1.0 |   2904.9755859375 |    0.07079458236694336 |  323.4320068359375 | 333.0 | 666.0 |
