 Atomic Number | Ionization State |  Wavelength (Ang.) |              g_i*f_ik |         E_i(cm^-1) |     i |     j |
          23.0 |              2.0 |    1279.7490234375 |   0.47863009572029114 |    12706.080078125 | 333.0 | 666.0 |
          23.0 |              2.0 |        1290.921875 |   0.28840312361717224 |      8842.05078125 | 333.0 | 666.0 |
          23.0 |              2.0 |  1301.237060546875 |  0.052480749785900116 |      8842.05078125 | 333.0 | 666.0 |
          23.0 |              2.0 | 1303.2030029296875 |   0.05011872947216034 |    8640.3642578125 | 333.0 | 666.0 |
          23.0 |              2.0 |  1305.588134765625 |    0.6606934666633606 |     9097.888671875 | 333.0 | 666.0 |
          23.0 |              2.0 | 1306.6380615234375 |    0.4466835856437683 |      8842.05078125 | 333.0 | 666.0 |
          23.0 |              2.0 |     1307.830078125 |  0.023442288860678673 |    8640.3642578125 | 333.0 | 666.0 |
          23.0 |              2.0 |   1311.02197265625 |  0.060255955904722214 |     9097.888671875 | 333.0 | 666.0 |
          23.0 |              2.0 | 1360.8990478515625 |   0.04265795275568962 |   3162.96728515625 | 333.0 | 666.0 |
          23.0 |              2.0 |   1362.81298828125 |  0.025703955441713333 |   14556.0693359375 | 333.0 | 666.0 |
          23.0 |              2.0 |   1372.56396484375 |   0.04168693721294403 |   2968.38818359375 | 333.0 | 666.0 |
          23.0 |              2.0 |    1374.2880859375 |  0.060255955904722214 |     2808.958984375 | 333.0 | 666.0 |
          23.0 |              2.0 | 1375.2520751953125 |  0.060255955904722214 |     2687.208984375 | 333.0 | 666.0 |
          23.0 |              2.0 |  1377.299072265625 |    0.2089296132326126 |   2968.38818359375 | 333.0 | 666.0 |
          23.0 |              2.0 |  1377.552978515625 |   0.08511379361152649 |     2687.208984375 | 333.0 | 666.0 |
          23.0 |              2.0 | 1394.6690673828125 |   0.04786300286650658 |   16340.9833984375 | 333.0 | 666.0 |
          23.0 |              2.0 |  1403.385986328125 |   0.09120108932256699 |       16532.984375 | 333.0 | 666.0 |
          23.0 |              2.0 | 1407.7440185546875 |   0.03388441354036331 |   14655.6083984375 | 333.0 | 666.0 |
