 Atomic Number | Ionization State | Wavelength (Ang.) |           g_i*f_ik |     E_i(cm^-1) |     i |     j |
          23.0 |              3.0 | 2314.889892578125 |  0.301995187997818 |  44345.8203125 | 333.0 | 666.0 |
          23.0 |              3.0 |  2318.77001953125 | 3.7153522968292236 | 63315.05078125 | 333.0 | 666.0 |
          23.0 |              3.0 |   2319.7099609375 | 0.3630780577659607 |  44110.0390625 | 333.0 | 666.0 |
          23.0 |              3.0 | 2324.530029296875 | 2.4547088146209717 |        56922.5 | 333.0 | 666.0 |
          23.0 |              3.0 | 2331.139892578125 |  2.630267858505249 |  44646.9609375 | 333.0 | 666.0 |
          23.0 |              3.0 | 2332.469970703125 | 1.6218100786209106 |  44345.8203125 | 333.0 | 666.0 |
          23.0 |              3.0 |    2334.919921875 | 1.0715192556381226 |  44110.0390625 | 333.0 | 666.0 |
          23.0 |              3.0 | 2343.820068359375 | 2.3988327980041504 |   56160.421875 | 333.0 | 666.0 |
          23.0 |              3.0 |   2359.4501953125 |  2.818382740020752 | 49327.73828125 | 333.0 | 666.0 |
          23.0 |              3.0 | 2367.030029296875 | 3.5481340885162354 |  49805.2890625 | 333.0 | 666.0 |
          23.0 |              3.0 | 2371.780029296875 |  5.248075008392334 |  44646.9609375 | 333.0 | 666.0 |
          23.0 |              3.0 |  2383.18994140625 | 4.2657952308654785 |  44345.8203125 | 333.0 | 666.0 |
          23.0 |              3.0 |  2394.31005859375 |  2.951209306716919 |  44110.0390625 | 333.0 | 666.0 |
          23.0 |              3.0 | 2404.909912109375 | 1.2882494926452637 | 43942.48828125 | 333.0 | 666.0 |
          23.0 |              3.0 |  2516.89990234375 | 3.5481340885162354 | 63303.12109375 | 333.0 | 666.0 |
          23.0 |              3.0 |    2521.919921875 | 0.6309573650360107 |  49805.2890625 | 333.0 | 666.0 |
          23.0 |              3.0 |  2522.31005859375 | 2.6915347576141357 | 63315.05078125 | 333.0 | 666.0 |
          23.0 |              3.0 | 2548.969970703125 | 0.7762471437454224 | 49327.73828125 | 333.0 | 666.0 |
          23.0 |              3.0 | 2554.989990234375 | 0.7079457640647888 |  49805.2890625 | 333.0 | 666.0 |
          23.0 |              3.0 |    2593.830078125 | 1.6982436180114746 | 49327.73828125 | 333.0 | 666.0 |
          23.0 |              3.0 | 2595.880126953125 | 2.2387211322784424 |  49805.2890625 | 333.0 | 666.0 |
%NIST
