 Atomic Number | Ionization State |  Wavelength (Ang.) |             g_i*f_ik | E_i(cm^-1) |     i |     j |
          23.0 |             10.0 | 245.35000610351562 |   3.4673686027526855 |    32509.0 | 333.0 | 666.0 |
          23.0 |             10.0 | 255.24000549316406 |   3.5481340885162354 |     9421.0 | 333.0 | 666.0 |
          23.0 |             10.0 |   393.468994140625 |  0.05754399299621582 |        0.0 | 333.0 | 666.0 |
          23.0 |             10.0 |   399.718994140625 | 0.046773508191108704 |     4180.0 | 333.0 | 666.0 |
          23.0 |             10.0 |  400.0559997558594 |   0.0691831037402153 |     4180.0 | 333.0 | 666.0 |
          23.0 |             10.0 |  400.3900146484375 |  0.06309572607278824 |     4180.0 | 333.0 | 666.0 |
          23.0 |             10.0 |  408.3039855957031 |  0.25118863582611084 |     9421.0 | 333.0 | 666.0 |
          23.0 |             10.0 |  408.6300048828125 |  0.05495408922433853 |     9421.0 | 333.0 | 666.0 |
          23.0 |             10.0 |  452.5220031738281 | 0.060255955904722214 |        0.0 | 333.0 | 666.0 |
          23.0 |             10.0 |  461.0589904785156 |  0.13182567059993744 |     4180.0 | 333.0 | 666.0 |
          23.0 |             10.0 |  461.2449951171875 | 0.025703955441713333 |     4180.0 | 333.0 | 666.0 |
          23.0 |             10.0 |  470.1829833984375 |  0.19498446583747864 |     9421.0 | 333.0 | 666.0 |
          23.0 |             10.0 |  527.4390258789062 | 0.005495409015566111 |    32509.0 | 333.0 | 666.0 |
%NIST
