 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik | E_i(cm^-1) |   i |   j |
          23.0 |             13.0 | 41.596000000000004 |    0.01244514611771385 |        0.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             43.371 |   0.010327614057613975 |        0.0 | 1.0 | 2.0 |
          23.0 |             13.0 | 45.644999999999996 |   0.028119008303989407 |   225520.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             45.873 |    0.05128613839913648 |   236530.0 | 1.0 | 2.0 |
          23.0 |             13.0 | 45.876000000000005 |   0.005623413251903491 |   236530.0 | 1.0 | 2.0 |
          23.0 |             13.0 | 46.117999999999995 |  0.0031622776601683794 |   225520.0 | 1.0 | 2.0 |
          23.0 |             13.0 | 46.394999999999996 |   0.006025595860743574 |   236530.0 | 1.0 | 2.0 |
          23.0 |             13.0 |              46.46 |    0.03715352290971726 |        0.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             46.482 |   0.018620871366628676 |        0.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             47.637 |     0.0446683592150963 |   225520.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             47.884 |     0.0812830516164099 |   236530.0 | 1.0 | 2.0 |
          23.0 |             13.0 | 47.888999999999996 |   0.008912509381337459 |   236530.0 | 1.0 | 2.0 |
          23.0 |             13.0 | 48.434999999999995 |   0.005248074602497728 |   225520.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             48.682 |   0.010715193052376065 |   236530.0 | 1.0 | 2.0 |
          23.0 |             13.0 | 51.090999999999994 |     0.0812830516164099 |   225520.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             51.376 |    0.14791083881682077 |   236530.0 | 1.0 | 2.0 |
          23.0 |             13.0 | 51.379999999999995 |   0.015848931924611134 |   236530.0 | 1.0 | 2.0 |
          23.0 |             13.0 |              52.59 |   0.010715193052376065 |   225520.0 | 1.0 | 2.0 |
          23.0 |             13.0 |              52.87 |     0.0812830516164099 |        0.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             52.897 |     0.0199526231496888 |   236530.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             52.928 |    0.04073802778041128 |        0.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             53.281 |    0.07244359600749903 |   544700.0 | 1.0 | 2.0 |
          23.0 |             13.0 | 53.318000000000005 |    0.10375284158180126 |   545950.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             53.781 |   0.002454708915685031 |   544700.0 | 1.0 | 2.0 |
          23.0 |             13.0 |  53.81700000000001 |   0.004365158322401661 |   545950.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             55.932 |    0.12302687708123815 |   544700.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             55.967 |    0.18197008586099836 |   545950.0 | 1.0 | 2.0 |
          23.0 |             13.0 | 55.974000000000004 |   0.009332543007969915 |   545950.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             56.786 |   0.004265795188015926 |   544700.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             56.826 |   0.007585775750291836 |   545950.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             58.116 |    0.17378008287493754 |   225520.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             58.482 |    0.30902954325135906 |   236530.0 | 1.0 | 2.0 |
          23.0 |             13.0 |              58.49 |   0.034673685045253165 |   236530.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             60.596 |     0.2630267991895382 |   544700.0 | 1.0 | 2.0 |
          23.0 |             13.0 |              60.64 |    0.37153522909717257 |   545950.0 | 1.0 | 2.0 |
          23.0 |             13.0 | 60.644999999999996 |   0.018620871366628676 |   545950.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             61.705 |   0.026302679918953815 |   225520.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             62.132 |    0.05272298614228227 |   236530.0 | 1.0 | 2.0 |
          23.0 |             13.0 |  62.20100000000001 |  0.0016982436524617442 |   544700.0 | 1.0 | 2.0 |
          23.0 |             13.0 | 62.239000000000004 |   0.008912509381337459 |   544700.0 | 1.0 | 2.0 |
          23.0 |             13.0 | 62.248999999999995 |    0.01548816618912481 |   545950.0 | 1.0 | 2.0 |
          23.0 |             13.0 |             70.262 |     0.6839116472814293 |   544700.0 | 1.0 | 2.0 |
          23.0 |             13.0 |  70.32300000000001 |     0.9794899854086989 |   545950.0 | 1.0 | 2.0 |
