 Atomic Number | Ionization State |  Wavelength (Ang.) |             g_i*f_ik | E_i(cm^-1) |   i |   j |
          23.0 |             14.0 |             20.716 |     2.51188643150958 |        0.0 | 1.0 | 2.0 |
          23.0 |             14.0 |             21.018 |   0.3801893963205612 |        0.0 | 1.0 | 2.0 |
          23.0 |             14.0 |             21.294 | 0.009549925860214359 |        0.0 | 1.0 | 2.0 |
          23.0 |             14.0 | 23.490000000000002 |  0.12302687708123815 |        0.0 | 1.0 | 2.0 |
          23.0 |             14.0 |             23.794 |  0.10715193052376065 |        0.0 | 1.0 | 2.0 |
          23.0 |             14.0 |             109.67 |   0.0812830516164099 |  4387211.0 | 1.0 | 2.0 |
          23.0 |             14.0 |            311.676 |  0.28840315031266056 |  4387211.0 | 1.0 | 2.0 |
          23.0 |             14.0 | 323.84999999999997 |  0.29512092266663853 |  4387211.0 | 1.0 | 2.0 |
          23.0 |             14.0 |             327.55 |  0.12022644346174127 |  4387211.0 | 1.0 | 2.0 |
          23.0 |             14.0 |            342.783 |  0.19498445997580455 |  4466070.0 | 1.0 | 2.0 |
          23.0 |             14.0 |            343.715 |   1.1481536214968828 |  4419174.0 | 1.0 | 2.0 |
          23.0 |             14.0 | 346.16100000000006 |  0.02754228703338166 |  4419174.0 | 1.0 | 2.0 |
          23.0 |             14.0 | 434.90999999999997 |   0.0162181009735893 |  4466070.0 | 1.0 | 2.0 |
          23.0 |             14.0 |            437.516 |   0.7585775750291838 |  4190606.0 | 1.0 | 2.0 |
          23.0 |             14.0 |            508.625 |  0.24547089156850305 |  4190606.0 | 1.0 | 2.0 |
          23.0 |             14.0 |  720.4559999999999 | 0.005370317963702527 |  4248410.0 | 1.0 | 2.0 |
%NIST
