 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik | E_i(cm^-1) |   i |   j |
          23.0 |             17.0 |  91.47500000000001 | 0.00039810717055349735 |        0.0 | 1.0 | 2.0 |
          23.0 |             17.0 |  96.27000000000001 |   0.009549925860214359 |        0.0 | 1.0 | 2.0 |
          23.0 |             17.0 |             98.375 |   0.001202264434617413 |   681580.0 | 1.0 | 2.0 |
          23.0 |             17.0 |  99.11099999999999 |    0.00707945784384138 |   627560.0 | 1.0 | 2.0 |
          23.0 |             17.0 | 100.01599999999999 |  0.0019054607179632462 |        0.0 | 1.0 | 2.0 |
          23.0 |             17.0 | 102.85399999999998 |      0.102093948370768 |   120930.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            103.059 |   0.003090295432513592 |   666210.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            104.718 |  0.0010471285480508996 |   681580.0 | 1.0 | 2.0 |
          23.0 |             17.0 | 108.95200000000001 |    0.10739894123412448 |   120930.0 | 1.0 | 2.0 |
          23.0 |             17.0 | 111.29899999999999 |     0.5997910762555094 |   140260.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            113.406 |     0.0199526231496888 |   211420.0 | 1.0 | 2.0 |
          23.0 |             17.0 | 113.78500000000001 |    0.11220184543019636 |   120930.0 | 1.0 | 2.0 |
          23.0 |             17.0 | 115.35600000000001 |  0.0026302679918953813 |        0.0 | 1.0 | 2.0 |
          23.0 |             17.0 | 117.27600000000001 |    0.28183829312644537 |   240500.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            120.304 |     0.1753880501841761 |   866880.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            120.873 |    0.05370317963702527 |   211420.0 | 1.0 | 2.0 |
          23.0 |             17.0 | 125.27799999999999 |    0.08317637711026708 |   240500.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            126.832 |    0.14125375446227545 |   211420.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            129.927 |    0.10641430182243161 |   866880.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            130.941 |     0.3801893963205612 |   872820.0 | 1.0 | 2.0 |
          23.0 |             17.0 | 131.68699999999998 |    0.03548133892335755 |   240500.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            132.998 |  0.0001122018454301963 |   120930.0 | 1.0 | 2.0 |
          23.0 |             17.0 | 134.05599999999998 |     0.3311311214825911 |   120930.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            136.511 |     0.4168693834703354 |   140260.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            137.624 |   0.005128613839913648 |   140260.0 | 1.0 | 2.0 |
          23.0 |             17.0 | 143.21300000000002 |   0.002818382931264455 |   999840.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            146.719 |    0.09484184633008974 |        0.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            150.103 |    0.18113400926196024 |        0.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            151.656 |    0.15595525028269536 |  1038740.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            152.566 |    0.03828247433168226 |   211420.0 | 1.0 | 2.0 |
          23.0 |             17.0 |             157.07 |     0.0933254300796991 |   999840.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            158.143 |    0.11220184543019636 |   240500.0 | 1.0 | 2.0 |
          23.0 |             17.0 | 159.34699999999998 |      0.251188643150958 |        0.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            159.647 |   0.007943282347242814 |   240500.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            165.322 |    0.21627185237270202 |  1093200.0 | 1.0 | 2.0 |
          23.0 |             17.0 | 167.27900000000002 |    0.44771330417636257 |  1038740.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            178.364 |   0.000707945784384138 |   120930.0 | 1.0 | 2.0 |
          23.0 |             17.0 | 183.39200000000002 | 0.00044668359215096305 |   120930.0 | 1.0 | 2.0 |
          23.0 |             17.0 |             184.05 |    0.04405548635065532 |  1093200.0 | 1.0 | 2.0 |
          23.0 |             17.0 | 197.38299999999998 |   0.005623413251903491 |   120930.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            205.212 |  0.0038018939632056127 |   140260.0 | 1.0 | 2.0 |
          23.0 |             17.0 | 212.69400000000002 |  0.0008912509381337459 |   211420.0 | 1.0 | 2.0 |
          23.0 |             17.0 | 234.90200000000002 |   0.002818382931264455 |   240500.0 | 1.0 | 2.0 |
          23.0 |             17.0 |            258.358 |   0.001202264434617413 |   240500.0 | 1.0 | 2.0 |
%NIST
