 Atomic Number | Ionization State |  Wavelength (Ang.) |              g_i*f_ik | E_i(cm^-1) |   i |   j |
          23.0 |             11.0 |            229.653 | 0.0026915348039269166 |   232972.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            238.892 |    1.0715193052376064 |   232972.0 | 1.0 | 2.0 |
          23.0 |             11.0 | 239.36499999999998 |   0.06760829753919818 |   233778.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            240.333 |    1.5135612484362082 |   233778.0 | 1.0 | 2.0 |
          23.0 |             11.0 | 241.19299999999998 | 0.0004570881896148752 |   232972.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            263.507 |     0.251188643150958 |   288914.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            265.324 |    1.1481536214968828 |        0.0 | 1.0 | 2.0 |
          23.0 |             11.0 | 271.77299999999997 |     2.137962089502232 |     9696.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            272.332 |    0.2570395782768864 |     9696.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            272.568 |    1.0715193052376064 |   233778.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            276.541 |    0.1548816618912481 |   306801.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            276.963 |    3.1622776601683795 |   311890.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            277.778 |    0.6918309709189365 |   232972.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            278.411 |   0.09772372209558107 |   233778.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            278.824 |    0.3467368504525316 |   288914.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            280.488 |    0.1472312502432719 |   311890.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            281.668 |     1.288249551693134 |   288914.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            293.448 |     0.436515832240166 |   306801.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            294.412 |  0.005248074602497728 |   311890.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            296.634 |   0.04897788193684462 |   306801.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            297.897 |                   0.1 |   311890.0 | 1.0 | 2.0 |
          23.0 |             11.0 |             301.18 |    0.4786300923226383 |   311890.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            310.747 |   0.01148153621496883 |   233778.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            318.209 |  0.030902954325135904 |   233778.0 | 1.0 | 2.0 |
          23.0 |             11.0 | 320.62600000000003 |   0.32359365692962827 |        0.0 | 1.0 | 2.0 |
          23.0 |             11.0 | 325.94499999999994 |   0.44668359215096315 |        0.0 | 1.0 | 2.0 |
          23.0 |             11.0 | 330.91299999999995 |      1.62181009735893 |     9696.0 | 1.0 | 2.0 |
          23.0 |             11.0 | 336.58000000000004 |    0.4786300923226383 |     9696.0 | 1.0 | 2.0 |
          23.0 |             11.0 |             337.79 |   0.05248074602497726 |   376897.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            338.681 |    1.4454397707459274 |   377650.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            342.982 |    0.8128305161640993 |   376897.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            346.123 |   0.31622776601683794 |        0.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            358.144 |    0.0933254300796991 |     9696.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            364.073 |     2.041737944669529 |   376897.0 | 1.0 | 2.0 |
          23.0 |             11.0 | 365.09700000000004 |   0.10715193052376065 |   377650.0 | 1.0 | 2.0 |
          23.0 |             11.0 | 365.33299999999997 |   0.07244359600749903 |   232972.0 | 1.0 | 2.0 |
          23.0 |             11.0 |            366.403 |    0.5754399373371569 |   233778.0 | 1.0 | 2.0 |
          23.0 |             11.0 | 366.57899999999995 |   0.35481338923357547 |   232972.0 | 1.0 | 2.0 |
