 Atomic Number | Ionization State |  Wavelength (Ang.) |              g_i*f_ik | E_i(cm^-1) |   i |   j |
          23.0 |             12.0 |             56.655 |   0.10471285480508996 |        0.0 | 1.0 | 2.0 |
          23.0 |             12.0 |             76.307 |    0.3169567463043491 |        0.0 | 1.0 | 2.0 |
          23.0 |             12.0 |            240.512 |   0.00707945784384138 |   445775.0 | 1.0 | 2.0 |
          23.0 |             12.0 |             246.86 |    1.1481536214968828 |   445775.0 | 1.0 | 2.0 |
          23.0 |             12.0 | 281.09000000000003 |   0.35481338923357547 |   188311.0 | 1.0 | 2.0 |
          23.0 |             12.0 | 283.29999999999995 |    0.8511380382023764 |   191509.0 | 1.0 | 2.0 |
          23.0 |             12.0 |             283.64 |   0.28183829312644537 |   191509.0 | 1.0 | 2.0 |
          23.0 |             12.0 |             288.65 |    1.5381546403030348 |   198737.0 | 1.0 | 2.0 |
          23.0 |             12.0 |             289.22 |    0.2754228703338166 |   198737.0 | 1.0 | 2.0 |
          23.0 |             12.0 |            289.577 |  0.018620871366628676 |   198737.0 | 1.0 | 2.0 |
          23.0 |             12.0 |             290.63 |   0.20417379446695297 |   450927.0 | 1.0 | 2.0 |
          23.0 |             12.0 |             297.73 |    1.9498445997580451 |   459478.0 | 1.0 | 2.0 |
          23.0 |             12.0 |             301.45 |    2.1877616239495525 |   281627.0 | 1.0 | 2.0 |
          23.0 |             12.0 |              321.3 |     0.933254300796991 |   445775.0 | 1.0 | 2.0 |
          23.0 |             12.0 |             355.07 |    0.9462371613657931 |        0.0 | 1.0 | 2.0 |
          23.0 |             12.0 | 365.13399999999996 |     2.930893245250321 |   850871.0 | 1.0 | 2.0 |
          23.0 |             12.0 |             373.17 |    0.3311311214825911 |   191509.0 | 1.0 | 2.0 |
          23.0 |             12.0 | 380.78000000000003 |   0.31622776601683794 |   188311.0 | 1.0 | 2.0 |
          23.0 |             12.0 | 383.53000000000003 |     1.023292992280754 |   198737.0 | 1.0 | 2.0 |
          23.0 |             12.0 | 385.46999999999997 |   0.23988329190194904 |   191509.0 | 1.0 | 2.0 |
          23.0 |             12.0 |             392.53 |    0.3019951720402016 |   191509.0 | 1.0 | 2.0 |
          23.0 |             12.0 | 393.29999999999995 |   0.05248074602497726 |   191509.0 | 1.0 | 2.0 |
          23.0 |             12.0 |             396.53 |    0.3890451449942806 |   198737.0 | 1.0 | 2.0 |
          23.0 |             12.0 | 398.49800000000005 |   0.19054607179632474 |   544068.0 | 1.0 | 2.0 |
          23.0 |             12.0 |            398.624 |   0.18197008586099836 |   544493.0 | 1.0 | 2.0 |
          23.0 |             12.0 |              399.7 |    0.9772372209558107 |   545169.0 | 1.0 | 2.0 |
          23.0 |             12.0 |              402.9 |    0.7079457843841379 |   613354.0 | 1.0 | 2.0 |
          23.0 |             12.0 | 404.78999999999996 |   0.11220184543019636 |   198737.0 | 1.0 | 2.0 |
          23.0 |             12.0 |             409.64 |   0.32359365692962827 |   281627.0 | 1.0 | 2.0 |
          23.0 |             12.0 |             421.02 |    2.3988329190194904 |   613354.0 | 1.0 | 2.0 |
          23.0 |             12.0 |             476.78 |     1.244514611771385 |   545169.0 | 1.0 | 2.0 |
          23.0 |             12.0 |             488.47 |    0.7943282347242815 |   544493.0 | 1.0 | 2.0 |
          23.0 |             12.0 | 490.08000000000004 |   0.14454397707459277 |   545169.0 | 1.0 | 2.0 |
          23.0 |             12.0 |             499.38 |    0.4897788193684462 |   544068.0 | 1.0 | 2.0 |
          23.0 |             12.0 | 500.44800000000004 |    0.1148153621496883 |   544493.0 | 1.0 | 2.0 |
          23.0 |             12.0 |            502.147 | 0.0022908676527677724 |   545169.0 | 1.0 | 2.0 |
          23.0 |             12.0 |              522.4 | 0.0013489628825916532 |        0.0 | 1.0 | 2.0 |
          23.0 |             12.0 |              609.2 |    0.3311311214825911 |   281627.0 | 1.0 | 2.0 |
          23.0 |             12.0 |            696.083 |   0.19054607179632474 |   613354.0 | 1.0 | 2.0 |
%NIST
