 Atomic Number | Ionization State |  Wavelength (Ang.) |               g_i*f_ik | E_i(cm^-1) |   i |   j |
          23.0 |             18.0 |             16.242 |     0.6918309709189365 |    37960.0 | 1.0 | 2.0 |
          23.0 |             18.0 | 16.322000000000003 |     0.3467368504525316 |    68190.0 | 1.0 | 2.0 |
          23.0 |             18.0 |             16.378 |     3.0902954325135905 |    68190.0 | 1.0 | 2.0 |
          23.0 |             18.0 |             102.41 |   0.013182567385564075 |    37960.0 | 1.0 | 2.0 |
          23.0 |             18.0 |            107.195 |   0.002951209226666387 |   735420.0 | 1.0 | 2.0 |
          23.0 |             18.0 |            111.442 |   0.047863009232263824 |        0.0 | 1.0 | 2.0 |
          23.0 |             18.0 |            114.882 |  0.0017782794100389228 |    37960.0 | 1.0 | 2.0 |
          23.0 |             18.0 |            116.365 |    0.14421153515248689 |    37960.0 | 1.0 | 2.0 |
          23.0 |             18.0 | 116.75800000000001 |  0.0044668359215096305 |   623860.0 | 1.0 | 2.0 |
          23.0 |             18.0 | 117.16300000000001 |     0.3467368504525316 |   160910.0 | 1.0 | 2.0 |
          23.0 |             18.0 |             118.29 |    0.03019951720402016 |   634950.0 | 1.0 | 2.0 |
          23.0 |             18.0 |            119.015 |   0.043651583224016584 |    68190.0 | 1.0 | 2.0 |
          23.0 |             18.0 |            120.607 |    0.32359365692962827 |    68190.0 | 1.0 | 2.0 |
          23.0 |             18.0 |            126.411 |    0.07447319739059892 |   625040.0 | 1.0 | 2.0 |
          23.0 |             18.0 | 127.07900000000001 |    0.14655478409559117 |   623860.0 | 1.0 | 2.0 |
          23.0 |             18.0 | 127.27000000000001 |    0.09036494737223014 |   625040.0 | 1.0 | 2.0 |
          23.0 |             18.0 |            129.707 |   0.009332543007969915 |   897330.0 | 1.0 | 2.0 |
          23.0 |             18.0 | 133.77800000000002 |     0.5495408738576245 |   160910.0 | 1.0 | 2.0 |
          23.0 |             18.0 |            134.244 |   0.006606934480075957 |   735420.0 | 1.0 | 2.0 |
          23.0 |             18.0 |            135.689 |   0.008511380382023767 |   743350.0 | 1.0 | 2.0 |
          23.0 |             18.0 |              136.0 |    0.03265878321723358 |        0.0 | 1.0 | 2.0 |
          23.0 |             18.0 |            136.082 |     0.1472312502432719 |   623860.0 | 1.0 | 2.0 |
          23.0 |             18.0 | 136.30100000000002 |   0.026302679918953815 |   625040.0 | 1.0 | 2.0 |
