 Atomic Number | Ionization State |  Wavelength (Ang.) |              g_i*f_ik | E_i(cm^-1) |   i |   j |
          23.0 |             20.0 |             10.941 |   0.16218100973589297 |        0.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             14.124 |   0.03890451449942807 |   322600.0 | 1.0 | 2.0 |
          23.0 |             20.0 | 14.229000000000001 |    0.4897788193684462 |   375000.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             14.279 |    0.7079457843841379 |   375000.0 | 1.0 | 2.0 |
          23.0 |             20.0 |              14.36 |    0.3801893963205612 |        0.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             14.387 |  0.030902954325135904 |   375000.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             14.401 |   0.30902954325135906 |        0.0 | 1.0 | 2.0 |
          23.0 |             20.0 | 14.649000000000001 |      0.72443596007499 |   627500.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             14.759 |   0.14125375446227545 |   627500.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             14.829 |    0.7413102413009175 |   303100.0 | 1.0 | 2.0 |
          23.0 |             20.0 | 14.870000000000001 |    1.6595869074375607 |   322600.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             14.872 |    0.5370317963702527 |   322600.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             14.976 |    3.0902954325135905 |   375000.0 | 1.0 | 2.0 |
          23.0 |             20.0 | 14.986999999999998 |    0.5495408738576245 |   375000.0 | 1.0 | 2.0 |
          23.0 |             20.0 | 14.988999999999999 |   0.03630780547701014 |   375000.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             15.042 |   0.14791083881682077 |   856900.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             15.114 |    1.3489628825916535 |   856900.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             15.141 |     3.630780547701014 |   888600.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             15.176 |   0.07413102413009177 |   982600.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             15.187 |    0.1288249551693134 |   888600.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             15.198 |    0.3019951720402016 |   856900.0 | 1.0 | 2.0 |
          23.0 |             20.0 | 15.216000000000001 |     5.248074602497725 |   982600.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             15.229 |    1.1220184543019633 |   856900.0 | 1.0 | 2.0 |
          23.0 |             20.0 | 15.271999999999998 |  0.006456542290346556 |   888600.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             15.303 |    0.1096478196143185 |   888600.0 | 1.0 | 2.0 |
          23.0 |             20.0 | 15.331999999999999 |     0.457088189614875 |   982600.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             15.336 |    0.6918309709189365 |   888600.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             15.427 |    1.7782794100389228 |   627500.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             15.526 |   0.30902954325135906 |   982600.0 | 1.0 | 2.0 |
          23.0 |             20.0 | 15.639000000000001 |     1.288249551693134 |  1177600.0 | 1.0 | 2.0 |
          23.0 |             20.0 | 151.51500000000001 |  0.002951209226666387 |   322600.0 | 1.0 | 2.0 |
          23.0 |             20.0 |            159.363 |   0.16904409316432642 |        0.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             164.59 |   0.04265795188015926 |   375000.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             176.68 |   0.08933054837332954 |   322600.0 | 1.0 | 2.0 |
          23.0 |             20.0 | 180.57999999999998 |   0.06870684400142321 |   303100.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             181.78 |   0.12274392311584072 |   627500.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             187.17 |  0.048865235934283366 |   322600.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             194.74 |   0.20417379446695297 |   375000.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             201.02 |   0.06237348354824192 |   322600.0 | 1.0 | 2.0 |
          23.0 |             20.0 | 207.51000000000002 |   0.07396052750582378 |   375000.0 | 1.0 | 2.0 |
          23.0 |             20.0 |             281.62 |   0.19364219639466074 |   627500.0 | 1.0 | 2.0 |
          23.0 |             20.0 |            309.981 | 0.0008128305161640995 |        0.0 | 1.0 | 2.0 |
          23.0 |             20.0 |            382.995 |  0.016595869074375606 |   627500.0 | 1.0 | 2.0 |
          23.0 |             20.0 | 435.91999999999996 | 0.0002454708915685031 |   627500.0 | 1.0 | 2.0 |
          23.0 |             20.0 |            519.211 | 0.0006456542290346556 |   627500.0 | 1.0 | 2.0 |
          23.0 |             20.0 |  686.8000000000001 |   0.15848931924611134 |  6964000.0 | 1.0 | 2.0 |
%NIST
