 Atomic Number | Ionization State |  Wavelength (Ang.) |             g_i*f_ik | E_i(cm^-1) |   i |   j |
          23.0 |             21.0 |              2.391 |  0.23988329190194904 |   415935.0 | 1.0 | 2.0 |
          23.0 |             21.0 |             2.3973 | 0.024547089156850298 |        0.0 | 1.0 | 2.0 |
          23.0 |             21.0 |             2.3993 |   1.3489628825916535 |   415935.0 | 1.0 | 2.0 |
          23.0 |             21.0 |             2.3996 |   0.1548816618912481 |        0.0 | 1.0 | 2.0 |
          23.0 |             21.0 |             2.4007 |    0.660693448007596 |   340435.0 | 1.0 | 2.0 |
          23.0 |             21.0 |              2.404 |     0.72443596007499 |   415935.0 | 1.0 | 2.0 |
          23.0 |             21.0 |              8.576 | 0.016557699634695285 |        0.0 | 1.0 | 2.0 |
          23.0 |             21.0 |              8.826 |  0.02523480772480574 |   340435.0 | 1.0 | 2.0 |
          23.0 |             21.0 |              8.843 | 0.028248799749157075 |        0.0 | 1.0 | 2.0 |
          23.0 |             21.0 |              8.882 | 0.005248074602497728 |   415935.0 | 1.0 | 2.0 |
          23.0 |             21.0 |              9.111 | 0.044360864393143254 |   340435.0 | 1.0 | 2.0 |
          23.0 |             21.0 |              9.175 | 0.009120108393559097 |   415935.0 | 1.0 | 2.0 |
          23.0 |             21.0 |             9.3386 | 0.026302679918953815 |        0.0 | 1.0 | 2.0 |
          23.0 |             21.0 |             9.3344 |  0.05248074602497726 |        0.0 | 1.0 | 2.0 |
          23.0 |             21.0 |             9.6335 |  0.09078205301781857 |   340435.0 | 1.0 | 2.0 |
          23.0 |             21.0 |             9.7041 | 0.018197008586099836 |   415935.0 | 1.0 | 2.0 |
          23.0 |             21.0 |             9.7027 |  0.16180800376430657 |   415935.0 | 1.0 | 2.0 |
          23.0 |             21.0 |             10.401 |   0.1288249551693134 |        0.0 | 1.0 | 2.0 |
          23.0 |             21.0 | 10.411999999999999 |  0.06456542290346556 |        0.0 | 1.0 | 2.0 |
          23.0 |             21.0 |             10.766 |  0.24547089156850305 |   340435.0 | 1.0 | 2.0 |
          23.0 |             21.0 |              10.85 |  0.44668359215096315 |   415935.0 | 1.0 | 2.0 |
          23.0 |             21.0 |             10.854 | 0.047863009232263824 |   415935.0 | 1.0 | 2.0 |
          23.0 |             21.0 | 13.822000000000001 |  0.48752849010338634 |        0.0 | 1.0 | 2.0 |
          23.0 |             21.0 |             13.864 |  0.25176769277588557 |        0.0 | 1.0 | 2.0 |
          23.0 |             21.0 |             14.429 |   1.3365955165464423 |   340435.0 | 1.0 | 2.0 |
          23.0 |             21.0 |             14.573 |    2.443430552693972 |   415935.0 | 1.0 | 2.0 |
          23.0 |             21.0 | 14.588000000000001 |   0.2691534803926916 |   415935.0 | 1.0 | 2.0 |
          23.0 |             21.0 | 14.754000000000001 |  0.09120108393559097 |   340435.0 | 1.0 | 2.0 |
          23.0 |             21.0 |              14.92 |  0.10715193052376065 |   415935.0 | 1.0 | 2.0 |
          23.0 |             21.0 | 240.42000000000002 |   0.0995405417351527 |        0.0 | 1.0 | 2.0 |
          23.0 |             21.0 |             293.74 |   0.0403645392967605 |        0.0 | 1.0 | 2.0 |
%NIST
