 Atomic Number | Ionization State |  Wavelength (Ang.) |             g_i*f_ik | E_i(cm^-1) |   i |   j |
          23.0 |             23.0 |         1.75979691 |  0.00506523967550882 |        0.0 | 1.0 | 2.0 |
          23.0 |             23.0 | 1.7819801499999999 | 0.018267116561792935 |        0.0 | 1.0 | 2.0 |
          23.0 |             23.0 |         1.78219189 | 0.009064628293407479 |        0.0 | 1.0 | 2.0 |
          23.0 |             23.0 |          1.8245577 | 0.037988312329781594 |        0.0 | 1.0 | 2.0 |
          23.0 |             23.0 |          1.8249916 | 0.018895135036273634 |        0.0 | 1.0 | 2.0 |
          23.0 |             23.0 |          1.9238632 |  0.10354759108787606 |        0.0 | 1.0 | 2.0 |
          23.0 |             23.0 |         1.92500778 | 0.051755916079492786 |        0.0 | 1.0 | 2.0 |
          23.0 |             23.0 |         2.27760109 |   0.5415642652546827 |        0.0 | 1.0 | 2.0 |
          23.0 |             23.0 |         2.28302247 |  0.27478941531023965 |        0.0 | 1.0 | 2.0 |
%NIST
