 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |   i |    j |
          30.0 |             23.0 |           905.494 |      0.0 |        0.0 | 1.0 |  2.0 |
          30.0 |             23.0 |           558.743 |      0.0 |        0.0 | 1.0 |  3.0 |
          30.0 |             23.0 |          1459.087 |      0.0 |   110437.0 | 2.0 |  3.0 |
          30.0 |             23.0 |           374.076 |      0.0 |        0.0 | 1.0 |  4.0 |
          30.0 |             23.0 |           637.397 |      0.0 |   110437.0 | 2.0 |  4.0 |
          30.0 |             23.0 |          1131.836 |      0.0 |   178973.0 | 3.0 |  4.0 |
          30.0 |             23.0 |             195.1 |      0.0 |        0.0 | 1.0 |  5.0 |
          30.0 |             23.0 |           299.775 |      0.0 |   178973.0 | 3.0 |  5.0 |
          30.0 |             23.0 |           407.777 |      0.0 |   267325.0 | 4.0 |  5.0 |
          30.0 |             23.0 |            85.018 |   0.2687 |        0.0 | 1.0 |  6.0 |
          30.0 |             23.0 |           100.275 |  0.08786 |   178973.0 | 3.0 |  6.0 |
          30.0 |             23.0 |           110.023 |  0.03471 |   267325.0 | 4.0 |  6.0 |
          30.0 |             23.0 |            77.945 |   0.1401 |        0.0 | 1.0 |  7.0 |
          30.0 |             23.0 |            85.286 |  0.06925 |   110437.0 | 2.0 |  7.0 |
          30.0 |             23.0 |            90.581 |  0.05399 |   178973.0 | 3.0 |  7.0 |
          30.0 |             23.0 |            98.461 | 0.002298 |   267325.0 | 4.0 |  7.0 |
          30.0 |             23.0 |           129.803 | 0.007941 |   512557.0 | 5.0 |  7.0 |
          30.0 |             23.0 |           936.935 |      0.0 |  1176226.0 | 6.0 |  7.0 |
          30.0 |             23.0 |            83.222 |  0.08575 |   178973.0 | 3.0 |  8.0 |
          30.0 |             23.0 |          1024.391 |      0.0 |  1282957.0 | 7.0 |  8.0 |
          30.0 |             23.0 |            61.491 |  0.03279 |        0.0 | 1.0 |  9.0 |
          30.0 |             23.0 |            65.971 | 0.004914 |   110437.0 | 2.0 |  9.0 |
          30.0 |             23.0 |            69.095 | 0.006348 |   178973.0 | 3.0 |  9.0 |
          30.0 |             23.0 |            73.588 |   0.4334 |   267325.0 | 4.0 |  9.0 |
          30.0 |             23.0 |            89.791 |  0.04449 |   512557.0 | 5.0 |  9.0 |
          30.0 |             23.0 |            222.21 |      0.0 |  1176226.0 | 6.0 |  9.0 |
          30.0 |             23.0 |           291.296 |      0.0 |  1282957.0 | 7.0 |  9.0 |
          30.0 |             23.0 |           407.042 |      0.0 |  1380576.0 | 8.0 |  9.0 |
          30.0 |             23.0 |           37.0732 |      0.0 |        0.0 | 1.0 | 10.0 |
          30.0 |             23.0 |           39.7078 |      0.0 |   178973.0 | 3.0 | 10.0 |
          30.0 |             23.0 |           41.1516 |      0.0 |   267325.0 | 4.0 | 10.0 |
          30.0 |             23.0 |            70.701 |  0.02712 |  1282957.0 | 7.0 | 10.0 |
          30.0 |             23.0 |            93.361 |   0.2382 |  1626251.0 | 9.0 | 10.0 |
%CHIANTI
