 Atomic Number | Ionization State |  Wavelength (Ang.) |             g_i*f_ik | E_i(cm^-1) |   i |   j |
          30.0 |             30.0 |         1.02922365 | 0.004969354737803068 |        0.0 | 1.0 | 2.0 |
          30.0 |             30.0 |          1.0421036 | 0.018040559400917866 |        0.0 | 1.0 | 2.0 |
          30.0 |             30.0 |         1.04231577 |  0.00890225438010211 |        0.0 | 1.0 | 2.0 |
          30.0 |             30.0 | 1.0669205800000001 |  0.03751284477607898 |        0.0 | 1.0 | 2.0 |
          30.0 |             30.0 |         1.06735544 | 0.018586174059485004 |        0.0 | 1.0 | 2.0 |
          30.0 |             30.0 |         1.12478421 |  0.10217155425275738 |        0.0 | 1.0 | 2.0 |
          30.0 |             30.0 | 1.1259318999999999 |    0.051054026562951 |        0.0 | 1.0 | 2.0 |
          30.0 |             30.0 |          1.3305142 |   0.5321082592667942 |        0.0 | 1.0 | 2.0 |
          30.0 |             30.0 | 1.3359463799999998 |   0.2728161023593848 |        0.0 | 1.0 | 2.0 |
%NIST
