 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          30.0 |             19.0 |           326.412 |  0.008303 |        0.0 |   1.0 |   3.0 |
          30.0 |             19.0 |           297.001 |  5.98e-10 |        0.0 |   1.0 |   4.0 |
          30.0 |             19.0 |          3296.196 | 3.037e-06 |   306361.0 |   3.0 |   4.0 |
          30.0 |             19.0 |          2412.487 | 6.907e-10 |   295248.0 |   2.0 |   4.0 |
          30.0 |             19.0 |           220.568 |    0.6681 |        0.0 |   1.0 |   5.0 |
          30.0 |             19.0 |           401.787 |  0.003792 |   453375.0 |   5.0 |   6.0 |
          30.0 |             19.0 |           252.588 |    0.2208 |   306361.0 |   3.0 |   6.0 |
          30.0 |             19.0 |           138.601 | 3.003e-06 |        0.0 |   1.0 |   7.0 |
          30.0 |             19.0 |           372.967 |    0.2153 |   453375.0 |   5.0 |   7.0 |
          30.0 |             19.0 |           240.886 |    0.1047 |   306361.0 |   3.0 |   7.0 |
          30.0 |             19.0 |           259.878 |    0.1648 |   336699.0 |   4.0 |   7.0 |
          30.0 |             19.0 |           366.145 |  0.002175 |   453375.0 |   5.0 |   8.0 |
          30.0 |             19.0 |           238.022 |    0.1762 |   306361.0 |   3.0 |   8.0 |
          30.0 |             19.0 |           231.888 |    0.2457 |   295248.0 |   2.0 |   8.0 |
          30.0 |             19.0 |           256.547 |    0.2732 |   336699.0 |   4.0 |   8.0 |
          30.0 |             19.0 |           322.581 |   0.08121 |   453375.0 |   5.0 |   9.0 |
          30.0 |             19.0 |           218.812 |    0.2207 |   306361.0 |   3.0 |   9.0 |
          30.0 |             19.0 |            234.37 |    0.7195 |   336699.0 |   4.0 |   9.0 |
          30.0 |             19.0 |           248.797 |    0.2657 |   453375.0 |   5.0 |  10.0 |
          30.0 |             19.0 |           182.167 |  0.004371 |   306361.0 |   3.0 |  10.0 |
          30.0 |             19.0 |           241.927 |  0.002671 |   453375.0 |   5.0 |  11.0 |
          30.0 |             19.0 |           178.456 |    0.1825 |   306361.0 |   3.0 |  11.0 |
          30.0 |             19.0 |           174.986 |    0.2545 |   295248.0 |   2.0 |  11.0 |
          30.0 |             19.0 |           188.671 |   0.01161 |   336699.0 |   4.0 |  11.0 |
          30.0 |             19.0 |            240.44 |  0.002836 |   453375.0 |   5.0 |  12.0 |
          30.0 |             19.0 |           177.645 |    0.5574 |   306361.0 |   3.0 |  12.0 |
