 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          30.0 |             20.0 |           288.182 |    0.2103 |        0.0 |   1.0 |   2.0 |
          30.0 |             20.0 |           256.371 |    0.4741 |        0.0 |   1.0 |   3.0 |
          30.0 |             20.0 |           213.324 |   0.09009 |   390060.0 |   3.0 |   4.0 |
          30.0 |             20.0 |           116.437 |       0.0 |        0.0 |   1.0 |   4.0 |
          30.0 |             20.0 |           195.379 |    0.4868 |   347003.0 |   2.0 |   4.0 |
          30.0 |             20.0 |           210.155 |    0.8271 |   390060.0 |   3.0 |   5.0 |
          30.0 |             20.0 |           115.487 |       0.0 |        0.0 |   1.0 |   5.0 |
          30.0 |             20.0 |            52.215 |       0.0 |   865899.0 |   5.0 |   6.0 |
          30.0 |             20.0 |           41.8239 |    0.2423 |   390060.0 |   3.0 |   6.0 |
          30.0 |             20.0 |            52.023 |       0.0 |   858830.0 |   4.0 |   6.0 |
          30.0 |             20.0 |            41.084 |    0.1099 |   347003.0 |   2.0 |   6.0 |
          30.0 |             20.0 |           39.5219 |       0.0 |   390060.0 |   3.0 |   7.0 |
          30.0 |             20.0 |           48.5091 |    0.1151 |   858830.0 |   4.0 |   7.0 |
          30.0 |             20.0 |           34.2431 |     0.171 |        0.0 |   1.0 |   7.0 |
          30.0 |             20.0 |           718.081 |     0.307 |  2781040.0 |   6.0 |   7.0 |
          30.0 |             20.0 |           48.2742 |    0.1957 |   865899.0 |   5.0 |   8.0 |
          30.0 |             20.0 |           39.2566 |       0.0 |   390060.0 |   3.0 |   8.0 |
          30.0 |             20.0 |             48.11 |    0.0212 |   858830.0 |   4.0 |   8.0 |
          30.0 |             20.0 |           34.0437 |    0.3184 |        0.0 |   1.0 |   8.0 |
          30.0 |             20.0 |           38.6041 |       0.0 |   347003.0 |   2.0 |   8.0 |
          30.0 |             20.0 |            639.55 |    0.6871 |  2781040.0 |   6.0 |   8.0 |
          30.0 |             20.0 |           44.5394 |       0.0 |   865899.0 |   5.0 |   9.0 |
          30.0 |             20.0 |           36.7507 |    0.1446 |   390060.0 |   3.0 |   9.0 |
          30.0 |             20.0 |           44.3997 |       0.0 |   858830.0 |   4.0 |   9.0 |
          30.0 |             20.0 |           575.705 |    0.1446 |  2937400.0 |   8.0 |   9.0 |
          30.0 |             20.0 |            32.143 |       0.0 |        0.0 |   1.0 |   9.0 |
          30.0 |             20.0 |           36.1782 |    0.6868 |   347003.0 |   2.0 |   9.0 |
          30.0 |             20.0 |           524.109 |    0.7861 |  2920300.0 |   7.0 |   9.0 |
          30.0 |             20.0 |            44.478 |       0.0 |   865899.0 |   5.0 |  10.0 |
          30.0 |             20.0 |           36.7088 |     1.293 |   390060.0 |   3.0 |  10.0 |
          30.0 |             20.0 |           44.3386 |       0.0 |   858830.0 |   4.0 |  10.0 |
          30.0 |             20.0 |           565.611 |     1.328 |  2937400.0 |   8.0 |  10.0 |
          30.0 |             20.0 |            32.111 |       0.0 |        0.0 |   1.0 |  10.0 |
          30.0 |             20.0 |            42.947 |    0.2674 |   865899.0 |   5.0 |  11.0 |
