 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          30.0 |             21.0 |           11.7883 |       0.0 |        0.0 |   1.0 |   2.0 |
          30.0 |             21.0 |            11.769 |    0.1319 |        0.0 |   1.0 |   3.0 |
          30.0 |             21.0 |           563.927 |       0.0 |  8496900.0 |   3.0 |   4.0 |
          30.0 |             21.0 |           510.347 |       0.0 |  8483004.0 |   2.0 |   4.0 |
          30.0 |             21.0 |            11.516 |    0.0881 |        0.0 |   1.0 |   5.0 |
          30.0 |             21.0 |           338.073 |   0.00093 |  8496900.0 |   3.0 |   6.0 |
          30.0 |             21.0 |            11.367 |       0.0 |        0.0 |   1.0 |   6.0 |
          30.0 |             21.0 |           928.247 |  0.000751 |  8683600.0 |   5.0 |   6.0 |
          30.0 |             21.0 |           844.124 | 0.0005614 |  8678949.0 |   4.0 |   6.0 |
          30.0 |             21.0 |           318.055 |    0.2392 |  8483004.0 |   2.0 |   6.0 |
          30.0 |             21.0 |           308.613 |    0.2384 |  8496900.0 |   3.0 |   7.0 |
          30.0 |             21.0 |           11.3306 |       0.0 |        0.0 |   1.0 |   7.0 |
          30.0 |             21.0 |           291.846 |    0.2233 |  8483004.0 |   2.0 |   7.0 |
          30.0 |             21.0 |           266.271 |    0.7273 |  8483004.0 |   2.0 |   8.0 |
          30.0 |             21.0 |            274.78 |     0.296 |  8496900.0 |   3.0 |   9.0 |
          30.0 |             21.0 |           568.624 | 0.0001611 |  8683600.0 |   5.0 |   9.0 |
          30.0 |             21.0 |           535.909 | 5.739e-05 |  8678949.0 |   4.0 |   9.0 |
          30.0 |             21.0 |           261.408 |  0.002989 |  8483004.0 |   2.0 |   9.0 |
          30.0 |             21.0 |           260.349 |    0.2548 |  8496900.0 |   3.0 |  10.0 |
          30.0 |             21.0 |             11.26 |       0.0 |        0.0 |   1.0 |  10.0 |
          30.0 |             21.0 |           506.586 |  0.001067 |  8683600.0 |   5.0 |  10.0 |
          30.0 |             21.0 |           247.367 |    0.3058 |  8483004.0 |   2.0 |  10.0 |
          30.0 |             21.0 |           215.984 |    0.1034 |  8496900.0 |   3.0 |  11.0 |
          30.0 |             21.0 |           363.725 |   0.01816 |  8683600.0 |   5.0 |  11.0 |
          30.0 |             21.0 |           194.487 | 0.0009149 |  8496900.0 |   3.0 |  12.0 |
          30.0 |             21.0 |           525.923 |       0.0 |  8825651.0 |   7.0 |  12.0 |
          30.0 |             21.0 |           306.647 |    0.1694 |  8683600.0 |   5.0 |  12.0 |
          30.0 |             21.0 |           296.873 |   0.09976 |  8678949.0 |   4.0 |  12.0 |
          30.0 |             21.0 |           187.692 | 0.0006118 |  8483004.0 |   2.0 |  12.0 |
          30.0 |             21.0 |           178.315 | 0.0003322 |  8496900.0 |   3.0 |  13.0 |
          30.0 |             21.0 |           11.0346 |       0.0 |        0.0 |   1.0 |  13.0 |
          30.0 |             21.0 |           268.283 |    0.1036 |  8683600.0 |   5.0 |  13.0 |
          30.0 |             21.0 |           260.772 |    0.2001 |  8678949.0 |   4.0 |  13.0 |
          30.0 |             21.0 |           172.586 |   0.01439 |  8483004.0 |   2.0 |  13.0 |
          30.0 |             21.0 |           177.336 |  0.001318 |  8496900.0 |   3.0 |  14.0 |
          30.0 |             21.0 |           475.726 |       0.0 |  8858561.0 |   8.0 |  14.0 |
          30.0 |             21.0 |           11.0366 |       0.0 |        0.0 |   1.0 |  14.0 |
          30.0 |             21.0 |           265.111 |    0.5268 |  8683600.0 |   5.0 |  14.0 |
          30.0 |             21.0 |           170.718 |  0.002362 |  8483004.0 |   2.0 |  14.0 |
          30.0 |             21.0 |           151.286 |   0.05832 |  8496900.0 |   3.0 |  15.0 |
          30.0 |             21.0 |           210.837 |    0.1144 |  8683600.0 |   5.0 |  15.0 |
          30.0 |             21.0 |             404.3 | 2.299e-05 |  9015793.0 |  12.0 |  16.0 |
          30.0 |             21.0 |           214.722 |    0.1082 |  8797415.0 |   6.0 |  16.0 |
          30.0 |             21.0 |           251.518 | 0.0003614 |  8865548.0 |   9.0 |  16.0 |
          30.0 |             21.0 |           498.236 |  0.001459 |  9062426.0 |  13.0 |  16.0 |
          30.0 |             21.0 |           128.184 |       0.0 |  8483004.0 |   2.0 |  16.0 |
          30.0 |             21.0 |           261.986 |   0.04023 |  8881000.0 |  10.0 |  17.0 |
          30.0 |             21.0 |           495.295 | 0.0009829 |  9060800.0 |  14.0 |  17.0 |
          30.0 |             21.0 |           221.957 |   0.02802 |  8825651.0 |   7.0 |  17.0 |
          30.0 |             21.0 |           320.955 |  0.004422 |  8964618.0 |  11.0 |  17.0 |
          30.0 |             21.0 |            10.796 |   0.00839 |        0.0 |   1.0 |  17.0 |
          30.0 |             21.0 |           208.867 |    0.2574 |  8797415.0 |   6.0 |  17.0 |
          30.0 |             21.0 |           243.522 | 8.074e-05 |  8865548.0 |   9.0 |  17.0 |
          30.0 |             21.0 |            467.81 |  0.001125 |  9062426.0 |  13.0 |  17.0 |
          30.0 |             21.0 |           125.298 |       0.0 |  8496900.0 |   3.0 |  18.0 |
          30.0 |             21.0 |           242.448 |    0.2133 |  8881000.0 |  10.0 |  18.0 |
          30.0 |             21.0 |           432.987 |  0.001273 |  9060800.0 |  14.0 |  18.0 |
          30.0 |             21.0 |           226.676 |   0.02191 |  8858561.0 |   8.0 |  18.0 |
          30.0 |             21.0 |            210.94 |   0.07236 |  8825651.0 |   7.0 |  18.0 |
          30.0 |             21.0 |           352.203 | 0.0004314 |  9015793.0 |  12.0 |  18.0 |
          30.0 |             21.0 |            10.753 |       0.0 |        0.0 |   1.0 |  18.0 |
          30.0 |             21.0 |           199.082 |    0.2037 |  8797415.0 |   6.0 |  18.0 |
          30.0 |             21.0 |           230.323 |   0.04688 |  8865548.0 |   9.0 |  18.0 |
          30.0 |             21.0 |           421.418 | 0.0003882 |  9062426.0 |  13.0 |  18.0 |
          30.0 |             21.0 |           122.442 |       0.0 |  8483004.0 |   2.0 |  18.0 |
          30.0 |             21.0 |           226.457 |     1.003 |  8858561.0 |   8.0 |  19.0 |
          30.0 |             21.0 |           122.378 |       0.0 |  8483004.0 |   2.0 |  19.0 |
          30.0 |             21.0 |           124.928 |       0.0 |  8496900.0 |   3.0 |  20.0 |
          30.0 |             21.0 |           241.067 |   0.01068 |  8881000.0 |  10.0 |  20.0 |
          30.0 |             21.0 |             428.6 | 0.0002057 |  9060800.0 |  14.0 |  20.0 |
          30.0 |             21.0 |           225.467 |    0.1142 |  8858561.0 |   8.0 |  20.0 |
          30.0 |             21.0 |           209.893 |    0.7077 |  8825651.0 |   7.0 |  20.0 |
          30.0 |             21.0 |           10.7503 |       0.0 |        0.0 |   1.0 |  20.0 |
          30.0 |             21.0 |           122.088 |       0.0 |  8483004.0 |   2.0 |  20.0 |
          30.0 |             21.0 |            122.03 |       0.0 |  8496900.0 |   3.0 |  21.0 |
          30.0 |             21.0 |           230.506 |  0.005456 |  8881000.0 |  10.0 |  21.0 |
          30.0 |             21.0 |           396.317 | 1.943e-05 |  9060800.0 |  14.0 |  21.0 |
          30.0 |             21.0 |           216.203 |  0.007081 |  8858561.0 |   8.0 |  21.0 |
          30.0 |             21.0 |           201.842 |    0.1874 |  8825651.0 |   7.0 |  21.0 |
          30.0 |             21.0 |           327.551 |  5.07e-05 |  9015793.0 |  12.0 |  21.0 |
          30.0 |             21.0 |           10.7284 |       0.0 |        0.0 |   1.0 |  21.0 |
          30.0 |             21.0 |           190.958 |   0.01957 |  8797415.0 |   6.0 |  21.0 |
          30.0 |             21.0 |           219.519 |    0.3861 |  8865548.0 |   9.0 |  21.0 |
          30.0 |             21.0 |           386.603 | 8.427e-05 |  9062426.0 |  13.0 |  21.0 |
          30.0 |             21.0 |            119.32 |       0.0 |  8483004.0 |   2.0 |  21.0 |
          30.0 |             21.0 |           119.729 |       0.0 |  8496900.0 |   3.0 |  22.0 |
          30.0 |             21.0 |            222.43 |    0.6565 |  8881000.0 |  10.0 |  22.0 |
          30.0 |             21.0 |            373.03 | 0.0002608 |  9060800.0 |  14.0 |  22.0 |
          30.0 |             21.0 |           209.083 |    0.1667 |  8858561.0 |   8.0 |  22.0 |
          30.0 |             21.0 |           195.622 |  0.003307 |  8825651.0 |   7.0 |  22.0 |
          30.0 |             21.0 |           10.7103 |       0.0 |        0.0 |   1.0 |  22.0 |
          30.0 |             21.0 |           117.118 |       0.0 |  8483004.0 |   2.0 |  22.0 |
          30.0 |             21.0 |           175.857 |   0.01134 |  8825651.0 |   7.0 |  23.0 |
          30.0 |             21.0 |           232.734 |    0.1654 |  8964618.0 |  11.0 |  23.0 |
          30.0 |             21.0 |            10.663 |    0.9952 |        0.0 |   1.0 |  23.0 |
          30.0 |             21.0 |           167.538 |  0.004011 |  8797415.0 |   6.0 |  23.0 |
          30.0 |             21.0 |           189.127 |    0.1686 |  8865548.0 |   9.0 |  23.0 |
          30.0 |             21.0 |           164.332 | 0.0005878 |  8881000.0 |  10.0 |  24.0 |
          30.0 |             21.0 |           234.182 |   0.07734 |  9060800.0 |  14.0 |  24.0 |
          30.0 |             21.0 |           156.931 | 5.589e-06 |  8858561.0 |   8.0 |  24.0 |
          30.0 |             21.0 |           149.224 |  0.001127 |  8825651.0 |   7.0 |  24.0 |
          30.0 |             21.0 |           208.337 |    0.5107 |  9015793.0 |  12.0 |  24.0 |
          30.0 |             21.0 |            10.531 |       0.0 |        0.0 |   1.0 |  24.0 |
          30.0 |             21.0 |           124.054 |       0.0 |  8683600.0 |   5.0 |  24.0 |
          30.0 |             21.0 |           143.191 | 0.0005584 |  8797415.0 |   6.0 |  24.0 |
          30.0 |             21.0 |           158.671 | 6.059e-05 |  8865548.0 |   9.0 |  24.0 |
          30.0 |             21.0 |           230.756 |  0.009606 |  9062426.0 |  13.0 |  24.0 |
          30.0 |             21.0 |           122.424 |       0.0 |  8678949.0 |   4.0 |  24.0 |
          30.0 |             21.0 |           160.851 |   0.01143 |  8881000.0 |  10.0 |  25.0 |
          30.0 |             21.0 |           227.175 |   0.05435 |  9060800.0 |  14.0 |  25.0 |
          30.0 |             21.0 |           153.753 |  0.004238 |  8858561.0 |   8.0 |  25.0 |
          30.0 |             21.0 |           146.348 |  0.003129 |  8825651.0 |   7.0 |  25.0 |
          30.0 |             21.0 |           202.773 | 7.089e-06 |  9015793.0 |  12.0 |  25.0 |
          30.0 |             21.0 |           10.5164 |       0.0 |        0.0 |   1.0 |  25.0 |
          30.0 |             21.0 |            122.06 |       0.0 |  8683600.0 |   5.0 |  25.0 |
          30.0 |             21.0 |            140.54 |  0.001217 |  8797415.0 |   6.0 |  25.0 |
          30.0 |             21.0 |           155.423 | 0.0002594 |  8865548.0 |   9.0 |  25.0 |
          30.0 |             21.0 |            223.95 |    0.4964 |  9062426.0 |  13.0 |  25.0 |
          30.0 |             21.0 |           120.481 |       0.0 |  8678949.0 |   4.0 |  25.0 |
          30.0 |             21.0 |           158.855 |  0.000304 |  8881000.0 |  10.0 |  26.0 |
          30.0 |             21.0 |           223.214 |    0.7981 |  9060800.0 |  14.0 |  26.0 |
          30.0 |             21.0 |           151.928 |  0.003224 |  8858561.0 |   8.0 |  26.0 |
          30.0 |             21.0 |           144.694 | 0.0002173 |  8825651.0 |   7.0 |  26.0 |
          30.0 |             21.0 |           10.5078 |       0.0 |        0.0 |   1.0 |  26.0 |
          30.0 |             21.0 |           120.907 |       0.0 |  8683600.0 |   5.0 |  26.0 |
          30.0 |             21.0 |           234.687 |     0.149 |  9157900.0 |  15.0 |  27.0 |
          30.0 |             21.0 |           162.283 |   0.01502 |  8964618.0 |  11.0 |  27.0 |
          30.0 |             21.0 |           176.981 |    0.1156 |  9015793.0 |  12.0 |  27.0 |
          30.0 |             21.0 |           10.4341 |     2.248 |        0.0 |   1.0 |  27.0 |
          30.0 |             21.0 |           139.806 |   0.01874 |  8865548.0 |   9.0 |  27.0 |
          30.0 |             21.0 |           192.902 |   0.05964 |  9062426.0 |  13.0 |  27.0 |
          30.0 |             21.0 |            72.604 |   0.07311 |  8496900.0 |   3.0 |  28.0 |
          30.0 |             21.0 |           172.641 | 5.701e-05 |  9299720.0 |  18.0 |  28.0 |
          30.0 |             21.0 |            84.085 |   0.09645 |  8683600.0 |   5.0 |  28.0 |
          30.0 |             21.0 |            83.333 |   0.05495 |  8678949.0 |   4.0 |  28.0 |
          30.0 |             21.0 |            71.636 |    0.3012 |  8483004.0 |   2.0 |  28.0 |
          30.0 |             21.0 |            69.166 |   0.07312 |  8496900.0 |   3.0 |  29.0 |
          30.0 |             21.0 |            272.78 |  0.002564 |  9584000.0 |  27.0 |  29.0 |
          30.0 |             21.0 |            79.508 |   0.04241 |  8683600.0 |   5.0 |  29.0 |
          30.0 |             21.0 |           180.791 |   0.00126 |  9378200.0 |  23.0 |  29.0 |
          30.0 |             21.0 |            148.98 | 7.111e-06 |  9262700.0 |  17.0 |  29.0 |
          30.0 |             21.0 |           301.786 |    0.1019 |  9878956.0 |  28.0 |  30.0 |
          30.0 |             21.0 |            83.715 |   0.05171 |  9015793.0 |  12.0 |  30.0 |
          30.0 |             21.0 |            70.776 |   0.06727 |  8797415.0 |   6.0 |  30.0 |
          30.0 |             21.0 |            74.362 |   0.03646 |  8865548.0 |   9.0 |  30.0 |
          30.0 |             21.0 |            87.116 |  0.001723 |  9062426.0 |  13.0 |  30.0 |
          30.0 |             21.0 |            76.511 |  0.006781 |  8881000.0 |  10.0 |  31.0 |
          30.0 |             21.0 |            88.715 |  0.002875 |  9060800.0 |  14.0 |  31.0 |
          30.0 |             21.0 |            97.078 |   0.03267 |  9157900.0 |  15.0 |  31.0 |
          30.0 |             21.0 |           296.592 |    0.2612 |  9878956.0 |  28.0 |  31.0 |
          30.0 |             21.0 |           372.162 |   0.03716 |  9947420.0 |  29.0 |  31.0 |
          30.0 |             21.0 |            71.918 |     0.275 |  8825651.0 |   7.0 |  31.0 |
          30.0 |             21.0 |            79.904 |   0.01993 |  8964618.0 |  11.0 |  31.0 |
          30.0 |             21.0 |            83.311 |   0.09325 |  9015793.0 |  12.0 |  31.0 |
          30.0 |             21.0 |            9.8155 |   0.05842 |        0.0 |   1.0 |  31.0 |
          30.0 |             21.0 |            70.487 |   0.04363 |  8797415.0 |   6.0 |  31.0 |
          30.0 |             21.0 |            74.043 | 0.0006923 |  8865548.0 |   9.0 |  31.0 |
          30.0 |             21.0 |            86.678 |  0.005099 |  9062426.0 |  13.0 |  31.0 |
          30.0 |             21.0 |            73.057 |    0.1216 |  8881000.0 |  10.0 |  32.0 |
          30.0 |             21.0 |            84.226 |    0.1223 |  9060800.0 |  14.0 |  32.0 |
