 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |    i |    j |
          30.0 |             24.0 |           532.955 |       0.0 |        0.0 |  1.0 |  2.0 |
          30.0 |             24.0 |           393.709 |       0.0 |        0.0 |  1.0 |  3.0 |
          30.0 |             24.0 |          1506.886 |       0.0 |   187633.0 |  2.0 |  3.0 |
          30.0 |             24.0 |            280.37 |       0.0 |        0.0 |  1.0 |  4.0 |
          30.0 |             24.0 |           591.579 |       0.0 |   187633.0 |  2.0 |  4.0 |
          30.0 |             24.0 |           199.725 |       0.0 |        0.0 |  1.0 |  5.0 |
          30.0 |             24.0 |           319.433 |       0.0 |   187633.0 |  2.0 |  5.0 |
          30.0 |             24.0 |           405.362 |       0.0 |   253995.0 |  3.0 |  5.0 |
          30.0 |             24.0 |           694.367 |       0.0 |   356672.0 |  4.0 |  5.0 |
          30.0 |             24.0 |           104.543 |      0.16 |        0.0 |  1.0 |  6.0 |
          30.0 |             24.0 |           130.054 |   0.03536 |   187633.0 |  2.0 |  6.0 |
          30.0 |             24.0 |           142.338 |   0.01164 |   253995.0 |  3.0 |  6.0 |
          30.0 |             24.0 |           219.366 |  0.001204 |   500688.0 |  5.0 |  6.0 |
          30.0 |             24.0 |            92.161 |    0.1576 |        0.0 |  1.0 |  7.0 |
          30.0 |             24.0 |            111.43 |  0.003196 |   187633.0 |  2.0 |  7.0 |
          30.0 |             24.0 |           120.328 |   0.00225 |   253995.0 |  3.0 |  7.0 |
          30.0 |             24.0 |           137.289 |  0.000194 |   356672.0 |  4.0 |  7.0 |
          30.0 |             24.0 |           171.124 |   0.00628 |   500688.0 |  5.0 |  7.0 |
          30.0 |             24.0 |            90.026 |    0.0824 |        0.0 |  1.0 |  8.0 |
          30.0 |             24.0 |           108.324 |    0.0046 |   187633.0 |  2.0 |  8.0 |
          30.0 |             24.0 |           132.605 |   0.00544 |   356672.0 |  4.0 |  8.0 |
          30.0 |             24.0 |           163.907 | 0.0002928 |   500688.0 |  5.0 |  8.0 |
          30.0 |             24.0 |            75.308 |   0.03044 |        0.0 |  1.0 |  9.0 |
          30.0 |             24.0 |              87.7 |     0.284 |   187633.0 |  2.0 |  9.0 |
          30.0 |             24.0 |            93.119 |  0.002082 |   253995.0 |  3.0 |  9.0 |
          30.0 |             24.0 |           102.964 |   0.01948 |   356672.0 |  4.0 |  9.0 |
          30.0 |             24.0 |            120.89 |   0.00432 |   500688.0 |  5.0 |  9.0 |
          30.0 |             24.0 |            72.896 | 0.0001024 |        0.0 |  1.0 | 10.0 |
          30.0 |             24.0 |            84.447 |  0.001624 |   187633.0 |  2.0 | 10.0 |
          30.0 |             24.0 |             89.46 |    0.3336 |   253995.0 |  3.0 | 10.0 |
          30.0 |             24.0 |           114.794 |    0.0872 |   500688.0 |  5.0 | 10.0 |
          30.0 |             24.0 |            65.961 |    0.0088 |        0.0 |  1.0 | 11.0 |
          30.0 |             24.0 |            75.277 |    0.1184 |   187633.0 |  2.0 | 11.0 |
          30.0 |             24.0 |            86.253 |     0.114 |   356672.0 |  4.0 | 11.0 |
          30.0 |             24.0 |            98.487 |   0.00158 |   500688.0 |  5.0 | 11.0 |
          30.0 |             24.0 |            63.348 |   0.02604 |        0.0 |  1.0 | 12.0 |
          30.0 |             24.0 |            71.893 |   0.03116 |   187633.0 |  2.0 | 12.0 |
          30.0 |             24.0 |            75.495 |     0.474 |   253995.0 |  3.0 | 12.0 |
          30.0 |             24.0 |            81.839 |    0.0614 |   356672.0 |  4.0 | 12.0 |
          30.0 |             24.0 |            92.774 |    0.0576 |   500688.0 |  5.0 | 12.0 |
          30.0 |             24.0 |              56.6 | 1.588e-05 |        0.0 |  1.0 | 13.0 |
          30.0 |             24.0 |            63.326 |   0.03512 |   187633.0 |  2.0 | 13.0 |
          30.0 |             24.0 |            70.917 |   0.00558 |   356672.0 |  4.0 | 13.0 |
          30.0 |             24.0 |            78.984 |    0.2624 |   500688.0 |  5.0 | 13.0 |
          30.0 |             24.0 |             66.88 |   0.02184 |   956547.0 |  6.0 | 14.0 |
          30.0 |             24.0 |            73.169 |   0.02168 |  1085060.0 |  7.0 | 14.0 |
          30.0 |             24.0 |            74.573 |   0.00692 |  1110790.0 |  8.0 | 14.0 |
          30.0 |             24.0 |            92.598 |    0.2708 |  1371814.0 | 10.0 | 14.0 |
          30.0 |             24.0 |            88.978 |     0.152 |  1327885.0 |  9.0 | 14.0 |
          30.0 |             24.0 |           106.872 |    0.0896 |  1516054.0 | 11.0 | 14.0 |
          30.0 |             24.0 |           114.525 |    0.2768 |  1578582.0 | 12.0 | 14.0 |
          30.0 |             24.0 |           145.989 |   0.01588 |  1766772.0 | 13.0 | 14.0 |
          30.0 |             24.0 |            63.631 |  0.001418 |  1085060.0 |  7.0 | 15.0 |
          30.0 |             24.0 |            64.691 |   0.00266 |  1110790.0 |  8.0 | 15.0 |
          30.0 |             24.0 |             75.26 |    0.0886 |  1327885.0 |  9.0 | 15.0 |
          30.0 |             24.0 |            87.677 |      0.02 |  1516054.0 | 11.0 | 15.0 |
          30.0 |             24.0 |            92.762 |     0.179 |  1578582.0 | 12.0 | 15.0 |
          30.0 |             24.0 |            112.38 |    0.1536 |  1766772.0 | 13.0 | 15.0 |
          30.0 |             24.0 |            9.9242 |   0.06141 |        0.0 |  1.0 | 16.0 |
          30.0 |             24.0 |           10.1147 |  0.004901 |   187633.0 |  2.0 | 16.0 |
          30.0 |             24.0 |           10.2875 |  0.001882 |   356672.0 |  4.0 | 16.0 |
          30.0 |             24.0 |           10.4429 | 6.487e-06 |   500688.0 |  5.0 | 16.0 |
          30.0 |             24.0 |           13.1641 | 0.0002548 |  2451756.0 | 14.0 | 16.0 |
          30.0 |             24.0 |            13.528 | 2.999e-05 |  2656610.0 | 15.0 | 16.0 |
          30.0 |             24.0 |            9.7918 |    0.0909 |        0.0 |  1.0 | 17.0 |
          30.0 |             24.0 |            9.9772 |   0.02405 |   187633.0 |  2.0 | 17.0 |
          30.0 |             24.0 |            10.045 |  0.007302 |   253995.0 |  3.0 | 17.0 |
          30.0 |             24.0 |           10.1453 | 0.0005413 |   356672.0 |  4.0 | 17.0 |
          30.0 |             24.0 |           10.2964 |  0.001605 |   500688.0 |  5.0 | 17.0 |
          30.0 |             24.0 |           12.9321 | 0.0001771 |  2451756.0 | 14.0 | 17.0 |
          30.0 |             24.0 |           13.2832 | 8.254e-06 |  2656610.0 | 15.0 | 17.0 |
          30.0 |             24.0 |            9.7606 |  0.003507 |        0.0 |  1.0 | 18.0 |
          30.0 |             24.0 |            9.9448 |    0.0991 |   187633.0 |  2.0 | 18.0 |
          30.0 |             24.0 |           10.1118 |   0.03501 |   356672.0 |  4.0 | 18.0 |
          30.0 |             24.0 |           10.2619 | 0.0001042 |   500688.0 |  5.0 | 18.0 |
          30.0 |             24.0 |           12.8777 | 0.0002791 |  2451756.0 | 14.0 | 18.0 |
          30.0 |             24.0 |           13.2258 | 0.0005244 |  2656610.0 | 15.0 | 18.0 |
          30.0 |             24.0 |            9.7307 |    0.1348 |        0.0 |  1.0 | 19.0 |
          30.0 |             24.0 |            9.9137 |   0.00229 |   187633.0 |  2.0 | 19.0 |
          30.0 |             24.0 |            9.9806 |   0.06871 |   253995.0 |  3.0 | 19.0 |
          30.0 |             24.0 |           10.2288 | 7.829e-05 |   500688.0 |  5.0 | 19.0 |
          30.0 |             24.0 |           12.8257 | 0.0002986 |  2451756.0 | 14.0 | 19.0 |
          30.0 |             24.0 |            9.7025 |  0.005379 |        0.0 |  1.0 | 20.0 |
          30.0 |             24.0 |            9.8844 |   0.02975 |   187633.0 |  2.0 | 20.0 |
          30.0 |             24.0 |            9.9509 |    0.1473 |   253995.0 |  3.0 | 20.0 |
          30.0 |             24.0 |           10.0494 |   0.06272 |   356672.0 |  4.0 | 20.0 |
          30.0 |             24.0 |           10.1976 |   0.01018 |   500688.0 |  5.0 | 20.0 |
          30.0 |             24.0 |           12.7767 | 0.0005617 |  2451756.0 | 14.0 | 20.0 |
