 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |     i |     j |
          30.0 |             29.0 |            1.3911 | 7.203e-07 |        0.0 |   1.0 |   2.0 |
          30.0 |             29.0 |          357.6103 |    0.0088 |        0.0 |   2.0 |   3.0 |
          30.0 |             29.0 |            1.3853 |       0.1 |        0.0 |   1.0 |   4.0 |
          30.0 |             29.0 |            1.3809 |       0.0 |        0.0 |   1.0 |   6.0 |
          30.0 |             29.0 |          188.9395 |    0.0833 |        0.0 |   2.0 |   6.0 |
          30.0 |             29.0 |            1.3778 |     0.679 |        0.0 |   1.0 |   7.0 |
          30.0 |             29.0 |            7.6642 |    0.0163 |        0.0 |   3.0 |   8.0 |
          30.0 |             29.0 |            7.6763 |    0.0424 |        0.0 |   4.0 |   8.0 |
          30.0 |             29.0 |            7.8137 |    0.0797 |        0.0 |   6.0 |   8.0 |
          30.0 |             29.0 |            7.9147 |   0.00608 |        0.0 |   7.0 |   8.0 |
          30.0 |             29.0 |            7.4602 |     0.131 |        0.0 |   2.0 |   9.0 |
          30.0 |             29.0 |            7.7669 |      12.4 |        0.0 |   6.0 |   9.0 |
          30.0 |             29.0 |            7.6292 |   0.00661 |        0.0 |   4.0 |  10.0 |
          30.0 |             29.0 |            7.8646 |    0.0433 |        0.0 |   7.0 |  10.0 |
          30.0 |             29.0 |            1.1724 |    0.0204 |        0.0 |   1.0 |  11.0 |
          30.0 |             29.0 |             7.457 |      0.34 |        0.0 |   2.0 |  11.0 |
          30.0 |             29.0 |            7.6287 |    0.0533 |        0.0 |   5.0 |  11.0 |
          30.0 |             29.0 |            7.7634 |      24.3 |        0.0 |   6.0 |  11.0 |
          30.0 |             29.0 |            1.1715 |       0.0 |        0.0 |   1.0 |  12.0 |
          30.0 |             29.0 |            7.4191 |     0.657 |        0.0 |   2.0 |  12.0 |
          30.0 |             29.0 |            7.5763 |      13.4 |        0.0 |   3.0 |  12.0 |
          30.0 |             29.0 |            7.5882 |      26.2 |        0.0 |   4.0 |  12.0 |
          30.0 |             29.0 |            7.7224 |      22.2 |        0.0 |   6.0 |  12.0 |
          30.0 |             29.0 |            7.3965 |      85.6 |        0.0 |   2.0 |  13.0 |
          30.0 |             29.0 |            7.5527 |     0.685 |        0.0 |   3.0 |  13.0 |
          30.0 |             29.0 |            7.5645 |     0.447 |        0.0 |   4.0 |  13.0 |
          30.0 |             29.0 |            7.6979 |    0.0336 |        0.0 |   6.0 |  13.0 |
          30.0 |             29.0 |            7.7959 |    0.0643 |        0.0 |   7.0 |  13.0 |
          30.0 |             29.0 |            1.1709 |      25.1 |        0.0 |   1.0 |  14.0 |
          30.0 |             29.0 |            7.3972 |      92.3 |        0.0 |   2.0 |  14.0 |
          30.0 |             29.0 |            7.5653 |      1.54 |        0.0 |   4.0 |  14.0 |
          30.0 |             29.0 |            7.5662 |      49.5 |        0.0 |   5.0 |  14.0 |
          30.0 |             29.0 |            7.6987 |     0.326 |        0.0 |   6.0 |  14.0 |
          30.0 |             29.0 |            7.7967 |     0.196 |        0.0 |   7.0 |  14.0 |
          30.0 |             29.0 |            1.1708 |     0.133 |        0.0 |   1.0 |  15.0 |
          30.0 |             29.0 |            7.3948 |    0.0525 |        0.0 |   2.0 |  15.0 |
          30.0 |             29.0 |            7.5637 |     0.351 |        0.0 |   5.0 |  15.0 |
          30.0 |             29.0 |            7.6839 |      2.83 |        0.0 |   6.0 |  16.0 |
          30.0 |             29.0 |            1.1705 |      45.9 |        0.0 |   1.0 |  17.0 |
          30.0 |             29.0 |             7.382 |      50.8 |        0.0 |   2.0 |  17.0 |
          30.0 |             29.0 |            7.5493 |     0.072 |        0.0 |   4.0 |  17.0 |
          30.0 |             29.0 |            7.5502 |      90.9 |        0.0 |   5.0 |  17.0 |
          30.0 |             29.0 |            7.6821 |     0.179 |        0.0 |   6.0 |  17.0 |
          30.0 |             29.0 |            7.7797 |      1.79 |        0.0 |   7.0 |  17.0 |
