 Atomic Number | Ionization State | Wavelength (Ang.) |  g_i*f_ik | E_i(cm^-1) |   i |    j |
          30.0 |             27.0 |           217.655 |  0.002863 |        0.0 | 1.0 |  3.0 |
          30.0 |             27.0 |           2000.28 |       0.0 |   409450.0 | 2.0 |  3.0 |
          30.0 |             27.0 |           433.154 |       0.0 |   409450.0 | 2.0 |  4.0 |
          30.0 |             27.0 |           552.877 |       0.0 |   459443.0 | 3.0 |  4.0 |
          30.0 |             27.0 |           104.674 |    0.1448 |        0.0 | 1.0 |  5.0 |
          30.0 |             27.0 |           145.986 |   0.04931 |   459443.0 | 3.0 |  6.0 |
          30.0 |             27.0 |           528.849 | 0.0008348 |   955349.0 | 5.0 |  6.0 |
          30.0 |             27.0 |           112.703 |   0.06148 |   409450.0 | 2.0 |  7.0 |
          30.0 |             27.0 |           119.432 |   0.04104 |   459443.0 | 3.0 |  7.0 |
          30.0 |             27.0 |            152.34 |   0.05569 |   640315.0 | 4.0 |  7.0 |
          30.0 |             27.0 |           292.918 | 0.0008407 |   955349.0 | 5.0 |  7.0 |
          30.0 |             27.0 |           111.639 |   0.08564 |   459443.0 | 3.0 |  8.0 |
          30.0 |             27.0 |           139.885 |    0.1122 |   640315.0 | 4.0 |  8.0 |
          30.0 |             27.0 |           250.101 |   0.03633 |   955349.0 | 5.0 |  8.0 |
          30.0 |             27.0 |            88.965 |  0.006282 |   459443.0 | 3.0 |  9.0 |
          30.0 |             27.0 |           106.026 |    0.0968 |   640315.0 | 4.0 |  9.0 |
          30.0 |             27.0 |           159.203 |    0.1475 |   955349.0 | 5.0 |  9.0 |
          30.0 |             27.0 |           114.793 |   0.09643 |   955349.0 | 5.0 | 10.0 |
%CHIANTI
