 Atomic Number | Ionization State | Wavelength (Ang.) | g_i*f_ik | E_i(cm^-1) |     i |     j |
          30.0 |             28.0 |            216.16 |   0.0309 |        0.0 |   1.0 |   2.0 |
          30.0 |             28.0 |           142.508 |   0.0938 |        0.0 |   1.0 |   3.0 |
          30.0 |             28.0 |             8.239 |   0.0364 |        0.0 |   2.0 |   4.0 |
          30.0 |             28.0 |            8.4046 |   0.0714 |        0.0 |   3.0 |   4.0 |
          30.0 |             28.0 |            7.8593 |     0.25 |        0.0 |   1.0 |   5.0 |
          30.0 |             28.0 |            7.8116 |    0.503 |        0.0 |   1.0 |   6.0 |
          30.0 |             28.0 |            8.0737 |     1.37 |        0.0 |   2.0 |   7.0 |
          30.0 |             28.0 |            8.2326 |    0.268 |        0.0 |   3.0 |   7.0 |
          30.0 |             28.0 |            8.2163 |     2.42 |        0.0 |   3.0 |   8.0 |
          30.0 |             28.0 |            6.0671 |  0.00784 |        0.0 |   2.0 |   9.0 |
          30.0 |             28.0 |            6.1564 |   0.0155 |        0.0 |   3.0 |   9.0 |
          30.0 |             28.0 |           23.6901 |   0.0839 |        0.0 |   5.0 |   9.0 |
          30.0 |             28.0 |           24.1346 |    0.165 |        0.0 |   6.0 |   9.0 |
          30.0 |             28.0 |            5.8838 |   0.0624 |        0.0 |   1.0 |  10.0 |
          30.0 |             28.0 |           22.7485 |    0.273 |        0.0 |   4.0 |  10.0 |
          30.0 |             28.0 |           24.1117 |   0.0433 |        0.0 |   7.0 |  10.0 |
          30.0 |             28.0 |            5.8725 |    0.125 |        0.0 |   1.0 |  11.0 |
          30.0 |             28.0 |           22.5804 |     0.55 |        0.0 |   4.0 |  11.0 |
          30.0 |             28.0 |           23.9229 |  0.00874 |        0.0 |   7.0 |  11.0 |
          30.0 |             28.0 |           24.0617 |   0.0782 |        0.0 |   8.0 |  11.0 |
          30.0 |             28.0 |            6.0294 |    0.246 |        0.0 |   2.0 |  12.0 |
          30.0 |             28.0 |            6.1176 |   0.0484 |        0.0 |   3.0 |  12.0 |
          30.0 |             28.0 |            23.125 |     1.19 |        0.0 |   5.0 |  12.0 |
          30.0 |             28.0 |           23.5483 |    0.234 |        0.0 |   6.0 |  12.0 |
          30.0 |             28.0 |            6.1138 |    0.436 |        0.0 |   3.0 |  13.0 |
          30.0 |             28.0 |           23.4919 |     2.11 |        0.0 |   6.0 |  13.0 |
          30.0 |             28.0 |           23.7508 |     4.06 |        0.0 |   7.0 |  14.0 |
          30.0 |             28.0 |           23.8875 |    0.288 |        0.0 |   8.0 |  14.0 |
          30.0 |             28.0 |           23.8588 |     5.77 |        0.0 |   8.0 |  15.0 |
          30.0 |             28.0 |            5.4121 |   0.0031 |        0.0 |   2.0 |  16.0 |
          30.0 |             28.0 |            5.4831 |  0.00613 |        0.0 |   3.0 |  16.0 |
          30.0 |             28.0 |           16.0876 |   0.0185 |        0.0 |   5.0 |  16.0 |
          30.0 |             28.0 |           16.2914 |   0.0366 |        0.0 |   6.0 |  16.0 |
          30.0 |             28.0 |            51.444 |    0.136 |        0.0 |  10.0 |  16.0 |
          30.0 |             28.0 |            52.325 |    0.267 |        0.0 |  11.0 |  16.0 |
          30.0 |             28.0 |            5.2727 |   0.0259 |        0.0 |   1.0 |  17.0 |
          30.0 |             28.0 |           15.7097 |   0.0722 |        0.0 |   4.0 |  17.0 |
          30.0 |             28.0 |           16.3479 |  0.00863 |        0.0 |   7.0 |  17.0 |
          30.0 |             28.0 |           49.4914 |    0.303 |        0.0 |   9.0 |  17.0 |
          30.0 |             28.0 |            52.154 |    0.108 |        0.0 |  12.0 |  17.0 |
